"stop_id","name_stop","lat","log"
"1002"," Hwy 101 / Magazine Hill / Bedford Bypass",44.7264,-63.6423
"1073"," Ferry Stop - Halifax",44.6495,-63.5729
"1074"," Ferry Stop - Alderney",44.6649,-63.5702
"1075"," Ferry Stop - Woodside",44.6486,-63.5472
"6000","akerley Blvd after Burnside Dr",44.7148,-63.5898
"6001","akerley Blvd after civic address 95",44.7138,-63.5937
"6002","akerley Blvd [westbound] after Joe Zatzman Ave",44.7114,-63.6005
"6003","akerley Blvd [eastbound] after Joe Zatzman Ave",44.712,-63.5982
"6004","akerley Blvd after Williams Ave",44.7163,-63.5857
"6005","akerley Blvd in front of Windmill Rd",44.704,-63.6111
"6006","akerley Blvd [eastbound] in front of civic address 10",44.7053,-63.6099
"6007","akerley Blvd in front of civic address 35",44.7102,-63.6043
"6008","akerley Blvd [inbound] before Burnside Dr",44.715,-63.5902
"6009","akerley Blvd before Fielding Ave",44.7077,-63.6074
"6010","akerley Blvd before Isnor Dr",44.7101,-63.6038
"6011","akerley Blvd before Joe Zatzman Ave",44.7111,-63.6009
"6012","akerley Blvd before Morris Dr",44.7055,-63.6101
"6013","akerley Blvd before Mosher Dr",44.7078,-63.6076
"6014","akerley Blvd before Windmill Rd",44.7038,-63.6117
"6015","akerley Blvd before and opposite civic address 31",44.7091,-63.6059
"6016","akerley Blvd opposite civic address 95",44.7132,-63.5946
"6017","albro Lake Rd after Cedar Ct",44.6841,-63.579
"6018","albro Lake Rd after Chapman St",44.6787,-63.5848
"6019","albro Lake Rd after Richmond St",44.6777,-63.5861
"6020","albro Lake Rd before and opposite Chapman St",44.6788,-63.5851
"6021","albro Lake Rd before and opposite Slayter St",44.6804,-63.5832
"6022","albro Lake Rd before Richmond St",44.6777,-63.5865
"6023","albro Lake Rd before civic address 176",44.684,-63.5789
"6024","albro Lake Rd opposite Sheridan St",44.6824,-63.581
"6025","alderney Dr [northbound] in front of Alderney Manor",44.6663,-63.5714
"6026","alderney Dr [southbound] opposite Alderney Manor",44.6662,-63.5715
