"COUNT(DISTINCT PERMIT_NUMBER)","AVG (ESTIMATED_VALUE_OF_PROJECT)",COMMUNITY
47,200114.2553,BEDFORD
1,10000.0000,BEECHVILLE
1,710000.0000,"COLE HARBOUR"
67,372612.0299,DARTMOUTH
1,100000.0000,"EAST CHEZZETCOOK"
1,100.0000,"EAST LAWRENCETOWN"
2,20000.0000,"FALL RIVER"
2,125800.0000,GOFFS
187,243260.7380,HALIFAX
5,310600.0000,"HAMMONDS PLAINS"
2,400000.0000,"HATCHET LAKE"
20,72650.0000,"LOWER SACKVILLE"
1,60000.0000,"MIDDLE MUSQUODOBOIT"
4,188775.0000,"MIDDLE SACKVILLE"
1,380000.0000,"PORTERS LAKE"
2,13000.0000,"UPPER TANTALLON"
1,80000.0000,WELLINGTON
2,382500.0000,WESTPHAL
