BP_ID,DATEDIFF
527104,6
526906,7
526856,11
526795,11
525544,28
522966,56
526863,10
513852,143
525742,25
525938,21
526014,20
526455,11
526823,7
526777,7
526127,16
526850,7
526882,4
525790,22
526250,14
521027,72
525578,23
526291,14
525906,18
526002,17
524452,38
524865,35
524450,38
526016,16
524307,37
525756,21
517935,117
528728,8
527446,13
519849,84
500854,297
527364,22
528150,10
524974,49
528066,19
526617,5
526579,5
525121,29
527125,0
521503,69
526040,16
526746,7
524834,34
526492,9
526711,7
523916,41
525977,17
526489,9
526487,9
526486,9
526770,7
526568,9
525733,20
525878,19
526653,7
526253,12
526750,6
525385,26
526306,12
526135,14
525948,16
525849,19
525631,21
513900,138
520858,70
527005,0
526716,5
525664,20
525841,15
521802,61
524973,49
526666,49
527316,23
528331,8
526505,6
525980,14
525476,21
526603,6
526753,42
528503,6
526939,37
524611,69
526859,29
528253,8
527567,19
524598,69
528099,4
528263,8
526225,40
528593,2
527749,11
528368,7
526807,29
520376,113
527709,12
526081,12
526516,28
526325,54
527839,22
528629,9
528282,15
528502,12
528417,12
525843,60
522489,96
528722,6
528456,11
527334,35
528851,5
527590,26
528613,7
528346,12
527226,38
522118,98
527409,34
528197,14
528401,12
510350,211
528941,1
526988,38
528997,0
528996,0
527493,8
528204,9
521791,60
528223,1
528995,0
528994,0
526704,43
528254,10
527835,17
526847,42
527986,16
527644,22
524835,70
527583,14
528950,0
528940,0
528127,10
528224,9
528131,10
528175,10
526637,43
527570,27
528569,6
528636,3
528097,13
526754,42
527325,31
528280,9
527923,15
521790,60
521789,60
521785,60
524975,27
514666,125
526388,7
525282,24
524912,27
526598,2
525139,23
526597,23
526247,7
526549,24
526037,10
526980,17
525549,17
527128,14
526543,3
528470,6
526843,20
521798,57
527009,16
528225,1
526427,4
524547,30
525597,16
525905,11
526133,9
526308,7
526050,10
525879,14
525466,18
526386,4
526266,7
521812,52
523988,35
525477,17
525700,14
526676,0
526675,0
526674,0
526673,0
526672,0
522508,48
522356,49
521999,54
526019,8
511164,161
508398,183
523603,37
524954,22
527084,15
527141,14
528226,1
526936,17
514513,145
528227,1
526295,26
528228,1
527635,0
528230,1
527636,0
528250,0
527637,0
528251,0
526838,19
528252,0
525568,36
527246,25
527091,14
526918,28
523305,62
527620,0
527621,0
527622,0
527623,0
525694,35
527619,0
527618,0
527617,0
527616,0
527615,0
524385,50
526574,21
519450,99
526802,19
526577,21
525985,29
525093,42
519803,97
527362,8
518635,106
525927,30
527363,8
527322,9
523453,61
527303,9
527361,8
527197,7
526703,15
525486,32
528441,5
522321,91
527482,27
527925,13
528560,4
528054,11
528125,8
527177,33
528016,12
528233,7
528232,7
528122,10
527816,13
527911,12
528177,7
526796,38
528123,4
528222,3
527920,9
528179,4
528180,4
525621,51
523863,72
527103,29
527399,24
527387,24
527386,24
526424,38
526693,35
525356,54
527348,21
527070,26
527564,17
527413,20
527634,12
527279,21
527401,20
503479,259
503289,262
527232,24
525923,42
527489,15
518992,113
527647,7
527527,13
527419,16
527435,15
524183,62
527628,8
526304,33
526760,26
527408,15
527010,22
526456,30
527355,16
525461,43
526491,29
527076,21
527312,16
525256,6
524950,8
524519,14
521862,40
524141,18
503308,214
524161,18
524311,15
523566,22
514907,103
522049,36
523957,19
523240,26
515026,102
525046,6
524997,7
524091,18
523762,21
525161,6
523297,26
524923,7
522678,31
524709,11
524852,10
525051,5
522310,33
524330,14
524741,11
523139,25
524716,6
524715,11
519975,59
524719,11
524472,13
524360,12
524008,18
523910,19
523724,20
522262,34
522635,32
522676,31
524792,10
524277,14
524552,9
524549,9
524147,14
522835,25
524213,14
525261,1
524674,3
525368,0
523884,16
522762,28
524405,10
522232,31
524314,11
524527,21
524223,26
524868,19
524875,19
524947,15
525557,8
525920,2
525494,8
524802,19
525257,13
525048,14
525130,14
525132,14
525653,7
525778,6
514256,107
524107,7
524722,15
525006,15
525007,15
525532,8
525418,7
524862,19
524074,27
524860,18
525687,6
524110,25
525345,11
524326,22
524462,21
524470,21
525637,6
525527,7
525543,7
524269,22
524148,25
522271,42
524655,19
521788,46
523482,28
525332,10
521346,52
524294,21
525524,6
520165,62
524737,18
524281,21
524001,25
525517,6
525783,4
522269,41
522266,41
525782,4
523983,25
525781,4
518592,73
521653,45
525521,3
525865,10
525327,19
526580,0
525426,16
525310,19
524956,22
524949,22
524721,27
526094,7
525552,15
525599,14
525686,14
526064,7
524329,29
525734,12
525125,20
525343,18
525417,15
525858,8
525292,19
525774,12
523666,35
525322,18
526520,0
526521,0
526519,0
526518,0
526517,0
525768,12
525826,11
515610,111
509644,173
521646,55
521843,54
525242,18
525845,11
525995,8
525949,8
525546,14
525509,14
525383,18
523129,41
522898,42
525555,14
524846,25
525577,14
525946,8
523419,38
526437,0
526436,0
526435,0
526434,0
526433,0
525740,11
525473,4
523541,18
523921,8
526121,5
503364,227
526267,3
525138,19
523116,40
525866,10
520524,67
525868,10
525814,11
525551,13
519757,74
523484,38
525072,19
523647,34
486443,413
498200,282
498825,275
525915,4
525124,16
526029,3
521941,46
491441,374
525199,15
524966,17
483550,455
525925,4
525636,9
525475,9
517337,92
512157,143
525280,14
518107,84
517943,84
525652,8
524606,22
525293,14
525602,8
525908,3
525737,7
525559,9
525362,13
524295,24
520789,59
524137,27
524962,16
522880,38
468268,587
525589,9
524576,21
525562,8
487053,420
525334,12
526170,0
525703,7
526164,0
525697,7
524532,21
524396,22
524285,4
523518,18
525133,9
524466,17
524463,17
524587,16
524525,16
514762,108
523197,30
525548,3
524193,21
516884,87
522171,39
523590,25
523825,23
523021,31
516569,91
525785,0
524423,16
522895,31
523372,27
524747,13
523759,23
524205,20
523238,28
525398,6
512011,136
523567,24
513595,120
524487,16
525163,8
525457,3
518234,76
524702,14
524703,9
525305,6
524132,20
524382,16
519688,63
522087,38
523671,23
525160,8
524481,16
523524,24
523849,22
520662,55
520660,55
525375,5
515880,96
524327,16
523694,22
524378,15
523760,22
525101,7
522752,33
522782,30
524804,7
522233,24
523050,17
524247,4
523857,9
523380,14
523336,11
523194,16
522471,22
519520,51
523344,15
520192,46
520775,39
522680,21
521716,30
522717,21
522545,22
524023,8
524036,8
522251,24
522206,24
523016,17
522267,24
524788,0
519230,53
524318,4
524304,3
523416,13
524686,0
524685,0
524684,0
524683,0
524682,0
521832,23
523828,8
523087,16
523443,13
509390,148
522516,20
523085,15
517368,69
523629,9
503599,198
520073,44
521306,34
128255,3852
522759,19
522726,19
522725,19
522723,19
523992,6
523631,8
522777,16
523976,15
524461,10
517449,77
524474,10
521700,36
522841,24
524940,3
522671,28
523184,23
524362,10
524157,14
523564,18
521467,42
523175,23
521156,44
520293,52
524700,8
523265,21
523323,20
523325,21
523326,21
524733,7
523771,16
524969,2
523366,20
523563,17
519348,57
524529,7
524689,6
524060,13
524224,12
524227,12
522869,23
522503,27
524384,8
522282,28
507224,170
524342,8
521360,39
521807,33
523414,18
523949,12
523768,14
523094,20
513191,116
522505,26
523997,12
524067,11
524258,8
524165,11
523851,9
521987,26
523013,15
523555,9
522615,20
354039,1798
447745,797
434499,924
455509,719
354996,1790
448092,795
522572,19
522570,19
523429,11
522728,18
522066,22
524186,4
523744,7
522952,6
523343,11
508749,152
519529,48
520709,39
523357,11
523103,13
519999,46
522334,21
523195,13
523711,7
523831,5
522526,18
523298,11
521026,33
523986,4
522660,17
521402,31
523121,11
523319,11
521977,24
517906,61
510478,137
522605,15
523330,6
514850,78
521730,7
524069,1
523871,2
523000,10
523242,8
522996,10
522311,16
522004,21
523835,2
523834,2
522495,15
519276,46
521497,28
523684,3
523307,8
522300,17
519247,25
522588,14
521742,22
523370,6
523127,8
520811,31
523373,6
522313,16
522241,16
523525,2
523750,2
523335,6
523303,7
523304,7
523560,2
521439,27
521982,20
523145,8
522200,16
523286,6
521863,21
522161,17
523144,7
521461,26
520113,37
517726,57
522264,15
520414,35
521021,28
522557,13
523002,8
520342,22
521764,15
521936,19
522942,8
518737,49
522383,14
522862,7
522859,7
522861,7
522821,8
521909,18
509809,137
513578,98
516489,68
521273,26
521856,19
522687,11
523237,5
511988,113
520178,36
520796,29
520886,28
497103,271
522988,7
522366,13
522840,7
521459,24
522574,11
521899,17
520787,16
521779,6
520976,15
520862,16
520816,16
521726,7
520361,21
519447,28
520978,14
522697,10
516525,50
521367,12
522658,6
494094,296
