ESTIMATED_VALUE_OF_PROJECT,ALTERNATE_BUILDING_TYPE
230000,"SINGLE UNIT DWELLING"
30000,"OTHER SERVICE"
0,"OTHER SERVICE"
185000,"ACCESSORY BUILDING"
260000,"SINGLE UNIT DWELLING"
28000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
240000,"SINGLE UNIT DWELLING"
92000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
88000,"SINGLE UNIT DWELLING"
60000,"COMMUNITY CENTRE"
70000,"MULTI COMMERCIAL"
180000,"SINGLE UNIT DWELLING"
45000,"TWO UNIT DWELLING"
430000,"SINGLE UNIT DWELLING"
100000,"MOBILE HOME"
200000,"TWO UNIT DWELLING"
34000,"ACCESSORY BUILDING"
35000,BAR/RESTAURANT
220000,"SINGLE UNIT DWELLING"
510000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
850000,BAR/RESTAURANT
200000,"SINGLE UNIT DWELLING"
15000,"RECREATION FACILITY"
400000,"REPAIR GARAGE"
12000,"TWO UNIT DWELLING"
40000,"ACCESSORY BUILDING"
1534600,HOTEL/MOTEL
350000,"SINGLE UNIT DWELLING"
0,OFFICE
35000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
839950,OFFICE
1200000,"POST SECONDARY"
8000,"SINGLE UNIT DWELLING"
14500,"SINGLE UNIT DWELLING"
58952,"SINGLE UNIT DWELLING"
3000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
8500000,"AIRPORT TERMINAL"
280000,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
12000,"SINGLE UNIT DWELLING"
120000,OFFICE
16000,"SINGLE UNIT DWELLING"
18000,"TWO UNIT DWELLING"
400000,"MIXED RES/COMM"
10000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
65000,"SINGLE UNIT DWELLING"
45000,DAYCARE
150000,"MULTI-UNIT DWELLING"
900000,BANK
0,"MIXED RES/COMM"
107000,"SINGLE UNIT DWELLING"
133800,"MOBILE HOME"
750000,TOWNHOUSE
180000,BAR/RESTAURANT
26267,"SINGLE UNIT DWELLING"
74969,"SINGLE UNIT DWELLING"
150000,"OTHER SERVICE"
500000,"TWO UNIT DWELLING"
60000,"TWO UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
20000,TOWNHOUSE
16000,"MULTI COMMERCIAL"
141400,"MOBILE HOME"
145000,"MOBILE HOME"
0,"MOBILE HOME"
245000,"SINGLE UNIT DWELLING"
26000,"STRIP MALL"
0,"SINGLE UNIT DWELLING"
20176,"SINGLE UNIT DWELLING"
330000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
135294,"MOBILE HOME"
560000,"SINGLE UNIT DWELLING"
60000,BAR/RESTAURANT
12000,"SINGLE UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
260000,OFFICE
750000,BAR/RESTAURANT
119000,"STRIP MALL"
750000,"MULTI-UNIT DWELLING"
850000,"SINGLE UNIT DWELLING"
200000,"SHOPPING CENTRE"
15000,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
45000,BANK
480000,TOWNHOUSE
225000,BAR/RESTAURANT
500000,"MULTI-UNIT DWELLING"
750000,"MULTI-UNIT DWELLING"
648000,"MULTI-UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
8000,"MULTI-UNIT DWELLING"
