spurf,spurf1,ALTERNATE_BUILDING_TYPE
24504.3379,24504.3379,"ACCESSORY BUILDING"
128111.1111,128111.1111,"AGRICULTURE FACILITY"
89983.1538,89983.1538,"AIRPORT SUPPORT FACILI"
1163221.4545,1163221.4545,"AIRPORT TERMINAL"
300000.0000,300000.0000,"AQUACULTURE FACILITY"
55000.0000,55000.0000,"ART GALLERY"
688807.6364,688807.6364,"AUTO DEALERSHIP"
449688.7188,449688.7188,BANK
121329.2772,121329.2772,BAR/RESTAURANT
80000.0000,80000.0000,"BED & BREAKFAST"
99565.6667,99565.6667,"BOARDING HOUSE"
100000.0000,100000.0000,"BOWLING ALLEY"
85000.0000,85000.0000,BREWERY
2500000.0000,2500000.0000,"BUS TERMINAL"
29283.3333,29283.3333,CAMP
134954.5455,134954.5455,"COMMERCIAL STORAGE"
7500.0000,7500.0000,"COMMUNITY BASED OPTION"
709169.2963,709169.2963,"COMMUNITY CENTRE"
283454.0000,283454.0000,"COURT HOUSE"
375312.1053,375312.1053,DAYCARE
391920.0000,391920.0000,"DEVELOPMENTAL RESIDENC"
584833.3333,584833.3333,DORMITORY
2136000.0000,2136000.0000,"EVENT CENTRE"
868184.5833,868184.5833,FACTORY/PLANT
238906.8571,238906.8571,"FERRY TERMINAL"
109948.8750,109948.8750,"FIRE STATION"
153333.3333,153333.3333,"FISH PLANT"
60000.0000,60000.0000,"FISH SHED"
10000.0000,10000.0000,"FUNERAL HOME"
185510.1538,185510.1538,"GAS STATION"
28425.0000,28425.0000,GREENHOUSE
200000.0000,200000.0000,"GROUP HOME"
37000.0000,37000.0000,HOSPITAL
2321111.0357,2321111.0357,HOTEL/MOTEL
786400.0000,786400.0000,LABORATORY/RESEARCH
9890456.0000,9890456.0000,LIBRARY
160187.5000,160187.5000,"MEDICAL CLINIC"
133232.0000,133232.0000,"MEDICAL OFFICE"
1216500.0000,1216500.0000,"MINING FACILITY"
1685801.9185,1685801.9185,"MIXED RES/COMM"
87709.6122,87709.6122,"MOBILE HOME"
21109.0000,21109.0000,"MOVIE THEATRE"
254045.9345,254045.9345,"MULTI COMMERCIAL"
1083134.8777,1083134.8777,"MULTI-UNIT DWELLING"
43473.7500,43473.7500,MUSEUM
30850.0000,30850.0000,"NON PROFIT"
1485033.3333,1485033.3333,"NURSING HOME"
129666.6667,129666.6667,OBSERVATORY
488087.6632,488087.6632,OFFICE
312165.3665,312165.3665,"OTHER RETAIL"
487465.4505,487465.4505,"OTHER SERVICE"
700000.0000,700000.0000,"PARAMEDIC BASE"
409395.5000,409395.5000,"PARK FACILITY"
4158707.0238,4158707.0238,"PARKING STRUCTURE"
54733.9000,54733.9000,"PERSONAL SERVICE"
225753.9211,225753.9211,"PLACE OF WORSHIP"
4324309.3750,4324309.3750,"POST SECONDARY"
377409.4000,377409.4000,"PRIVATE CLUB"
1369941.2500,1369941.2500,"PRIVATE SCHOOL"
156500.0000,156500.0000,"PUBLIC SCHOOL"
332250.0000,332250.0000,"PUMPING STATION"
50000.0000,50000.0000,"RADIO STATION"
835000.0000,835000.0000,"RCMP STATION"
2188402.1176,2188402.1176,"RECREATION FACILITY"
366236.6286,366236.6286,"REPAIR GARAGE"
30000.0000,30000.0000,"SALT DOME"
594689.5070,594689.5070,"SHOPPING CENTRE"
163325.7457,163325.7457,"SINGLE UNIT DWELLING"
11000.0000,11000.0000,"SMALL OPTION"
25000.0000,25000.0000,"SOCIETY HALL"
22366.6667,22366.6667,"SPRAY PAINT OPERATION"
212368.6486,212368.6486,"STRIP MALL"
608756.6667,608756.6667,SUPERMARKET
392000.0000,392000.0000,"TELEVISION STATION"
254333.3333,254333.3333,THEATRE
448888.1290,448888.1290,TOWNHOUSE
73607.0000,73607.0000,"TREATMENT PLANT"
145792.2662,145792.2662,"TWO UNIT DWELLING"
40365.5000,40365.5000,UNKNOWN
415568.3333,415568.3333,"UTILITY FACILITY"
22500.0000,22500.0000,"VETERINARY CLINIC"
1077547.5000,1077547.5000,WAREHOUSE
