"average_volume_of_vehicles","Main_Street_Name"
9059," ADELAIDE ST E "
8929," ADELAIDE ST W "
16343," ALBION RD "
7916," ALLIANCE AVE "
9887," ALNESS ST "
9363," ANNETTE ST "
7898," ASHTONBEE RD "
6967," ATTWELL DR "
20930," AVENUE RD "
3793," BAMBURGH CRCL "
17765," BATHURST ST "
15286," BAY ST "
22995," BAYVIEW AVE "
8072," BEECROFT RD "
7643," BELFIELD RD "
8821," BELLAMY RD N "
9826," BERMONDSEY RD "
13803," BIRCHMOUNT RD "
25389," BLACK CREEK DR "
12018," BLOOR ST "
20512," BLOOR ST E "
14505," BLOOR ST W "
4677," BONIS AVE "
6892," BREMNER BLVD "
10837," BRENTCLIFFE RD "
2748," BRENYON WAY "
5174," BRIDLETOWNE CRCL "
15662," BRIMLEY RD "
5836," BRITISH COLUMBIA RD "
11037," BROADVIEW AVE "
16758," BROWNS LINE "
22107," BURNHAMTHORPE RD "
12589," CALEDONIA RD "
10912," CARLINGVIEW DR "
7019," CARLTON ST "
10037," CASTLEFIELD AVE "
8121," CHAPLIN CRES "
5622," CHERRY ST "
9140," CHESSWOOD DR "
6708," CHRISTIE ST "
11702," CHURCH ST "
11986," CLONMORE DR "
11402," COLLEGE ST "
5029," COMMISSIONERS ST "
6961," COMSTOCK RD "
9144," CONSILIUM PL "
9725," CONSUMERS RD "
6631," CORPORATE DR "
8030," COSBURN AVE "
10017," COXWELL AVE "
12273," CUMMER AVE "
13532," DANFORTH AVE "
11564," DANFORTH RD "
13143," DAVENPORT RD "
7738," DAWES RD "
19125," DIXON RD "
23793," DON MILLS RD "
7937," DON MILLS RD E "
9311," DON MILLS RD W "
12135," DONLANDS AVE "
9416," DORIS AVE "
9251," DOVERCOURT RD "
9696," DREWRY AVE "
18076," DUFFERIN ST "
10455," DUNDAS ST E "
15638," DUNDAS ST W "
6813," DUPLEX AVE "
13921," DUPONT ST "
3580," DWIGHT AVE "
10852," EASTERN AVE "
23968," EGLINTON AVE E "
19140," EGLINTON AVE W "
16383," ELLESMERE RD "
3914," ESTHER SHINER BLVD "
12942," EVANS AVE "
10533," FAIRVIEW MALL DR "
8958," FENMAR DR "
20369," FINCH AVE E "
20278," FINCH AVE W "
7407," FORT YORK BLVD "
9482," FRONT ST E "
10479," FRONT ST W "
7957," GARDINER E PARK LAWN RD RAMP "
5256," GATEWAY BLVD "
11171," GERRARD ST E "
8701," GERRARD ST W "
4454," GRANTBROOK ST "
9180," GREENWOOD AVE "
6900," GUILDWOOD PKWY "
4240," GUNNS RD "
7058," HALLAM ST "
8546," HARBORD ST "
13737," HARBOUR ST "
24059," HIGHWAY 27 "
7550," HORNER AVE "
6686," HOSKIN AVE "
8586," HUMBER COLLEGE BLVD "
7890," HUMBERWOOD BLVD "
8310," HUNTINGWOOD DR "
10151," IAN MACDONALD BLVD "
7108," INGRAM DR "
16738," ISLINGTON AVE "
16812," JANE ST "
18060," JARVIS ST "
17753," KEELE ST "
23106," KENNEDY RD "
9482," KING ST E "
11185," KING ST W "
18005," KINGSTON RD "
13772," KIPLING AVE "
16203," LAIRD DR "
17672," LAKE SHORE BLVD E "
16772," LAKE SHORE BLVD W "
11768," LANSDOWNE AVE "
20356," LAWRENCE AVE E "
16359," LAWRENCE AVE W "
5127," LEBOVIC AVE "
20264," LESLIE ST "
15391," LOWER JARVIS ST "
6830," LOWER SHERBOURNE ST "
6151," LOWER SIMCOE ST "
6519," LUMSDEN AVE "
15646," MAIN ST "
22277," MARKHAM RD "
12349," MARLEE AVE "
10505," MARTIN GROVE RD "
20737," MCCOWAN RD "
6932," MCLEVIN AVE "
10268," MCNICOLL AVE "
7323," MEADOWVALE RD "
12415," MIDDLEFIELD RD "
13494," MIDLAND AVE "
7669," MILITARY TRL "
6626," MILLWICK DR "
12458," MILLWOOD RD "
9093," MILNER AVE "
12672," MORNINGSIDE AVE "
9241," MORTIMER AVE "
18778," MOUNT PLEASANT RD "
1872," MURRAY ROSS PKWY "
13136," NEILSON RD "
10787," NORTH QUEEN ST "
17893," O CONNOR DR "
