"the_location","latitude","longitude","countdate","totalvolume"
" BAY ST  BLOOR ST W ",43.669701,-79.389468,2016-04-19T00:00:00.0000000,56990
" BLOOR ST E  CHURCH ST ",43.6710224,-79.383123,2015-11-10T00:00:00.0000000,51749
" SHEPPARD AVE E  BAYVIEW AVE ",43.7666244,-79.388044,2015-12-02T00:00:00.0000000,50996
" YONGE ST  SHEPPARD AVE ",43.7615144,-79.410903,2016-05-18T00:00:00.0000000,50476
" DUNDAS ST W  BAY ST ",43.655721,-79.383734,2015-04-13T00:00:00.0000000,48516
" YONGE ST  STEELES AVE ",43.798049,-79.420064,2013-10-08T00:00:00.0000000,48488
" DON MILLS RD  EGLINTON AVE E ",43.7205,-79.33888,2013-05-15T00:00:00.0000000,47782
" YONGE ST  KING ST ",43.6491624,-79.377904,2015-01-22T00:00:00.0000000,47465
" YONGE ST  DUNDAS ST ",43.656326,-79.380912,2015-04-11T00:00:00.0000000,45540
" YONGE ST  CARLTON ST  COLLEGE ST ",43.6613687,-79.383094,2014-05-05T00:00:00.0000000,45468
