"Main_Street_Name","summary_vehicle","summary_pedestrian","day_of_week"
" YONGE ST ",532985,128377,"Wednesday"
" EGLINTON AVE W ",427650,32544,"Monday"
" YONGE ST ",255817,156588,"Tuesday"
" STEELES AVE W ",393774,12123,"Wednesday"
" DUFFERIN ST ",334888,20290,"Monday"
" YONGE ST ",237615,106848,"Monday"
" EGLINTON AVE E ",317885,18392,"Monday"
" KEELE ST ",319935,11353,"Tuesday"
" KINGSTON RD ",310368,14424,"Wednesday"
" LAWRENCE AVE E ",291833,17124,"Tuesday"
" SHEPPARD AVE E ",284787,10980,"Wednesday"
" SHEPPARD AVE E ",261236,14442,"Saturday"
" BLOOR ST W ",247976,26267,"Tuesday"
" KENNEDY RD ",267137,6805,"Thursday"
" LAWRENCE AVE E ",255255,14004,"Monday"
" EGLINTON AVE E ",245143,16948,"Wednesday"
" WARDEN AVE ",253033,6544,"Tuesday"
" STEELES AVE E ",252686,6304,"Monday"
" FINCH AVE E ",238271,20713,"Tuesday"
" KINGSTON RD ",247615,10949,"Thursday"
" BATHURST ST ",211528,45492,"Saturday"
" FINCH AVE W ",226945,15037,"Thursday"
" AVENUE RD ",214096,27481,"Monday"
" FINCH AVE E ",232045,9489,"Wednesday"
" JANE ST ",225357,14792,"Tuesday"
" BATHURST ST ",218428,19617,"Tuesday"
" BATHURST ST ",226374,11183,"Wednesday"
" EGLINTON AVE E ",224448,11670,"Thursday"
" KIPLING AVE ",224816,5736,"Tuesday"
" FINCH AVE W ",213946,9788,"Wednesday"
" STEELES AVE E ",218978,4338,"Wednesday"
" YONGE ST ",110164,112719,"Saturday"
" MARKHAM RD ",214426,5778,"Saturday"
" BATHURST ST ",210813,7010,"Monday"
" BAY ST ",111260,105539,"Thursday"
" BAYVIEW AVE ",211349,3587,"Monday"
" YONGE ST ",148145,65829,"Thursday"
" DUNDAS ST W ",176308,36667,"Saturday"
" LAKE SHORE BLVD W ",186927,25368,"Wednesday"
" BAYVIEW AVE ",195254,13226,"Tuesday"
" BLOOR ST W ",162766,41051,"Wednesday"
" WESTON RD ",191660,11139,"Thursday"
" YORK MILLS RD ",194510,6739,"Wednesday"
" LAKE SHORE BLVD W ",190245,9320,"Thursday"
" SHEPPARD AVE E ",192065,6170,"Thursday"
" LAWRENCE AVE E ",188650,9299,"Wednesday"
" LAKE SHORE BLVD W ",192949,4379,"Monday"
" BAY ST ",86621,108990,"Wednesday"
" BLOOR ST W ",133106,60903,"Thursday"
" VICTORIA PARK AVE ",185889,7529,"Tuesday"
" DANFORTH AVE ",153430,38454,"Thursday"
" DUNDAS ST W ",175773,14911,"Tuesday"
" DUNDAS ST W ",159657,29571,"Wednesday"
" AVENUE RD ",175908,11213,"Wednesday"
" DUFFERIN ST ",179470,7424,"Tuesday"
" STEELES AVE E ",174922,11051,"Saturday"
" FINCH AVE W ",175587,8773,"Monday"
" JANE ST ",174766,8900,"Thursday"
" ST CLAIR AVE W ",157760,25567,"Thursday"
" EGLINTON AVE W ",169605,9710,"Tuesday"
" DON MILLS RD ",162036,12529,"Wednesday"
" DUNDAS ST W ",110379,63391,"Monday"
" VICTORIA PARK AVE ",167106,5303,"Wednesday"
" DUNDAS ST W ",159786,9285,"Thursday"
" ISLINGTON AVE ",164452,2371,"Tuesday"
" THE QUEENSWAY ",161172,3032,"Wednesday"
" STEELES AVE W ",155091,4015,"Saturday"
" BAY ST ",80949,77556,"Tuesday"
" SHEPPARD AVE E ",150378,7798,"Tuesday"
" DUFFERIN ST ",122287,35771,"Saturday"
" ALBION RD ",153619,3641,"Wednesday"
" BRIMLEY RD ",152465,4312,"Tuesday"
" STEELES AVE W ",148797,7753,"Monday"
" MARTIN GROVE RD ",152587,3786,"Tuesday"
" WESTON RD ",145903,10134,"Monday"
" STEELES AVE E ",151705,1056,"Tuesday"
" WILSON AVE ",145861,5854,"Thursday"
" MCCOWAN RD ",147169,3131,"Saturday"
" SPADINA AVE ",93489,54457,"Thursday"
" UNIVERSITY AVE ",102591,45100,"Thursday"
" SHEPPARD AVE W ",140831,6319,"Wednesday"
" AVENUE RD ",141634,5490,"Tuesday"
" ISLINGTON AVE ",142040,4776,"Wednesday"
" WESTON RD ",143008,3671,"Wednesday"
" MARKHAM RD ",145444,1092,"Wednesday"
" DON MILLS RD ",139212,5993,"Monday"
" DUNDAS ST E ",106834,36542,"Monday"
" JANE ST ",134376,8585,"Monday"
" EGLINTON AVE W ",138178,4272,"Thursday"
" LAWRENCE AVE W ",134264,7748,"Wednesday"
" KENNEDY RD ",131385,10167,"Tuesday"
" MORNINGSIDE AVE ",136318,4316,"Wednesday"
" BLOOR ST W ",125920,14533,"Monday"
" DON MILLS RD ",135588,4677,"Thursday"
" CHURCH ST ",86385,52966,"Wednesday"
" ALBION RD ",132307,5851,"Tuesday"
" BURNHAMTHORPE RD ",134568,3146,"Wednesday"
" DANFORTH AVE ",103766,33639,"Tuesday"
" DUFFERIN ST ",129715,7655,"Wednesday"
" WARDEN AVE ",132776,3020,"Wednesday"
" THE QUEENSWAY ",132418,2091,"Thursday"
" MARKHAM RD ",127697,6565,"Tuesday"
" LAWRENCE AVE W ",122919,11127,"Thursday"
" BAYVIEW AVE ",131314,1184,"Thursday"
" LESLIE ST ",128710,3514,"Monday"
" LAKE SHORE BLVD W ",121419,10739,"Saturday"
" ISLINGTON AVE ",127151,3954,"Thursday"
" MCCOWAN RD ",123023,5260,"Monday"
" KING ST W ",86907,39698,"Thursday"
" FINCH AVE E ",117901,6879,"Thursday"
" KINGSTON RD ",121992,2744,"Monday"
" BIRCHMOUNT RD ",119916,4751,"Tuesday"
" JARVIS ST ",103395,21205,"Wednesday"
" FINCH AVE E ",116177,6456,"Monday"
" ST CLAIR AVE W ",99324,22888,"Monday"
" LAWRENCE AVE W ",116730,5333,"Monday"
" FINCH AVE W ",117589,4318,"Tuesday"
" VICTORIA PARK AVE ",115527,5847,"Monday"
" DON MILLS RD ",110423,7590,"Tuesday"
" THE QUEENSWAY ",113856,3515,"Monday"
" WARDEN AVE ",112024,3855,"Monday"
" ST CLAIR AVE E ",108607,6644,"Thursday"
" ELLESMERE RD ",109164,4951,"Monday"
" UNIVERSITY AVE ",65361,48629,"Monday"
