username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HAFILAXtweets;2016-10-29 19:03;5;4;"Halifax Jazz Festival Announces “Tales of a Charlie Brown Christmas,” featuring Jerry Granelli, December 4, 2016 ... pic.twitter.com/use1hzw3sY";;;;"792487136280715264";https://twitter.com/HAFILAXtweets/status/792487136280715264
HRCEmusic;2016-10-29 09:46;1;3;"Halifax all city music is happy to be hosting an NS band association event today. Jazz clinic for jazz educators ! pic.twitter.com/ZzlcJgSSyv";;;;"792346926779949057";https://twitter.com/HRCEmusic/status/792346926779949057
technicaljobsca;2016-10-27 18:01;0;0;"Spécialiste - Sécurité et Santé au travail à Halifax , NS pour Jazz Aviation http:// jobx.ca/MXhjw0";;;;"791746577060683776";https://twitter.com/technicaljobsca/status/791746577060683776
halifaxca1;2016-10-27 16:40;0;0;"Occupational Safety & Health Specialist - Jazz Aviation LP - Halifax , NS https:// goo.gl/fb/axr97t Job Halifax CA";;;;"791726283394846720";https://twitter.com/halifaxca1/status/791726283394846720
job_canada_;2016-10-25 02:56;0;0;"Jazz Aviation LP: Crew Pay Auditor ( Halifax , Nova Scotia, Canada) http://www. jobs.as/job/14864906/c rew-pay-auditor/ …";;;;"790794044733403137";https://twitter.com/job_canada_/status/790794044733403137
halifaxca1;2016-10-24 17:15;0;0;"Crew Pay Auditor - Jazz Aviation LP - Halifax , NS https:// goo.gl/fb/kDgNpr Job Halifax CA";;;;"790647898618880000";https://twitter.com/halifaxca1/status/790647898618880000
Acctjobsca;2016-10-24 14:58;0;0;"Vérificateur - Paie des équipages à Halifax , NS pour Jazz Aviation http:// jobx.ca/MWWT6D";;;;"790613490692075520";https://twitter.com/Acctjobsca/status/790613490692075520
Acctjobsca;2016-10-24 14:53;0;0;"Crew Pay Auditor in Halifax , NS for Jazz Airline http:// jobx.ca/MWWP6Q";;;;"790612106269777920";https://twitter.com/Acctjobsca/status/790612106269777920
HRjobca;2016-10-24 14:53;0;0;"Vérificateur - Paie des équipages à Halifax , NS pour Jazz Aviation http:// jobx.ca/MWWP5D";;;;"790612103199535104";https://twitter.com/HRjobca/status/790612103199535104
ToileRecruteurs;2016-10-24 14:53;0;0;"Vérificateur - Paie des équipages à Halifax , NS pour Jazz Aviation http:// jobx.ca/MWWNys";;;;"790612087764430849";https://twitter.com/ToileRecruteurs/status/790612087764430849
halifaxnoise;2016-10-24 14:18;4;8;"SAVE THE DATE : DEC 4 — SAVE THE DATE From @hfxjazzfest — Halifax Jazz Festival Announces … http:// ift.tt/2eLmYIg pic.twitter.com/nr0FXD4V8l";;@hfxjazzfest;;"790603464594292736";https://twitter.com/halifaxnoise/status/790603464594292736
