username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
StudioEastHFX;2018-04-29 16:14;0;4;"Hang out with us Sunday Jazz Night with Jeffery Mosher of The Mellotones, Happy Hour All Night y’all + Oyster Deals + Free Chicken Crisp #whattodosunday #chillax #hangout #jazz #halifax #happyhour #localcraftbeer #wine #cocktail #bar #dinner pic.twitter.com/v3f3KuXfM0";;;#whattodosunday #chillax #hangout #jazz #halifax #happyhour #localcraftbeer #wine #cocktail #bar #dinner;"990670797084688385";https://twitter.com/StudioEastHFX/status/990670797084688385
snapdHalifax;2018-04-27 21:00;0;0;"Halifax Jazz Festival Jazz Labs Tomorrow 8:00pm http:// snapd.at/tew7bxx";;;;"990017860486516736";https://twitter.com/snapdHalifax/status/990017860486516736
IanLegate;2018-04-27 13:44;0;0;"July 12th Halifax Jazz Festival https://www. facebook.com/IanLeg/posts/1 0155549569940677 …";;;;"989908120250929153";https://twitter.com/IanLegate/status/989908120250929153
StudioEastHFX;2018-04-27 13:17;2;4;"Performing live Jeff Mosher of The Mellotones!! Join us for food, drinks and live jazz this Sunday April 29th @5pm-10pm #happyhourallnight #sunday #getoutside #halifax #localcraftbeer #wine #cocktail #eatdrinklocal #bar #dinner #chillout pic.twitter.com/EWCWSRDJns";;@5pm;#happyhourallnight #sunday #getoutside #halifax #localcraftbeer #wine #cocktail #eatdrinklocal #bar #dinner #chillout;"989901252946522114";https://twitter.com/StudioEastHFX/status/989901252946522114
SwampMusicSWC;2018-04-27 12:11;1;4;"SWC jazz band killing it in Halifax this morning... https:// m.facebook.com/story.php?stor y_fbid=208676636398170&id=203476613584839 …";;;;"989884658446995456";https://twitter.com/SwampMusicSWC/status/989884658446995456
jazz_pad;2018-04-27 03:00;0;0;"They are also playing Halifax and LA, I'm confused. This potentially means NEW ALBUM THOUGH which you will enjoy hearing loads";;;;"989746145692864512";https://twitter.com/jazz_pad/status/989746145692864512
brewnoser;2018-04-26 21:12;0;21;"I’m @Eliot_and_Vine and wondering who does their SM and why I am almost the only person here listening to fantastic live jazz . Either Halifax is brain dead or the people don’t have a way to know? @donaldviolin is so an good, people. Jesus.";;@Eliot_and_Vine @donaldviolin;;"989658581204193280";https://twitter.com/brewnoser/status/989658581204193280
LevParikian;2018-04-26 19:06;0;2;"*John Peel voice* 'and now a four-track EP from three-piece Halifax jazz -metal outfit Blingdunnock. This one's called 'My Cloaca's Yours for the Taking.'";;;;"989626722353139718";https://twitter.com/LevParikian/status/989626722353139718
chantelcorkum;2018-04-26 15:15;1;6;"Silver for the Jazz Band! What a crazy good performance! Even the sound guy complimented our set! @atlfestmusic @ssrsblrhs @SouthShoreRCE @MSVU_ Halifax pic.twitter.com/SPcWfwZSAz";;@atlfestmusic @ssrsblrhs @SouthShoreRCE @MSVU_;;"989568680081219585";https://twitter.com/chantelcorkum/status/989568680081219585
Jody_Robbins;2018-04-26 14:45;0;1;"Oh, Jazz Fest! Sign me up. I also love how the entire city of Halifax gets behind Pride. When is that this year? #AllTravelChat #VisitNovaScotia .";;;#AllTravelChat #VisitNovaScotia;"989561126550585345";https://twitter.com/Jody_Robbins/status/989561126550585345
VisitNovaScotia;2018-04-26 14:35;4;19;"A5. And there are lots of great festivals and events – kids love the Buskers, and there are free concerts during the day when the Halifax Jazz Festival is in town. There's always something going on - on the waterfront. #AllTravelChat pic.twitter.com/IdIz6GLvp5";;;#AllTravelChat;"989558658580336642";https://twitter.com/VisitNovaScotia/status/989558658580336642
GeoffTakesOn;2018-04-26 12:14;2;5;"Good luck to @colonelbyss jazz vocal ensemble, the C-Flats, who are performing and competing today at the Atlantic Festival of Music in Halifax , N.S. #CFlats #colonelbyss #AtlanticFestivalofMusic";;@colonelbyss;#CFlats #colonelbyss #AtlanticFestivalofMusic;"989523101644828672";https://twitter.com/GeoffTakesOn/status/989523101644828672
atlantic_canada;2018-04-24 16:02;0;0;"Préposé - Affectation des équipages: Jazz Aviation LP ( Halifax NS): "respon.. #AtlanticCanada #NovaScotia #eluta http:// dld.bz/gMbZV";;;#AtlanticCanada #NovaScotia #eluta;"988855622862065664";https://twitter.com/atlantic_canada/status/988855622862065664
NSTopEmployers;2018-04-24 15:01;0;0;"Préposé - Affectation des équipages: Jazz Aviation LP ( Halifax NS): "responsabilités : .. #NSTopEmployers #eluta http:// dld.bz/gMbZV";;;#NSTopEmployers #eluta;"988840284317519872";https://twitter.com/NSTopEmployers/status/988840284317519872
koohwen7;2018-04-24 10:06;0;0;"Races, News, or Jazz . Come back to Halifax , NS, PLEASE!!!";;;;"988766013381599232";https://twitter.com/koohwen7/status/988766013381599232
Nova_Scotia_Job;2018-04-24 03:22;0;0;"Assistant Crew Scheduler: Jazz Aviation LP ( Halifax NS): "Responsibilities: Reporting to th.. #novascotia #eluta http:// dld.bz/gJPGh";;;#novascotia #eluta;"988664377950834688";https://twitter.com/Nova_Scotia_Job/status/988664377950834688
YoungEmployers;2018-04-24 03:02;0;0;"Assistant Crew Scheduler: Jazz Aviation LP ( Halifax NS): "Responsibilities: Reporting .. #YoungPeopleJobs #eluta http:// dld.bz/gJPGh";;;#YoungPeopleJobs #eluta;"988659328918966272";https://twitter.com/YoungEmployers/status/988659328918966272
Diversity__Jobs;2018-04-24 01:29;0;0;"Assistant Crew Scheduler: Jazz Aviation LP ( Halifax NS): "Responsibilities: Reporting to.. #BestDiversity #eluta http:// dld.bz/gJPGh";;;#BestDiversity #eluta;"988635949860114432";https://twitter.com/Diversity__Jobs/status/988635949860114432
