text,Sentiment,Score
b'Recording at the @trailerparkboys amazing production studio with the great @ColinJamesMusic . @themellotones #hornsection #r &b #halifax pic.twitter.com/7TXIuR5ZKm',positive,0.045522836538461536
b'New Band. Second Show. The Local #halifax #livemusic Thursday September 15th. Rock and roll dashed with fungal R&B and a baby goat.',negative,-0.00013418758616727942
"b""Who's hitting Halifax town this bank holiday Sunday? Come down to twilight and catch me playing a variety of house techno r&b and commercial""",positive,0.004479911644011736
b'I want a rap and R&B music festival with @NICKIMINAJ @rihanna @Drake @Beyonce @chancetherapper @DeJLoaf @fettywap etc in Halifax',negative,-0.004427083333333333
"b""#Halifax R & B performer @ErinCostelo released a new album earlier this year. We'll spin a track this morning. pic.twitter.com/Vx4z9xqF9g""",positive,0.021881103515625
"b""It's Frank MacKay and the R&B All Stars this Sunday at the @HfxPublicGarden #Halifax #NovaScotia #events http:// ow.ly/Cc8D302tOte""",netural,0.0
b'This week: a quick take on Halifax R&B singer Laura Roy. https:// earthingsblog.wordpress.com/2016/07/12/giv e-me-just-a-little-taste/ \\u2026',positive,0.015625
"b'Big Band & modern R&B means Stolen Moments, presented by the @HfxMusic Co-op. #halifaxmusiccoop #jazz #halifax pic.twitter.com/70utI0q0SM \\u2013 bei Halifax Music Co-op'",positive,0.02345677425986842
"b""There's a new Funk/ R&B band on the scene in Halifax . Have a listen to these great tunes from @Talea_NS ! https:// soundcloud.com/taleans""",positive,0.033799391526442304
"b'U R B A N | H I K E S #Halifax #novascotia @Halifax , Nova Scotia https://www. instagram.com/p/BG0RGsWP6Po/'",positive,0.004464285714285714
b'LuluCity & Friends (Dance/ R&B /Rock) http:// halevents.ca/halifax-dartmo uth-bedford-sackville-ns-events/1217/lulucity-dance/?utm_source=dlvr.it&utm_medium=twitter \\u2026 #halevents #halifax pic.twitter.com/ERO2IyRt2c',netural,0.0
b'We need your music to launch the radio http:// 902radio.com #local #hiphop #rap #r &b #halifax #toronto #vancouver #montreal #ottawa',negative,-0.011458333333333333
"b""Saturday Matinee!!! (All genre's Jazz, Blues, Contemporary, R&B ) http:// nsne.ws/4dR #halevents #halifax pic.twitter.com/qRHqOVfazo""",positive,0.004807692307692308
"b'Halifax Jazz Fest lineup embraces trad jazz, R&B and 70s funk http:// herald.ca/WVJ#.Vyn6uxrKO wQ.twitter \\u2026 via @chronicleherald'",positive,0.015625
"b'Halifax Jazz Fest lineup embraces trad jazz, R&amp;B and 70s funk - TheChronicleHerald.ca - http:// bit.ly/1QRB1FO'",positive,0.013323102678571428
"b'Halifax Jazz Fest lineup embraces trad jazz, R&B and 70s funk http:// herald.ca/WVJ pic.twitter.com/dJdlvq6ERX'",positive,0.016826923076923076
2,3,11
