text,Sentiment,Score
"b'#halifax #northend this Saturday drop by @LionandBright on your way to a night of funk, soul and R&B w @asianugruv http://www. shambhalaschool.eventbrite.com'",positive,0.0023518880208333332
"b'#halifax enjoy your #northend this Sat w dinner @AgricolaStreet and a night of funk, soul and R&B with @asianugruv http://www. shambhalaschool.eventbrite.com'",positive,0.029947916666666668
b'Halifax : Rasta Gumbo ( R&B /Reggae) http:// bit.ly/1I8daPv',negative,-0.009068080357142858
"b'Soul Howe | R&B /Soul from Halifax , NS, CA http:// lockerdo.me/hV2&Nju'",netural,0.0
b'Dyed In The Green is enroute to R&B Novel-Teas in Niagara Falls and I also just found out that Bookmark Halifax ... http:// fb.me/6sZNPM73m',positive,0.00040980747767857144
"b'By @musiconmain  @cyndicain rocking the East Coast #Music showcase @CAPACOA #CAPACOA #Halifax #r &b #blues "" pic.twitter.com/KnBO6yPREq""'",positive,0.020089285714285716
b'cyndicain rocking the East Coast #Music showcase @CAPACOA #CAPACOA #Halifax #r &b #blues http:// instagram.com/p/yOUQpunAY0/',positive,0.020089285714285716
"b'Please like my artist page? @Soul Howe Soul R&B Halifax , Nova Scotia. http:// fb.me/7kFAZVK3a'",positive,0.02403846153846154
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe http:// fb.me/1gbsh4Kb6""",negative,-0.015543619791666666
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe""",negative,-0.01865234375
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe http:// fb.me/3rJq5SU3K""",negative,-0.015543619791666666
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe http:// fb.me/48Dy0DwjI""",negative,-0.015543619791666666
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe""",negative,-0.01865234375
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe http:// fb.me/3sD3svf7W""",negative,-0.015543619791666666
"b""Why won't halifax have a club that only plays soca, african, dancehall, hip hop and R&B ? Why is that too much to ask for?""",positive,0.001953191482103788
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe""",negative,-0.01865234375
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe""",negative,-0.01865234375
"b'Stillllllllllllllllllllllll #1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe'",netural,0.0
"b'Stillllllllllllllllllllllll #1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe'",netural,0.0
b'Canadian R&B star Jordan Croucher surprises Citadel High School students before We Day event in Halifax http:// ow.ly/F1Txq',positive,0.010894775390625
b'Canadian R&B star Jordan Croucher surprises Citadel High School students before We Day event in Halifax http:// ow.ly/F1P8L',positive,0.010894775390625
b'Canadian R&B star Jordan Croucher surprises Citadel High School students before We Day event in Halifax http:// ow.ly/F0hfg',positive,0.010894775390625
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe""",negative,-0.01865234375
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe""",negative,-0.01865234375
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe""",negative,-0.01865234375
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe""",negative,-0.01865234375
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe""",negative,-0.01865234375
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe""",negative,-0.01865234375
"b""I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/SoulHowe""",negative,-0.01865234375
3,16,10
