username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Cupcakes_n_Rap;2014-10-30 19:50;1;0;"@roubaix_NS @MeganLeslieMP @lucydecoutere yeah Halifax guys too! Halifax Rap Legend Jesse Dangerously is tweeting #ibelievelucy from @rljd";;@roubaix_NS @MeganLeslieMP @lucydecoutere @rljd;#ibelievelucy;"527955712027414528";https://twitter.com/Cupcakes_n_Rap/status/527955712027414528
Cupcakes_n_Rap;2014-10-29 23:50;0;0;"@MeganLeslieMP @lucydecoutere Halifax feminists forever! <3 We hear you, we believe you, we thank you for your bravery!!!";;@MeganLeslieMP @lucydecoutere;;"527653747586265088";https://twitter.com/Cupcakes_n_Rap/status/527653747586265088
sludgepanda;2014-10-25 23:54;0;1;"xdannyxbrownx Danny Brown at Halifax Pop Explosion #hpx #dannybrown #hiphop #rap #festival #music … http:// instagram.com/p/umYVDxMopS/";;;#hpx #dannybrown #hiphop #rap #festival #music;"526205297518338049";https://twitter.com/sludgepanda/status/526205297518338049
Cupcakes_n_Rap;2014-10-25 22:10;0;2;""Really Kira? But I heard you were fucking that white Halifax rapper?" Me:"Yeah I'd love to tell you all about it, but...that's Classified".";;;;"526179018211872769";https://twitter.com/Cupcakes_n_Rap/status/526179018211872769
MadiOkay;2014-10-23 10:49;0;5;"I am have a grood time at the halifax pop asplosion so far gonna work the door at the big rap show tonite i am excite #raps";;;#raps;"525282783011536896";https://twitter.com/MadiOkay/status/525282783011536896
ClearWordsEP;2014-10-22 08:25;0;0;"@blargvark P' raps it's returning to TO that's causing anxiety, not leaving Halifax .";;@blargvark;;"524884133978570753";https://twitter.com/ClearWordsEP/status/524884133978570753
Davidrossiter_;2014-10-21 22:03;0;7;"Halifax needs a rap radio station";;;;"524727682060550144";https://twitter.com/Davidrossiter_/status/524727682060550144
graffiti_gonzo;2014-10-20 00:54;0;0;"http:// youtu.be/Jg-2CAAUHb0 Graffiti Gonzo -"Hot16" #PROMO #RAP #HipHop #hits #yyc #Halifax #NewMusic #NewYork #NYC #bronx #TuneIn #Resurrection";;;#PROMO #RAP #HipHop #hits #yyc #Halifax #NewMusic #NewYork #NYC #bronx #TuneIn #Resurrection;"524046017537122304";https://twitter.com/graffiti_gonzo/status/524046017537122304
rapsfan1237;2014-10-07 23:00;0;0;"@LeoRautins love watching raps preseason and NBA but man these 11pm start times (in Halifax ) kill when you work at 6am";;@LeoRautins;;"519668695690264576";https://twitter.com/rapsfan1237/status/519668695690264576
HXCourier;2014-10-06 05:55;3;0;"#Calderdale head teachers rap bid for new sixth form college in #Halifax - Halifax Courier: http://www. halifaxcourier.co.uk/news/calderdal e/heads-rap-bid-for-sixth-form-1-6879509#.VDJYuXYDbx8.twitter …";;;#Calderdale #Halifax #;"519048312817586176";https://twitter.com/HXCourier/status/519048312817586176
HXCourier;2014-10-06 05:41;2;0;"Heads rap bid for sixth form - Halifax Courier: http://www. halifaxcourier.co.uk/news/calderdal e/heads-rap-bid-for-sixth-form-1-6879509#.VDJVRkqYEM0.twitter … #Calderdale #WYorks";;;# #Calderdale #WYorks;"519044772812451840";https://twitter.com/HXCourier/status/519044772812451840
JLCronshaw;2014-10-06 05:39;0;1;"Heads rap bid for sixth form - Halifax Courier: http://www. halifaxcourier.co.uk/news/calderdal e/heads-rap-bid-for-sixth-form-1-6879509#.VDJVRkqYEM0.twitter … #WYorks";;;# #WYorks;"519044384130486272";https://twitter.com/JLCronshaw/status/519044384130486272
sostattoos;2014-10-04 16:11;0;1;"#Halifax Krizz Kaliko singing #Unstable #Music #Concert #Rap #HRMEvents #Events ... http:// fb.me/1UgpsJAfp";;;#Halifax #Unstable #Music #Concert #Rap #HRMEvents #Events;"518478525557637121";https://twitter.com/sostattoos/status/518478525557637121
