username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LeeDUtter;2013-10-26 00:11;0;0;"Listening to punk rock covers of 80s music is the best thing ever: Straight Up - Halifax (Paula Abdul): http:// youtu.be/89JFs0iIl1E via @youtube";;@youtube;;"393937904948371456";https://twitter.com/LeeDUtter/status/393937904948371456
treesandlps;2013-10-25 00:22;0;0;"This Saturday rock up at the #HFXRecordFair at the World Trade Centre in Halifax , NS. Vinyl and music memorabilia for all tastes.";;;#HFXRecordFair;"393578201798410240";https://twitter.com/treesandlps/status/393578201798410240
MontesBarGrill;2013-10-24 10:54;3;0;"For all you Celtic Rock fans we've got the BITTERSWEET BAND at Monte's this Sat. night! Show starts at 10. #halifax #dartmouth #rock #music";;;#halifax #dartmouth #rock #music;"393374997584302081";https://twitter.com/MontesBarGrill/status/393374997584302081
BradtGuides;2013-10-22 05:00;0;0;"It's the start of the 5 day Halifax Pop Explosion in Nova Scotia featuring music ranging from folk- rock to hip-hop!";;;;"392560971035582465";https://twitter.com/BradtGuides/status/392560971035582465
NSRasta;2013-10-12 21:07;1;0;"Catch them TONIGHT #Halifax : ♫ Eleanor Rigby ♫ - The Persuaders - http:// goo.gl/7Y7LD 10PM @MontesBarGrill #Dartmouth #Rock #Music";;@MontesBarGrill;#Halifax #Dartmouth #Rock #Music;"389180480534609921";https://twitter.com/NSRasta/status/389180480534609921
PersuadersHFX;2013-10-12 13:30;0;0;"We're playing tonight at Montes' #Dartmouth tonight @MontesBarGrill 12 Oct. 2013 #Rock #Music #Halifax";;@MontesBarGrill;#Dartmouth #Rock #Music #Halifax;"389065656525533184";https://twitter.com/PersuadersHFX/status/389065656525533184
NSRasta;2013-10-09 14:41;7;1;"Everyone knows @PersuadersHFX , right? They play this Sat.12 Oct @MontesBarGrill 245 Waverley Rd #Dartmouth #Rock #Music #Halifax UR Invited";;@PersuadersHFX @MontesBarGrill;#Dartmouth #Rock #Music #Halifax;"387996290950254592";https://twitter.com/NSRasta/status/387996290950254592
AccessibleMedia;2013-10-03 17:19;1;0;"AMI #Halifax : Rebel Girl Rock Camp; Jennie Bovard (YouTube) http://www. youtube.com/watch?v=2J9EkW 81Yms … #music ... http:// fb.me/1zCtU5DFH";;;#Halifax #music;"385861738165719040";https://twitter.com/AccessibleMedia/status/385861738165719040
thetresband;2013-10-02 11:49;0;0;"#halifax #music #dartmouth #novascotia check out our Facebook page http://www. facebook.com/TheTresOfficia lPage … #artists #Coast2Coast #rock #Blues #countrymusic";;;#halifax #music #dartmouth #novascotia #artists #Coast2Coast #rock #Blues #countrymusic;"385416251520331776";https://twitter.com/thetresband/status/385416251520331776
InfamousD;2013-10-01 23:08;2;0;"At Gus' Pub checking out the local music scene. A great indie- rock band named This Ship is owing the stage right now. #halifax";;;#halifax;"385224617755172864";https://twitter.com/InfamousD/status/385224617755172864
NSRasta;2013-09-30 17:32;4;0;"Come Rock Your Socks Off, with The Persuaders, @MontesBarGrill #Dartmouth Oct. 12th #Rock #Music #Halifax RT @PersuadersHFX cc @jeffinhfx";;@MontesBarGrill @PersuadersHFX @jeffinhfx;#Dartmouth #Rock #Music #Halifax;"384777746359939074";https://twitter.com/NSRasta/status/384777746359939074
PersuadersHFX;2013-09-30 17:29;5;0;"Come Rock Your Socks Off, with The Persuaders, @MontesBarGrill #Dartmouth Oct. 12th #Rock #Music #Halifax";;@MontesBarGrill;#Dartmouth #Rock #Music #Halifax;"384777044673847297";https://twitter.com/PersuadersHFX/status/384777044673847297
springsteen1949;2013-09-27 10:26;1;0;"[News] Bruce Springsteen tribute 'Born to Strum' coming to Halifax ◆A solo acoustic tribute to the music of rock lege… http:// j.mp/19LUt1O";;;;"383583310653292544";https://twitter.com/springsteen1949/status/383583310653292544
NSRasta;2013-09-27 06:49;2;0;"Have we seen enough this week? - #Halifax - ♫ Have You Ever Seen The Rain ♫ - CCR - http:// goo.gl/q1e6nh #Rock #Music";;;#Halifax #Rock #Music;"383528729827635200";https://twitter.com/NSRasta/status/383528729827635200
Division_ofSelf;2013-09-21 09:59;1;1;"Check us out on facebook, give us a like! https://www. facebook.com/DivisionOfSelf ?directed_target_id=0 … #rock #halifax #music";;;#rock #halifax #music;"381402316470898688";https://twitter.com/Division_ofSelf/status/381402316470898688
