username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
arlinewooten781;2013-10-30 20:29;0;0;"Have you heard about The Halifax Food & Wine Fest? It's Nov 12th from 3pm-10pm. Located at the New 2nd Street Public Market, in Holly...";;;;"395693916101832704";https://twitter.com/arlinewooten781/status/395693916101832704
IsmaelAquino;2013-10-30 20:08;1;0;"" @CanRedCrossATL : Join us! #Halifax food bank founder Mel Boutilier to be honoured fr @redcrosscanada Nov 13 Info: http://www. redcross.ca/humanitarian "";;@CanRedCrossATL @redcrosscanada;#Halifax;"395688662207168512";https://twitter.com/IsmaelAquino/status/395688662207168512
tarlbot;2013-10-30 18:29;0;0;"@JewelStaite pizza corner for the local experience. Halifax style donair is the real highlight. Most food you can get anywhere.";;@JewelStaite;;"395663881575890944";https://twitter.com/tarlbot/status/395663881575890944
AkiraArruda;2013-10-30 16:52;0;0;"@JewelStaite if there's anything you need to know about Halifax is that there's literally a pub on every street with great food and drinks.";;@JewelStaite;;"395639378539585536";https://twitter.com/AkiraArruda/status/395639378539585536
tujawellness;2013-10-30 12:38;0;0;"The Good Food Emporium - #halifax #local #vegetarian http://www. tujawellness.com/city-guides/ha lifax/guides-halifax-eat/good-food-emporium.html … via @tujawellness";;@tujawellness;#halifax #local #vegetarian;"395575492088037376";https://twitter.com/tujawellness/status/395575492088037376
Sales___Jobs;2013-10-30 12:09;0;0;"#sales Sales Associate: Sysco Food Services of Canada, Inc. ( Halifax NS): "Reports to: Dist... http:// bit.ly/1clsh9f #jobs #Canada #job";;;#sales #jobs #Canada #job;"395568244058095616";https://twitter.com/Sales___Jobs/status/395568244058095616
Amyyeung123;2013-10-30 12:05;0;0;"Regional Food Service Manager (CA-NS- Halifax ) https:// social.icims.com/job/Regional-F ood-Service-Manager-Job-CA-NS-Halifax-10021452.html?isd_source=twitter&isd_pub=242013 …";;;;"395567084492832768";https://twitter.com/Amyyeung123/status/395567084492832768
LeMetro_Halifax;2013-10-30 11:58;3;1;"If you like Tapas style food try our popular Deli boards. A mixed meat, fish and cheese one is only £8.25 for 2. Great starter or main meal";;;;"395565465155547137";https://twitter.com/LeMetro_Halifax/status/395565465155547137
HalifaxJob;2013-10-30 11:53;1;0;"Sales Associate: Sysco Food Services of Canada,: "Reports to: District Sales Manager Location:... http:// bit.ly/1dNt6eK #halifax #jobs #ns";;;#halifax #jobs #ns;"395564102342303744";https://twitter.com/HalifaxJob/status/395564102342303744
Nova_Scotia_Job;2013-10-30 11:46;0;0;"Sales Associate: Sysco Food Services of Canada, ( Halifax ): "Reports to: District Sales Manager... http:// bit.ly/1dNt6eK #novascotia #jobs";;;#novascotia #jobs;"395562399509401602";https://twitter.com/Nova_Scotia_Job/status/395562399509401602
birdiebent;2013-10-30 11:35;2;3;"#Halifax Tweeps: I think we should use our powers for good. Want to pack boxes at a food bank, or sponsor a family for the holidays?";;;#Halifax;"395559707227615233";https://twitter.com/birdiebent/status/395559707227615233
eatingthenorth;2013-10-30 04:18;1;0;"@Calderdale_ Food morning. I wrote a few words about a recent trip to #halifax @DesignHouseRest here: http:// eatingthenorth.wordpress.com";;@Calderdale_ @DesignHouseRest;#halifax;"395449705075056641";https://twitter.com/eatingthenorth/status/395449705075056641
6BenHarrison;2013-10-29 23:18;0;1;"@tealuke not sure if Songs on quinpool delivers but if they do, they have the best korean food in halifax";;@tealuke;;"395374039746625536";https://twitter.com/6BenHarrison/status/395374039746625536
lottezfs;2013-10-29 22:12;0;0;"Have you heard about The Halifax Food & Wine Fest? It's Nov 12th from 3pm-10pm. Located at the New 2nd Street Public Market, in Holly...";;;;"395357497927925760";https://twitter.com/lottezfs/status/395357497927925760
HalifaxReTales;2013-10-29 20:27;1;1;"Flattery :) RT @chronicleherald : A look at the latest changes in the food and drink scene in #Halifax by @CH_Cosgrove http:// thech.ca/1gYZyNA";;@chronicleherald @CH_Cosgrove;#Halifax;"395330965587103744";https://twitter.com/HalifaxReTales/status/395330965587103744
chronicleherald;2013-10-29 20:10;2;1;"A look at the latest changes in the food and drink scene in #Halifax by @CH_Cosgrove http:// thech.ca/1gYZyNA";;@CH_Cosgrove;#Halifax;"395326862995365888";https://twitter.com/chronicleherald/status/395326862995365888
MarkDayNews;2013-10-29 19:50;2;0;"#halifax RT @BrynnELangille : Just saw 2 men w/ bags of food and hot beverages giving it to homeless people in the city #RandomActsOfKindness";;@BrynnELangille;#halifax #RandomActsOfKindness;"395321714038431745";https://twitter.com/MarkDayNews/status/395321714038431745
tweet4flo;2013-10-29 19:43;1;0;"So looking forward to Nov3 for the #Choc affair @CunardCentre #live #love #eat #chocolate #food is #social #Halifax";;@CunardCentre;#Choc #live #love #eat #chocolate #food #social #Halifax;"395320005555785728";https://twitter.com/tweet4flo/status/395320005555785728
BingCampusFood;2013-10-29 18:10;0;0;"Tour North America. Boston and Halifax great food ! Good luck Red Sox ! http:// instagram.com/p/gEN1uxL-gt/";;;;"395296696139534337";https://twitter.com/BingCampusFood/status/395296696139534337
CandysManager;2013-10-29 15:47;0;0;"The Best Of Halifax Show Celebrating The Coast's Best Of Music, Food &amp; City Readers' Choice Awards tickets? http:// bestofhalifax.strangertickets.com/events/1001723 2/2013-best-of-halifax-party-at-the-marquee …";;;;"395260722038333440";https://twitter.com/CandysManager/status/395260722038333440
TheCandyShow;2013-10-29 15:21;1;1;"Got your The Best Of Halifax Show Celebrating The Coast's Best Of Music, Food &amp; City Readers' Choice Awards tix? http:// bestofhalifax.strangertickets.com/events/1001723 2/2013-best-of-halifax-party-at-the-marquee …";;;;"395253991841341440";https://twitter.com/TheCandyShow/status/395253991841341440
SAPL;2013-10-29 15:12;0;0;"RT @HfxSeaportMrkt : Check out #Halifax Food Bloggers' @SAPL 's latest #Halloween inspired blog posts! http:// goo.gl/NIfmn6";;@HfxSeaportMrkt @SAPL;#Halifax #Halloween;"395251923752058880";https://twitter.com/SAPL/status/395251923752058880
