username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Hepworth_Group;2017-10-27 11:33;0;1;"We’ve a great selection of Jazz to choose from at our Huddersfield & Halifax dealerships - call us to book a test drive https:// twitter.com/honda_uk/statu s/923840047371227141 …";;;;"923920639303528448";https://twitter.com/Hepworth_Group/status/923920639303528448
BarbaraB_Pike;2017-10-25 22:02;0;2;"Congratulations to Halifax -based Jazz Airlines for its safety culture! http:// chorusaviation.ca/2017-10-25-Cho rus-Subsidiary-Jazz-Wins-Gold-at-Canadas-Safest-Employers-Awards … #NS #Halifax #Safety";;;#NS #Halifax #Safety;"923354100791758848";https://twitter.com/BarbaraB_Pike/status/923354100791758848
aeronauticalca;2017-10-24 17:24;0;0;"Agent de bord à Halifax pour Jazz Aviation http:// jobx.ca/PxPCh8 #Agents_de_bord";;;#Agents_de_bord;"922921687615549440";https://twitter.com/aeronauticalca/status/922921687615549440
aeronauticalca;2017-10-24 17:22;0;0;"Flight Attendant in Halifax for Jazz Airline http:// jobx.ca/PxPBs1 #Flight_attendants";;;#Flight_attendants;"922921192188547072";https://twitter.com/aeronauticalca/status/922921192188547072
bwsooley;2017-10-23 18:47;0;5;"Receiving the Best Float Award from Adam Reid- Halifax Pride after our Jazz LGBTA 101 seminar...together we are stronger #togetherwearejazz pic.twitter.com/Lo31jzSFCO";;;#togetherwearejazz;"922580364983447552";https://twitter.com/bwsooley/status/922580364983447552
St_Davids_Hfx;2017-10-21 15:07;0;0;"Inviting #Halifax to listen local, Nick Veltmeyer opens the first of the Saturday afternoon Concerts at St David's, jazz fusion.";;;#Halifax;"921800079559790597";https://twitter.com/St_Davids_Hfx/status/921800079559790597
aeronauticalca;2017-10-20 15:32;0;0;"Agent de bord à Halifax pour Jazz Aviation http:// jobx.ca/PwlVCx #Agents_de_bord";;;#Agents_de_bord;"921443934164869120";https://twitter.com/aeronauticalca/status/921443934164869120
ShellyPage10;2017-10-19 12:01;0;1;"Shout out to my new sista from another mista "Alana" here in Halifax ! She sings jazz and old… https://www. instagram.com/p/BabxFjBBZJH/";;;;"921028414156439553";https://twitter.com/ShellyPage10/status/921028414156439553
aeronauticalca;2017-10-18 16:39;0;0;"Flight Attendant in Halifax for Jazz Airline http:// jobx.ca/PwPDrq #Flight_attendants";;;#Flight_attendants;"920736014791880704";https://twitter.com/aeronauticalca/status/920736014791880704
HFXJazzFest;2017-10-17 13:00;3;4;"Don't miss FREE #jazz night @ObladeeWineBar Wed Oct 18 feat monster Kenji Omae & #Halifax @willempaynter ! 8pm. http:// bit.ly/2xLe8lK pic.twitter.com/kPDUBtxgnw";;@ObladeeWineBar @willempaynter;#jazz #Halifax;"920318537843003393";https://twitter.com/HFXJazzFest/status/920318537843003393
