username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
soulhowe;2014-04-23 08:23;0;0;"We're number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"458929216281538560";https://twitter.com/soulhowe/status/458929216281538560
soulhowe;2014-04-17 08:09;0;0;"The #1 spot is Soul'z On the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;#1;"456751372164026368";https://twitter.com/soulhowe/status/456751372164026368
HalifaxMagazine;2014-03-31 09:42;2;1;"A big congrats to @JRDNmusic on his Juno win last night for R/B Recording of the Year, Can't Choose ft. @KardinalO #halifax #JUNOS2014";;@JRDNmusic @KardinalO;#halifax #JUNOS2014;"450614170850168832";https://twitter.com/HalifaxMagazine/status/450614170850168832
NandaMacNeil;2014-03-30 09:30;0;0;"HUGE congrats to Halifax 's ( & St F.X) own Jordan Croucher for winning a JUNO AWARD for R&B /SOUL Recording of... http:// fb.me/2iiQjAtZx";;;;"450248654054359040";https://twitter.com/NandaMacNeil/status/450248654054359040
damien_moynihan;2014-03-29 23:08;1;4;"Halifax Is taking over! Shout out to @JRDNmusic on winning Juno for R&B album. St. Pat's represent.";;@JRDNmusic;;"450092103092039680";https://twitter.com/damien_moynihan/status/450092103092039680
moresoulpei;2014-03-28 15:29;0;0;"Congratulations to Cyndi Cain for winning Best R&B Artist/Band in The Coast's annual "Best of Halifax 2014"! http:// fb.me/2fGmJhR9j";;;;"449614265637285889";https://twitter.com/moresoulpei/status/449614265637285889
AreAndBee;2014-03-13 18:45;0;0;"JRDN RISING: Croucher back on the Junos docket, releases new CD: album IAMJRDN, Halifax R&B star Jordan Crouch... http:// bit.ly/1cY0Rpk";;;;"444227852615970816";https://twitter.com/AreAndBee/status/444227852615970816
TainaJecrois;2014-02-27 15:03;1;0;"Can't raise a man!!! #relationshipadvice #kmichelle #SONGS #Life #love #viv #r &b #Halifax";;;#relationshipadvice #kmichelle #SONGS #Life #love #viv #r #Halifax;"439113617301327872";https://twitter.com/TainaJecrois/status/439113617301327872
soulhowe;2014-02-18 08:22;1;1;"We're number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"435751129008201729";https://twitter.com/soulhowe/status/435751129008201729
soulhowe;2014-02-16 09:30;0;0;"We're number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"435043419551842304";https://twitter.com/soulhowe/status/435043419551842304
