username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ColinRatchford;2015-10-24 20:01;0;6;"Halifax rap name : Joel Caskett";;;;"658055775168933889";https://twitter.com/ColinRatchford/status/658055775168933889
Quantoch;2015-10-23 17:44;2;0;"RT @Canadian_Dope Check out the NEW video from @QuakeMatthews called RAP MUSIC ( #Halifax … https:// twitter.com/Canadian_Dope/ status/657646901047726080?utm_source=dlvr.it&utm_medium=twitter … pic.twitter.com/dPrJvXV8iP";;@Canadian_Dope @QuakeMatthews;#Halifax;"657658910375960576";https://twitter.com/Quantoch/status/657658910375960576
Canadian_Dope;2015-10-23 16:56;2;2;"Check out the NEW video from @QuakeMatthews called RAP MUSIC ( #Halifax Artist) #HipHop @AndrewU92 via http://www. canadiandope.com/quake-matthews -rap-music-music-video/ …";;@QuakeMatthews @AndrewU92;#Halifax #HipHop;"657646901047726080";https://twitter.com/Canadian_Dope/status/657646901047726080
Cupcakes_n_Rap;2015-10-23 14:31;1;1;"#Halifax , go see @Realey3z & @JeanGreasy tonight!!!!!!!!!!!!!!!!!!!";;@Realey3z @JeanGreasy;#Halifax;"657610245917675520";https://twitter.com/Cupcakes_n_Rap/status/657610245917675520
Musy_Muuzaji;2015-10-22 06:36;0;0;"#RAP Quake Matthews (hip-hop/ rap artist. Halifax , Nova Scotia) -> Rap Music https:// youtu.be/WjGjLo5mIEI";;;#RAP;"657128403628400640";https://twitter.com/Musy_Muuzaji/status/657128403628400640
Cupcakes_n_Rap;2015-10-20 21:21;1;2;"Did you know that there's a @JeanGreasy & @Realey3z show in #Halifax this Friday?! Listening to CKDU has made me look up @HalifaxPopX . #Rap";;@JeanGreasy @Realey3z @HalifaxPopX;#Halifax #Rap;"656626299683758080";https://twitter.com/Cupcakes_n_Rap/status/656626299683758080
Cupcakes_n_Rap;2015-10-19 21:31;0;1;"Halifax , if you fuck this up I will never forgive you ever. i swear to god";;;;"656266380958830592";https://twitter.com/Cupcakes_n_Rap/status/656266380958830592
Cupcakes_n_Rap;2015-10-19 20:57;0;0;"Halifax get your fucking act together what the fuck. I do not like these polls.";;;;"656257858653155328";https://twitter.com/Cupcakes_n_Rap/status/656257858653155328
RigityDc;2015-10-19 18:50;0;3;"Rigity - Take over . #hiphop #diffrent #rapper #halifax #bars #fire #spitting #mc #dope #MC #lyrical #Rigity #rap pic.twitter.com/hB8Z5Vct1E";;;#hiphop #diffrent #rapper #halifax #bars #fire #spitting #mc #dope #MC #lyrical #Rigity #rap;"656226061563396096";https://twitter.com/RigityDc/status/656226061563396096
randaltomada;2015-10-19 13:38;0;0;"Listen #Halifax , let's rap for a sec. The bridge has a new bumpy part, so go slow over it but don't stop. This will keep traffic flowing.";;;#Halifax;"656147450957135872";https://twitter.com/randaltomada/status/656147450957135872
Cupcakes_n_Rap;2015-10-18 22:10;0;0;"#Halifax : you are SO LUCKY! You get to go out and re-elect @MeganLeslieHFX tomorrow! #Vote #NDP #elxn42 #elxn2015 pic.twitter.com/HCDPPBYsDy";;@MeganLeslieHFX;#Halifax #Vote #NDP #elxn42 #elxn2015;"655913870620360704";https://twitter.com/Cupcakes_n_Rap/status/655913870620360704
djtwoo;2015-10-17 19:15;0;0;"Doin' Damage is tonight at Gus' Pub! $6 all night. #halifax #rap https:// instagram.com/p/89IIlbmUrK/";;;#halifax #rap;"655507435772358656";https://twitter.com/djtwoo/status/655507435772358656
GhettoBarbie780;2015-10-12 13:51;0;0;"#GhettoBarbie #GhettoPrincess #BarbieWorld #rap #hiphop #canadianmusic #hali #halifax #novascotia … https:// instagram.com/p/8vrDNUH8F8/";;;#GhettoBarbie #GhettoPrincess #BarbieWorld #rap #hiphop #canadianmusic #hali #halifax #novascotia;"653613961812709376";https://twitter.com/GhettoBarbie780/status/653613961812709376
RigityDc;2015-10-09 18:06;0;0;"@THEREALESMITTY @HipHopDX @StrangeMusicInc @HotNewHipHop Wud up I'm Rigity ,. #music #halifax #rap LQ (end vid) pic.twitter.com/qfWHaHWr6g";;@THEREALESMITTY @HipHopDX @StrangeMusicInc @HotNewHipHop;#music #halifax #rap;"652590975139880962";https://twitter.com/RigityDc/status/652590975139880962
