username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ArtGalleryNS;2014-04-29 15:46;1;1;"National Youth Arts Week party Thursday. Spoken word, hip hop & rap artists, singers, DJ, dancers & a poet. http:// ow.ly/wiBjj #Halifax";;;#Halifax;"461214843748765696";https://twitter.com/ArtGalleryNS/status/461214843748765696
ProphecyEnt;2014-04-28 06:31;0;0;"Songwriter and Canadian Hip-Hop Rap artist from Halifax Dartmouth Nova Scotia Canada http:// bit.ly/1ayKhKb via #BLOW_FLYY";;;#BLOW_FLYY;"460712840106881024";https://twitter.com/ProphecyEnt/status/460712840106881024
TheRedStagHFX;2014-04-27 17:18;0;6;"Hey @ArashMadani Go Raps !!! Coming up from #novascotia for game 5 w @Halifax _arbonne lets get this tonight @Raptors !!!! #WeTheNorth";;@ArashMadani @Halifax @Raptors;#novascotia #WeTheNorth;"460513327026675712";https://twitter.com/TheRedStagHFX/status/460513327026675712
75Crates;2014-04-27 09:12;1;0;"#listeningtonow #rap #hiphop #vinyl #lps #fromthecrates #marleymarl #halifax #northend #agricolastreet … http:// instagram.com/p/nSvd60RXYm/";;;#listeningtonow #rap #hiphop #vinyl #lps #fromthecrates #marleymarl #halifax #northend #agricolastreet;"460391043360645120";https://twitter.com/75Crates/status/460391043360645120
ProphecyEnt;2014-04-26 23:07;0;0;"Songwriter and Canadian Hip-Hop Rap artist from Halifax Dartmouth Nova Scotia Canada http:// bit.ly/1ayKhKb via #BLOW_FLYY";;;#BLOW_FLYY;"460238802364416000";https://twitter.com/ProphecyEnt/status/460238802364416000
MikmaqGnat;2014-04-25 23:30;0;0;"#halifax #rap #love #ghostfacekillah #show http:// instagram.com/p/nPIG-NO2Zl/";;;#halifax #rap #love #ghostfacekillah #show;"459882275598258176";https://twitter.com/MikmaqGnat/status/459882275598258176
ProphecyEnt;2014-04-25 18:53;0;0;"Songwriter and Canadian Hip-Hop Rap artist from Halifax Dartmouth Nova Scotia Canada http:// bit.ly/1ayKhKb via #BLOW_FLYY";;;#BLOW_FLYY;"459812579477835776";https://twitter.com/ProphecyEnt/status/459812579477835776
michaelcusden;2014-04-25 14:14;0;0;"@timandsid in Halifax and I never see Raps on the TV when out.";;@timandsid;;"459742287111921665";https://twitter.com/michaelcusden/status/459742287111921665
RealSpitBreezy;2014-04-24 08:17;0;0;"I'm number 3 on the ReverbNation Rap charts for Halifax , NS, CA. http://www. reverbnation.com/brizzle4";;;;"459289926136127488";https://twitter.com/RealSpitBreezy/status/459289926136127488
DaBiz12;2014-04-20 17:24;0;3;"Real Rap They Really Support Us In Halifax #FactZInFax & We Appreciate it Big S/O 2 Kid Dan";;;#FactZInFax;"457978083510083584";https://twitter.com/DaBiz12/status/457978083510083584
