username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
saintlousbarber;2015-10-22 15:26;2;2;"Great to see #thelordalmightys rock it out last night planb_ halifax . Lots more music to see all over… https:// instagram.com/p/9Jl7ZnQnsO/";;;#thelordalmightys;"657261812530831360";https://twitter.com/saintlousbarber/status/657261812530831360
MeganALeslie;2015-10-17 08:40;0;2;"@HfxMusic is raising fun(ds) for music accessibility tonight at their Inventions Rock Show. Awesome cause #Halifax http:// on.fb.me/1MiycjJ";;@HfxMusic;#Halifax;"655347625588301824";https://twitter.com/MeganALeslie/status/655347625588301824
SThomander;2015-10-16 14:17;0;0;"@Godsmack_ Music the new song is great. Gonna rock Halifax tonight.";;@Godsmack_;;"655069974042660864";https://twitter.com/SThomander/status/655069974042660864
PersuadersHFX;2015-10-06 17:56;0;0;"ROCK ON! (DnLoad photo for your calendar): New Persuaders Schedule 06 Oct 2015 #Halifax #EastCoast #Music pic.twitter.com/zdUo5yBVAK";;;#Halifax #EastCoast #Music;"651501386782404612";https://twitter.com/PersuadersHFX/status/651501386782404612
marshall0806;2015-09-28 20:58;0;0;"@threedaysgrace you're show in Halifax is 19+ so I cant go. That really sucks because your guys music is awesome, and you gys rock ! Ah well";;@threedaysgrace;;"648648116074336256";https://twitter.com/marshall0806/status/648648116074336256
Michellecolinda;2015-09-21 12:40;0;1;"Sept 26 Halifax Wharf Rats live at the Wolf & Hound! Irish music and more, our usual mix of Classic Rock &... http:// fb.me/6RFfaFZR2";;;;"645985889848565760";https://twitter.com/Michellecolinda/status/645985889848565760
Halifaxidocious;2015-09-15 00:02;0;0;"Foregone 2013 - by @kelvinmoore16 - @BEAT100 http://www. beat100.com/audio-listen/f oregone-2013_10117361/#.VfeKAritt50.twitter … #halifax #rock #guitar #novascotia #beat100 #music #vote";;@kelvinmoore16 @BEAT100;# #halifax #rock #guitar #novascotia #beat100 #music #vote;"643620960025841664";https://twitter.com/Halifaxidocious/status/643620960025841664
CTVAtlantic;2015-09-14 08:13;1;5;"In Pictures: Canadian Country Music Association Awards rock Halifax http:// bit.ly/1QzYePf pic.twitter.com/BhcrU3hEeX";;;;"643382157138862080";https://twitter.com/CTVAtlantic/status/643382157138862080
Halifaxidocious;2015-09-07 00:01;0;0;"Satch Inspired @kelvinmoore16 - @BEAT100 http://www. beat100.com/watch-video/sa tch-inspired_10120916/#.Vez9YZ7JErk.twitter … #music #halifax #rock #Satriani #novascotia #guitar #Metallica #talent";;@kelvinmoore16 @BEAT100;# #music #halifax #rock #Satriani #novascotia #guitar #Metallica #talent;"640721609423130624";https://twitter.com/Halifaxidocious/status/640721609423130624
Halifaxidocious;2015-09-02 22:20;0;0;"satch inspired - Rock Music Video by @kelvinmoore16 - @BEAT100 http://www. beat100.com/watch-video/sa tch-inspired_10120916/#.VeegMVc0M18.twitter … #music #halifax #rock #guitar";;@kelvinmoore16 @BEAT100;# #music #halifax #rock #guitar;"639246517451288576";https://twitter.com/Halifaxidocious/status/639246517451288576
milomcmahon;2015-08-29 18:21;3;1;"Tonight at @MenzBarOfficial ! Show at 9pm. Come rock it with us #Halifax ! #indie #music @HalifaxPopX @halifaxmusic pic.twitter.com/oCCVrrld1J";;@MenzBarOfficial @HalifaxPopX @halifaxmusic;#Halifax #indie #music;"637736814057521152";https://twitter.com/milomcmahon/status/637736814057521152
ScotiaWeb;2015-08-24 14:06;0;1;"#Halifax Rock Show: Photos from bands at Polly's Cove Trail: This past humid Saturday afte... http:// bit.ly/1I8WA09 #NovaScotia #Music";;;#Halifax #NovaScotia #Music;"635860820723761152";https://twitter.com/ScotiaWeb/status/635860820723761152
ScotiaWeb;2015-08-21 18:01;0;0;"#Halifax Interview with L.A. rock band Fragile Gang on love and loss: "Bands are like gang... http:// bit.ly/1I0oMSR #NovaScotia #Music";;;#Halifax #NovaScotia #Music;"634832835967225856";https://twitter.com/ScotiaWeb/status/634832835967225856
Halifaxidocious;2015-08-13 22:44;0;0;"Behind The Sun - Rock Music Video by @kelvinmoore16 - #BEAT100 http://www. beat100.com/audio-listen/b ehind-the-sun_10113433#.Vc1HwZhFUew.twitter … #halifax #guitar #rock #music #God";;@kelvinmoore16;#BEAT100 # #halifax #guitar #rock #music #God;"632004724380798977";https://twitter.com/Halifaxidocious/status/632004724380798977
SimpleRecStudio;2015-08-11 22:10;0;0;"Another great session with Maddy McRoss tonight. Maritime folk rock at its best. @Rossco86wow @CBCMusic @halifaxmusic @Halifax _ Music";;@Rossco86wow @CBCMusic @halifaxmusic @Halifax;;"631271412448292864";https://twitter.com/SimpleRecStudio/status/631271412448292864
NSRasta;2015-08-11 14:01;0;0;"♫ This Old Town ♫ - The Persuaders - (Original) https:// youtu.be/EBIIlv9r9oY #Rock #Music #Video #Halifax https:// plus.google.com/collection/oIs 8_ …";;;#Rock #Music #Video #Halifax;"631148426508521472";https://twitter.com/NSRasta/status/631148426508521472
Halifaxidocious;2015-08-01 23:31;0;0;"Behind The Sun - Rock Music Audio by @kelvinmoore16 - @BEAT100 http://www. beat100.com/audio-listen/b ehind-the-sun_10113433/#.Vb2AwGSgmfs.twitter … Please vote #halifax #natalday #music";;@kelvinmoore16 @BEAT100;# #halifax #natalday #music;"627668013035225088";https://twitter.com/Halifaxidocious/status/627668013035225088
Halifaxidocious;2015-08-01 00:49;0;0;"Behind The Sun - Rock Music Audio by @kelvinmoore16 - @BEAT100 http://www. beat100.com/audio-listen/b ehind-the-sun_10113433//#.VbxBqnaTGwY.twitter … #halifax #music #natalday #weekend";;@kelvinmoore16 @BEAT100;# #halifax #music #natalday #weekend;"627325234371239936";https://twitter.com/Halifaxidocious/status/627325234371239936
