username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BrianJ_Anderson;2016-04-27 09:21;0;4;"Looking forward to watching you play live! Your YouTube videos (and music ) ROCK ! #RockNRoll #Guelph #music #Halifax https:// twitter.com/likeamotorcycl e/status/723959086862204928 …";;;#RockNRoll #Guelph #music #Halifax;"725298853826691073";https://twitter.com/BrianJ_Anderson/status/725298853826691073
Lastronaut_Band;2016-04-25 17:47;0;1;"Connections from #Halifax to Sweden. Really digging the music of @dreamxdrop Check em out! #Alternative #Rock";;@dreamxdrop;#Halifax #Alternative #Rock;"724701342275653632";https://twitter.com/Lastronaut_Band/status/724701342275653632
HalifaxOyster;2016-04-04 08:06;0;0;"The Love Band, bringing the best of Funk, Rock , and Old School R&B to the 7th Annual Halifax Oyster & Music Fest... http:// fb.me/7CYGDMA9q";;;;"716945020566241280";https://twitter.com/HalifaxOyster/status/716945020566241280
gilles_boudreau;2016-04-01 22:56;0;3;"Looking for live music in #Halifax ? Bittersweet will rock the Harbourfront Lounge, #CasinoNovascotia Saturday Apr. 2 at 8pm @TwitCoast";;@TwitCoast;#Halifax #CasinoNovascotia;"716081965229858816";https://twitter.com/gilles_boudreau/status/716081965229858816
HalifaxOyster;2016-03-30 15:47;0;0;"7th Annual Halifax Oyster & Music Festival Party With A Purpose! NEW Venue! Fun, Tasty Way to Rock & Revive... http:// fb.me/18ij13Y2L";;;;"715249006331486209";https://twitter.com/HalifaxOyster/status/715249006331486209
ScotiaWeb;2016-03-24 01:32;0;1;"#Halifax When wrestling tag-teams punk rock : Rowdy Roddy-inspired band The B+ Player... http:// bit.ly/1RmsT3C #NovaScotia #Music";;;#Halifax #NovaScotia #Music;"712859501972598784";https://twitter.com/ScotiaWeb/status/712859501972598784
mattmeusic;2016-03-17 00:25;0;1;"You guys rock . @thesheepdogs #thesheepdogs #halifax #live #music #canada #show #lights #tour … https://www. instagram.com/p/BDCfpE3MbEQ/";;@thesheepdogs;#thesheepdogs #halifax #live #music #canada #show #lights #tour;"710306012738232320";https://twitter.com/mattmeusic/status/710306012738232320
SixxAM_Army;2016-03-09 13:10;0;1;"@DjASHBA us Canadians love us some good rock music ! Hope to see you in Halifax ! -Bree";;@DjASHBA;;"707614630668013568";https://twitter.com/SixxAM_Army/status/707614630668013568
fantasysite;2016-03-07 15:58;0;0;"#vintage #tshirt Vintage HALIFAX Band EMO Metal Music T SHIRT WARPED TOUR RARE defunct rock M http:// ebay.to/21WPzfA";;;#vintage #tshirt;"706931963110629377";https://twitter.com/fantasysite/status/706931963110629377
NSRasta;2016-03-05 12:14;1;1;""Come on out Saturday night!" ~ Rob The Persuaders #Rock the #Halifax Casino: LIVE #Music starting @8pm 5 March pic.twitter.com/vAkjsI3HBc";;@8pm;#Rock #Halifax #Music;"706150974822490112";https://twitter.com/NSRasta/status/706150974822490112
fantasysite;2016-02-22 16:40;0;0;"#vintage #tshirt Vintage HALIFAX Band EMO Metal Music T SHIRT WARPED TOUR RARE defunct rock M http:// ebay.to/1PTaI59";;;#vintage #tshirt;"701869078311366656";https://twitter.com/fantasysite/status/701869078311366656
fantasysite;2016-02-15 17:31;0;0;"#vintage #tshirt Vintage HALIFAX Band EMO Metal Music T SHIRT WARPED TOUR RARE defunct rock M http:// ebay.to/1ohVUmW";;;#vintage #tshirt;"699345245922676736";https://twitter.com/fantasysite/status/699345245922676736
carolinederrah;2016-02-10 22:42;0;1;"im giving up on rock & roll @thebroodhfx guspub #halifax #music #freeshow #shackwhacky WEDNESDAYS https://www. instagram.com/p/BBoS7tipY-a/";;@thebroodhfx;#halifax #music #freeshow #shackwhacky;"697611698258251777";https://twitter.com/carolinederrah/status/697611698258251777
SunraysiaSound;2016-02-08 21:36;0;0;"Retweeted Halifax Musicphile ( @hfxmusicphile ): New Dance Rock Band On the East Coast Music Scene. Check out... http:// fb.me/5jL7MlI4o";;@hfxmusicphile;;"696870317285883905";https://twitter.com/SunraysiaSound/status/696870317285883905
fantasysite;2016-02-05 14:01;0;0;"#vintage #tshirt Vintage HALIFAX Band EMO Metal Music T SHIRT WARPED TOUR RARE defunct rock M http:// ebay.to/1VVu3E6";;;#vintage #tshirt;"695668506067492864";https://twitter.com/fantasysite/status/695668506067492864
