username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JadedHalifax;2017-04-28 20:27;0;0;"So far this DJ has exclusively played songs from Rock Band 2 and my sixth grade music class. #downtown #Halifax #altseccon";;;#downtown #Halifax #altseccon;"858100374443622401";https://twitter.com/JadedHalifax/status/858100374443622401
bacconcerts;2017-04-20 10:58;0;0;"@yorkshirepost @terryreid plays @ArdenRd Halifax on June 10th! - Read more here: https://www. facebook.com/events/1861674 407446343/?ti=icl … #terryreid #rockmusic #legend";;@yorkshirepost @terryreid @ArdenRd;#terryreid #rockmusic #legend;"855058067599364096";https://twitter.com/bacconcerts/status/855058067599364096
HXCourier;2017-04-16 11:00;2;1;"Music - Motel California - one of the most respected Eagles tribute bands - are coming to rock #Halifax http://www. halifaxcourier.co.uk/whats-on/music /take-it-easy-1-8478990 … pic.twitter.com/p9SVFhZ5tZ";;;#Halifax;"853608925437894657";https://twitter.com/HXCourier/status/853608925437894657
HXCourier;2017-04-14 11:00;1;0;"Music - Motel California - one of the most respected Eagles tribute bands - are coming to rock #Halifax http://www. halifaxcourier.co.uk/whats-on/music /take-it-easy-1-8478990 … pic.twitter.com/0J0amltqQT";;;#Halifax;"852884161950044160";https://twitter.com/HXCourier/status/852884161950044160
tigeradio;2017-04-10 06:36;0;0;"@Tigeradio http://www. tigeradio.com #Greece #radio #live #music #rock #tigeradio #TigerRadioGreece #NowPlaying Sydney - Halifax";;@Tigeradio;#Greece #radio #live #music #rock #tigeradio #TigerRadioGreece #NowPlaying;"851368295848697856";https://twitter.com/tigeradio/status/851368295848697856
globalacidreset;2017-03-20 21:19;0;0;"This one is goes really good with #mondays https:// soundcloud.com/globalacidrese t/maggot … Partially recorded at #MyLibrary #Halifax @halifaxnoise #rockmusic";;@halifaxnoise;#mondays #MyLibrary #Halifax #rockmusic;"843980306881417216";https://twitter.com/globalacidreset/status/843980306881417216
SmokesIndoors;2017-03-19 12:45;0;1;"If anyone in the Halifax area would like a copy of Cahhr's Rock Music Record i'm up there next week and can bring some. Hit. Me. Up.";;;;"843488551610306560";https://twitter.com/SmokesIndoors/status/843488551610306560
TheBandCoPilot;2017-02-28 20:44;0;1;"Do you want some #dadrock in your life? Check out our new tune! #rock #music #Halifax #local https://www. youtube.com/watch?v=2tVmoM BKhgI …";;;#dadrock #rock #music #Halifax #local;"836738983363293184";https://twitter.com/TheBandCoPilot/status/836738983363293184
halifaxbloggers;2017-02-27 20:30;1;0;"One of Canada's most exciting rock bands on stage in Halifax . Trev's @mothermother review: http:// halifaxbloggers.ca/hafilax/2017/0 2/mother-mother-240217/ … #music @HAFILAXtweets pic.twitter.com/3I5o0BPCA3";;@mothermother @HAFILAXtweets;#music;"836372853339619330";https://twitter.com/halifaxbloggers/status/836372853339619330
EyipShow;2017-02-15 20:21;1;2;"Tune into @newscotradio at 9 p.m.AST for 2 hours of Energizing Punk Rock music to shovel snow to. #DownloadtheApp #Halifax pic.twitter.com/PfraMsyKK2";;@newscotradio;#DownloadtheApp #Halifax;"832022017813704704";https://twitter.com/EyipShow/status/832022017813704704
