username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
RobDenBleyker;2015-10-30 19:39;3;33;"Twitter! What's the best place in Halifax to eat a food and drink a drink?";;;;"660224657287725056";https://twitter.com/RobDenBleyker/status/660224657287725056
mealexchange;2015-10-30 18:45;0;1;"Loving the distinguished looking pumpkin collecting #trickoreat food donations at @msvu_ halifax @mealexmsvu @msvusu pic.twitter.com/M1ElFKEDz9";;@msvu_ @mealexmsvu @msvusu;#trickoreat;"660211008858955776";https://twitter.com/mealexchange/status/660211008858955776
LaPiazzaRC;2015-10-30 17:18;0;2;"#tgif #lapiazza #halifax #wine #freshNSmussels #pasta #woodoven #thincrustpizza #food #good#yummy… https:// instagram.com/p/9eZDZSyy-m/";;;#tgif #lapiazza #halifax #wine #freshNSmussels #pasta #woodoven #thincrustpizza #food #good #yummy;"660189013450485760";https://twitter.com/LaPiazzaRC/status/660189013450485760
NeuvooHalifaxNS;2015-10-30 15:49;0;0;"New #job opening at Delta Hotels in #Halifax - #Food #& Beverage Outlets Supervisor #jobs http:// neuvoo.ca/job.php?id=ecf ydjj8yj&source=twitter&lang=en&client_id=241&l=Halifax%2C+Nova+Scotia%2C+CA&k=Food+%26+Beverage+Outlets+Supervisor … pic.twitter.com/vamkldwQDO";;;#job #Halifax #Food # #jobs;"660166702655762432";https://twitter.com/NeuvooHalifaxNS/status/660166702655762432
RyanVanHorne;2015-10-30 14:54;0;0;"@EatThisTown If they did, so what? That's the most ridiculous reason. Is there an Official Foods Act that means Halifax then couldn't?";;@EatThisTown;;"660152713288790016";https://twitter.com/RyanVanHorne/status/660152713288790016
kooltsandmore;2015-10-30 14:32;0;0;"Selling lots of these #tshirts supporting the #Donair becoming the official food of #Halifax http:// koolts.com pic.twitter.com/DTbzU5M8bL";;;#tshirts #Donair #Halifax;"660147227457929216";https://twitter.com/kooltsandmore/status/660147227457929216
CatchaJob_ca;2015-10-30 14:06;0;0;"#Job #Canada #Food and beverage server in #Halifax , NS, http://www. catchajob.ca/job/food-and-b everage-server-in-halifax-ns-12/ …";;;#Job #Canada #Food #Halifax;"660140618564378624";https://twitter.com/CatchaJob_ca/status/660140618564378624
EatThisTown;2015-10-30 13:54;0;1;"@Greg_Beau Can you think of any other food that was actually invented in Halifax ? Do you think everyone in Philly loves cheesesteaks?";;@Greg_Beau;;"660137770808172544";https://twitter.com/EatThisTown/status/660137770808172544
EatThisTown;2015-10-30 13:53;0;2;"@Greg_Beau It's not about whether YOU or I love donairs. They are a quintessential Halifax food whether you like them or not. #bold";;@Greg_Beau;#bold;"660137524145295360";https://twitter.com/EatThisTown/status/660137524145295360
DenovoFarms;2015-10-30 13:40;0;0;"#Halifax mulls tax breaks for businesses donating #food destined for landfill http://www. cbc.ca/1.3289077 #FoodBank #donation #foodsecurity —…";;;#Halifax #food #FoodBank #donation #foodsecurity;"660134197487603712";https://twitter.com/DenovoFarms/status/660134197487603712
EatThisTown;2015-10-30 13:35;0;3;"Can somebody explain to me why the donair as the official food of Halifax is even a debate?";;;;"660132945626136576";https://twitter.com/EatThisTown/status/660132945626136576
DAmbrosioRd;2015-10-30 13:35;0;0;"#Halifax mulls tax breaks for businesses donating #food destined for landfill http://www. cbc.ca/1.3289077 #FoodBank #donation #foodsecurity";;;#Halifax #food #FoodBank #donation #foodsecurity;"660132827246137344";https://twitter.com/DAmbrosioRd/status/660132827246137344
BigJMcC;2015-10-30 12:06;1;1;"Ugh! #Sobeys to gobble up Pete’s Fine Foods http:// ln.is/thechroniclehe rald.ca/8FgOZ … via @chronicleherald #Halifax #BedfordNS #novascotia";;@chronicleherald;#Sobeys #Halifax #BedfordNS #novascotia;"660110539373289472";https://twitter.com/BigJMcC/status/660110539373289472
StreetFoodApp;2015-10-30 11:35;0;0;"9 food trucks are open today in Halifax http:// streetfoodapp.com/halifax";;;;"660102646846660608";https://twitter.com/StreetFoodApp/status/660102646846660608
