username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HFXJazzFest;2014-10-29 12:31;0;0;"Artist submissions for the 2015 TD Halifax Jazz Festival open now until Jan 15, 2015. http:// ow.ly/D6wfW";;;;"527482962607345664";https://twitter.com/HFXJazzFest/status/527482962607345664
thepressgang;2014-10-24 16:04;0;0;"Unwind with Mike Cowie’s Trio as they share their unique Jazz and Blues styles starting at 8:30. #Halifax http:// ow.ly/i/7hsuG";;;#Halifax;"525724412126175232";https://twitter.com/thepressgang/status/525724412126175232
thepressgang;2014-10-23 21:01;0;1;"Relax this weekend at the Oyster Bar while listening to the smooth Jazz & Blues sounds of Mike Cowie’s Trio. Show starts at 8:30. #Halifax";;;#Halifax;"525436878015959042";https://twitter.com/thepressgang/status/525436878015959042
HFXJazzFest;2014-10-22 15:31;2;2;"Artist submissions for the 2015 TD Halifax Jazz Festival open now until Jan 15, 2015. http:// ow.ly/D6w88";;;;"524991374610141184";https://twitter.com/HFXJazzFest/status/524991374610141184
thepressgang;2014-10-18 21:01;0;1;"Mike Cowie's Trio are filling The Press Gang with their lively versions of #Jazz , #Blues , and Classic Rock hits. #Halifax";;;#Jazz #Blues #Halifax;"523624846211973121";https://twitter.com/thepressgang/status/523624846211973121
thepressgang;2014-10-17 21:01;0;1;"Take a seat at the #Oyster Bar tonight while enjoying the #Blues , #Jazz , and Funk fusion of Mike Cowie’s Trio starting at 8:30pm. #Halifax";;;#Oyster #Blues #Jazz #Halifax;"523262555721314304";https://twitter.com/thepressgang/status/523262555721314304
job_canada_;2014-10-17 09:15;0;0;"Jazz Aviation LP: Aircraft Maintenance Engineer: Heavy Maintenance - Avionics ( Halifax , 0, Canada) http:// jobs.as/d?j=6639422";;;;"523084838791045121";https://twitter.com/job_canada_/status/523084838791045121
halifaxca1;2014-10-17 08:31;0;0;"Aircraft Maintenance Engineer: Heavy Maintenance - Avionics - Jazz Aviation… http:// goo.gl/fb/Gg2KQO Job Halifax CA";;;;"523073917657681920";https://twitter.com/halifaxca1/status/523073917657681920
halifaxca1;2014-10-17 07:39;0;0;"Aircraft Maintenance Engineer: Heavy Maintenance - Avionics - Jazz Aviation LP - Halifax , NS http:// dlvr.it/7DlkFQ job halifax ca";;;;"523060631893585920";https://twitter.com/halifaxca1/status/523060631893585920
ePanic_;2014-10-17 07:17;0;0;"Halifax Pop Explosion 2014: 12 must-see acts: The biggest music… http:// dlvr.it/7Dl9Xf #ElectronicMusic #HipHop #Jazz #MusiqueNonStop";;;#ElectronicMusic #HipHop #Jazz #MusiqueNonStop;"523055157550907392";https://twitter.com/ePanic_/status/523055157550907392
thepressgang;2014-10-16 21:01;0;0;"Late nights in Halifax begin and end at The Press Gang. Join us tonight for the hottest Atlantic #Blues & #Jazz with Mike Cowie's Trio.";;;#Blues #Jazz;"522900168912699392";https://twitter.com/thepressgang/status/522900168912699392
YoungEmployers;2014-10-16 16:39;0;0;"Human Resource Information Systems Analyst: Jazz Aviation LP ( Halifax ): "Basic purpose of… http:// bit.ly/11wiJIz #younger #workplaces";;;#younger #workplaces;"522834173975736321";https://twitter.com/YoungEmployers/status/522834173975736321
Diversity__Jobs;2014-10-16 16:36;0;0;"Human Resource Information Systems Analyst: Jazz Aviation LP ( Halifax ): "Basic purpose of… http:// bit.ly/1Cr4eku #diversity #jobs";;;#diversity #jobs;"522833518972256258";https://twitter.com/Diversity__Jobs/status/522833518972256258
HalifaxJob;2014-10-16 16:32;0;0;"Human Resource Information Systems Analyst: Jazz Aviation LP: "Basic purpose of Position: To… http:// bit.ly/1Cr4eku #halifax #jobs #ns";;;#halifax #jobs #ns;"522832497218830337";https://twitter.com/HalifaxJob/status/522832497218830337
