username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mylesmundle;2017-04-29 10:14;0;1;"Sorry I missed you, I’m working at the Halifax airport Jazz hangar. Next time";;;;"858308569216757761";https://twitter.com/mylesmundle/status/858308569216757761
halifaxca1;2017-04-27 14:45;0;0;"Accounts Payable Coordinator - Jazz Aviation LP - Halifax , NS https:// goo.gl/fb/WxutXz Job Halifax CA";;;;"857651980847771649";https://twitter.com/halifaxca1/status/857651980847771649
Acctjobsca;2017-04-27 10:57;0;0;"Coordonnateur - Comptes créditeurs à Halifax , NS pour Jazz Aviation http:// jobx.ca/P0W4nt";;;;"857594577233903619";https://twitter.com/Acctjobsca/status/857594577233903619
Acctjobsca;2017-04-27 10:57;0;0;"Accounts Payable Coordinator in Halifax , NS for Jazz Airline http:// jobx.ca/P0W4ng";;;;"857594575820439552";https://twitter.com/Acctjobsca/status/857594575820439552
jazz_dancewear;2017-04-26 13:58;1;3;"Latest tutu by Angela @jazz _dancewear @AudSpencerDance @KTDance1 @Examiner #ballet @loveholmfirth #sheffieldissuper #leeds #Halifax #RT pic.twitter.com/dY9751S2Jx";;@jazz @AudSpencerDance @KTDance1 @Examiner @loveholmfirth;#ballet #sheffieldissuper #leeds #Halifax #RT;"857277746426327043";https://twitter.com/jazz_dancewear/status/857277746426327043
BethPJohnston;2017-04-25 06:54;2;4;"Good luck to the Queen Charlotte Jazz and Concert Bands heading to the music festival in Halifax today. Represent! @qccoyotes";;@qccoyotes;;"856808737075589120";https://twitter.com/BethPJohnston/status/856808737075589120
snapdHalifax;2017-04-22 20:31;1;2;"Halifax Jazz Festival- Jerry Granelli and The Globe Band Live in Concert! Tomorrow 7:30pm http:// snapd.at/tew42vw";;;;"855927096400646145";https://twitter.com/snapdHalifax/status/855927096400646145
jazz_dancewear;2017-04-22 07:54;6;1;"Open today @jazz _dancewear #WonderfulWakey #Yorkshire #Leeds #Halifax #Huddersfield @KTDance1 @loveholmfirth #Bradford #Barnsleyisbrill #RT pic.twitter.com/5x4uNKu4l1";;@jazz @KTDance1 @loveholmfirth;#WonderfulWakey #Yorkshire #Leeds #Halifax #Huddersfield #Bradford #Barnsleyisbrill #RT;"855736591435870208";https://twitter.com/jazz_dancewear/status/855736591435870208
vasilrambi;2017-04-21 22:34;1;3;"#Jazz #CRJ705 " @JetPhotos : Air Canada Express CRJ-700 departing Halifax . https://www. jetphotos.com/photo/8566680 © Michael Durning pic.twitter.com/XKgJ3wSWYB "";;@JetPhotos;#Jazz #CRJ705;"855595536363159557";https://twitter.com/vasilrambi/status/855595536363159557
jazz_dancewear;2017-04-21 07:02;6;1;"Fairytale window @jazz _dancewear @TweetBarnsley @loveholmfirth #sheffieldissuper #barnsleyisbrill #doncasterisgreat #Bradford #Halifax #RT pic.twitter.com/ymfW48bLD4";;@jazz @TweetBarnsley @loveholmfirth;#sheffieldissuper #barnsleyisbrill #doncasterisgreat #Bradford #Halifax #RT;"855361212623851521";https://twitter.com/jazz_dancewear/status/855361212623851521
LeonardPreyra;2017-04-20 16:02;1;1;"Volunteer Services — Halifax Jazz Festival http://www. halifaxjazzfestival.ca/volunteer-serv ices …";;;;"855134521565601792";https://twitter.com/LeonardPreyra/status/855134521565601792
LeonardPreyra;2017-04-20 16:01;0;0;"Executive Director — Halifax Jazz Festival http://www. halifaxjazzfestival.ca/executive-dire ctor …";;;;"855134331844665346";https://twitter.com/LeonardPreyra/status/855134331844665346
atlantic_canada;2017-04-19 14:18;0;0;"Coordonnateur - Fret et Douanes: Jazz Aviation LP ( Halifax ): "Objectif du poste : En s'appuyant… http://www. eluta.ca/search?ptitle= Coordonnateur+-+Fret+et+Douanes&position=2d5a45e4b4d866635ab9c03c6bf43b07&imo=1 … #novascotia #jobs";;;#novascotia #jobs;"854746066331222016";https://twitter.com/atlantic_canada/status/854746066331222016
atlantic_canada;2017-04-19 14:18;0;0;"Freight and Customs Coordinator: Jazz Aviation LP ( Halifax ): "Basic Purpose of Position: This… http://www. eluta.ca/search?ptitle= Freight+and+Customs+Coordinator&position=2ce2abb0cdb014ac33ee532592460b96&imo=1 … #novascotia #jobs";;;#novascotia #jobs;"854746061759434752";https://twitter.com/atlantic_canada/status/854746061759434752
Nova_Scotia_Job;2017-04-19 13:24;0;0;"Coordonnateur - Fret et Douanes: Jazz Aviation LP ( Halifax ): "Objectif du poste : En s'appuyant… http://www. eluta.ca/search?ptitle= Coordonnateur+-+Fret+et+Douanes&position=2d5a45e4b4d866635ab9c03c6bf43b07&imo=1 … #novascotia #jobs";;;#novascotia #jobs;"854732386461900800";https://twitter.com/Nova_Scotia_Job/status/854732386461900800
