username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Mix965HFX;2014-10-28 18:16;2;2;"Neil: @RoxyandTUSS #Halifax R&B band drop by for a #StudioSession to perform "Puppet" and chat about #nsmw2014 http:// bit.ly/133OBoH";;@RoxyandTUSS;#Halifax #StudioSession #nsmw2014;"527207230068645889";https://twitter.com/Mix965HFX/status/527207230068645889
WallOfJericoe;2014-10-18 21:25;0;0;"I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/jericoe";;;;"523630995644248065";https://twitter.com/WallOfJericoe/status/523630995644248065
BRADYJG1;2014-10-12 18:50;0;0;"@JustRL man why can't we get a show like that in Halifax , Nova Scotia? Real R&B , not today's nonsense";;@JustRL;;"521417683472904192";https://twitter.com/BRADYJG1/status/521417683472904192
BHaigh1;2014-10-04 15:11;0;0;"@PeterBradley99 R B S own Halifax and Gov own 86% of both and both enterprise and punch use trading account with R B S";;@PeterBradley99;;"518463326272380930";https://twitter.com/BHaigh1/status/518463326272380930
TheSolution91;2014-10-03 15:51;0;1;"CHECK OUT MY BOY Jericoe States NEW PAGE! HES A NEW UP AND COMING R&B ARTIST STRAIGHT FROM HALIFAX NOVASCOTIA.... http:// fb.me/79Y7NnhRx";;;;"518111225977126913";https://twitter.com/TheSolution91/status/518111225977126913
soulhowe;2014-10-02 00:00;0;0;"#halifax @homegrowndaproducer SOUL HOWE REQUESTS VOTES!!! "HOLD ON" - Soul/ R&B Music Video - BEAT100 http://www. beat100.com/watch-video/ho ld-on_10094764 …";;@homegrowndaproducer;#halifax;"517509381961695232";https://twitter.com/soulhowe/status/517509381961695232
JulesHFX;2014-10-01 13:53;1;1;"Monumental : legendary R&B singer and civil rights activist Mavis Sraples is coming to #Halifax next week @HFXJazzFest I wouldn't miss her !";;@HFXJazzFest;#Halifax;"517356643965616128";https://twitter.com/JulesHFX/status/517356643965616128
soulhowe;2014-09-18 16:07;0;0;"@cndmusiccharts "Hold On" assumes #1 in less than a day,.Soul R&B video charting. http://www. beat100.com/my-network/sou l-howe_118048/profile/ … @BEAT100 #halifax @HOMEGROWNDAPROD";;@cndmusiccharts @BEAT100 @HOMEGROWNDAPROD;#1 #halifax;"512679204597407745";https://twitter.com/soulhowe/status/512679204597407745
MaragDhubh;2014-09-12 19:42;0;1;"@Lars9596 @AlastairWinter @DonnieRust SCOTTISH? Such as R.B .S already based in Englland? B.O.S ? Owned by Halifax ? Scottish Gas? Leeds!";;@Lars9596 @AlastairWinter @DonnieRust;;"510559190906310656";https://twitter.com/MaragDhubh/status/510559190906310656
Zallures21;2014-09-10 09:23;0;0;"Gonna be in Halifax October 4, looking for something to do. Some bad R&B and lame jokes are a must. Any suggestions?";;;;"509678476778283008";https://twitter.com/Zallures21/status/509678476778283008
BebePies;2014-09-09 18:25;0;0;"Just discovered some sweet 90s #Halifax R&B . I picture Tom Haverford singing along: http:// bit.ly/Zg7iUa";;;#Halifax;"509452442053128192";https://twitter.com/BebePies/status/509452442053128192
