username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DarkCanuck14;2017-04-24 19:16;0;5;"@BadAppleBrewing @Raptors Getting settled in for the biggest game of the year with some fresh beer. #CraftBeer #IPA #APA #Halifax #rtz #raps pic.twitter.com/wVYWzNfAze";;@BadAppleBrewing @Raptors;#CraftBeer #IPA #APA #Halifax #rtz #raps;"856632863810301952";https://twitter.com/DarkCanuck14/status/856632863810301952
tonyszczak;2017-04-14 01:01;0;0;"#5DollarRapNight And Halifax Rap Legend @rljd s shirt is off. Now it's a party. #WhereYouAt";;@rljd;#5DollarRapNight #WhereYouAt;"852733623098683392";https://twitter.com/tonyszczak/status/852733623098683392
iancfairclough;2017-04-12 08:57;2;0;"Halifax rap artist gets bail on murder charge with Crown’s consent https://www. localxpress.ca/local-news/hal ifax-rap-artist-gets-bail-on-murder-charge-with-crowns-consent-586701 … via @xpress_local";;@xpress_local;;"852128495694118913";https://twitter.com/iancfairclough/status/852128495694118913
xpress_local;2017-04-11 19:46;2;1;"Halifax rap artist gets bail on murder charge with Crown's consent http:// tinyurl.com/mkwtujn pic.twitter.com/xM0U85YAHo";;;;"851929582454394880";https://twitter.com/xpress_local/status/851929582454394880
rssmooth;2017-04-09 17:49;0;1;"#SmoothGroovesCKDU - http://www. ckdu.ca - #HipHop #RnB #Rap #Reggae #Soca #Halifax #Scotia #CKDU #Radio … https://www. instagram.com/p/BSrbjUghgaU/";;;#SmoothGroovesCKDU #HipHop #RnB #Rap #Reggae #Soca #Halifax #Scotia #CKDU #Radio;"851175251878617088";https://twitter.com/rssmooth/status/851175251878617088
Cupcakes_n_Rap;2017-04-07 09:50;0;0;"#Halifax https:// twitter.com/ClydeMandelin/ status/849456695319416832 …";;;#Halifax;"850329949613547521";https://twitter.com/Cupcakes_n_Rap/status/850329949613547521
RigOperator201;2017-04-05 12:07;0;1;"Fav hip hop would be Classified from Halifax Canada fav rap artist would be Eminem. You guys kick ass too.";;;;"849639704865550336";https://twitter.com/RigOperator201/status/849639704865550336
rssmooth;2017-04-02 17:26;0;0;"#SmoothGroovesCKDU - http://www. ckdu.ca - #HipHop #RnB #Rap #Reggae #Soca #CKDU #Radio #Halifax #Scotia … https://www. instagram.com/p/BSZXZJ5hbMD/";;;#SmoothGroovesCKDU #HipHop #RnB #Rap #Reggae #Soca #CKDU #Radio #Halifax #Scotia;"848632831408349184";https://twitter.com/rssmooth/status/848632831408349184
imahusnababy;2017-04-02 13:38;0;0;"Can someone tell me which song Skepta raps about Halifax .. Because I just had a customer who said he did..";;;;"848575441015160832";https://twitter.com/imahusnababy/status/848575441015160832
closetgeekshow;2017-03-27 13:15;0;0;"Catching up on @rljd 's releases, great wordsmithery with weird beats as one would expect from a Halifax Rap Legend™ http:// bit.ly/2o9MACH";;@rljd;;"846395298696085504";https://twitter.com/closetgeekshow/status/846395298696085504
daneford;2017-03-26 19:57;0;0;"Split Adams vs. MCD rap battle at the Pavilion in Halifax : http:// youtu.be/cvnNMomRzY4?a via @YouTube";;@YouTube;;"846133962460168192";https://twitter.com/daneford/status/846133962460168192
Cupcakes_n_Rap;2017-03-25 22:34;1;0;"Seeing #Weirdos with Halifax 's @rljd means lots of cute "I went to high school with him!" and "That's my friend's dad!" whispers #NSFilmJobs";;@rljd;#Weirdos #NSFilmJobs;"845811144384229377";https://twitter.com/Cupcakes_n_Rap/status/845811144384229377
FrantikF;2017-03-24 18:59;0;0;"#dignity #glynn #halifax #hiphop #rap #scotia https://www. youtube.com/watch?v=nCRogT 8EZAs&t=2s …";;;#dignity #glynn #halifax #hiphop #rap #scotia;"845394605252251648";https://twitter.com/FrantikF/status/845394605252251648
missmuzie;2017-03-21 11:30;0;0;"Hip Hop & Rap nights coming to Halifax once a month, more info coming soon :)";;;;"844194416667561986";https://twitter.com/missmuzie/status/844194416667561986
kingluc902;2017-03-20 19:14;0;0;"CHECK OUT MY NEW SONG WaVy !! Here's the link https:// m.youtube.com/watch?v=QU-DrE lMzaQ … #hiphop #rap #2017 #morelife #halifax #902 #lifegoeson #wavy";;;#hiphop #rap #2017 #morelife #halifax #902 #lifegoeson #wavy;"843948887429861377";https://twitter.com/kingluc902/status/843948887429861377
rssmooth;2017-03-12 17:24;1;0;"#SmoothGroovesCKDU - http://www. ckdu.ca - #CKDU #Radio #Halifax #Scotia #HipHop #RnB #Rap #Reggae #Soca … https://www. instagram.com/p/BRjSe1jByut/";;;#SmoothGroovesCKDU #CKDU #Radio #Halifax #Scotia #HipHop #RnB #Rap #Reggae #Soca;"841022205320347648";https://twitter.com/rssmooth/status/841022205320347648
kingluc902;2017-03-03 11:56;0;1;"Check it out!!! https:// m.youtube.com/watch?v=B4Q3Ww itNI4 … #rap #hiphop #2017 #takeasongonvacation #halifax #902";;;#rap #hiphop #2017 #takeasongonvacation #halifax #902;"837693172578942978";https://twitter.com/kingluc902/status/837693172578942978
lslysz;2017-02-24 22:51;0;0;"@sergeibaka_7 @Raptors all the way from #Halifax thanks for the shout out, welcome to the raps #WeTheNorth pic.twitter.com/ApdhVq7CHJ";;@sergeibaka_7 @Raptors;#Halifax #WeTheNorth;"835321183977492480";https://twitter.com/lslysz/status/835321183977492480
Cupcakes_n_Rap;2017-02-22 12:59;2;3;"I do tweet about things OTHER than community radio, but I have a soft spot for @CKCUFM , @CHUOFM , and @CKDU881FM . #Ottawa #Halifax";;@CKCUFM @CHUOFM @CKDU881FM;#Ottawa #Halifax;"834447611864154115";https://twitter.com/Cupcakes_n_Rap/status/834447611864154115
RyanPrime_;2017-02-19 20:32;0;0;"homie said "maybe the next Tonya Harding is skating around in Halifax , waiting for her chance to beat somebody down" shock rap >";;;;"833474380202123264";https://twitter.com/RyanPrime_/status/833474380202123264
rssmooth;2017-02-19 17:38;0;0;"#SmoothGroovesCKDU - http://www. ckdu.ca - #HipHop #RnB #Rap #Reggae #Soca #CKDU #Radio #DJ #Halifax … https://www. instagram.com/p/BQtWNtWBhku/";;;#SmoothGroovesCKDU #HipHop #RnB #Rap #Reggae #Soca #CKDU #Radio #DJ #Halifax;"833430588539314176";https://twitter.com/rssmooth/status/833430588539314176
Jspirulina;2017-02-19 01:01;0;1;"Apollo 13 - Misery Loves Company FREE ALBUM https:// djdirtydane.bandcamp.com/album/misery-l oves-company … #hiphop #rap #freemusic #halifax";;;#hiphop #rap #freemusic #halifax;"833179657801433090";https://twitter.com/Jspirulina/status/833179657801433090
daneford;2017-02-18 22:37;0;1;"Dirty Dane - Gemstoned (INSTRUMENTAL ALBUM) https:// djdirtydane.bandcamp.com/album/gemstoned #hiphop #rap #instrumentals #beats #halifax";;;#hiphop #rap #instrumentals #beats #halifax;"833143400811622400";https://twitter.com/daneford/status/833143400811622400
daneford;2017-02-18 22:36;0;1;"Apollo 13 - Misery Loves Company (FREE ALBUM) https:// djdirtydane.bandcamp.com/album/misery-l oves-company … #hiphop #rap #freemusic #halifax";;;#hiphop #rap #freemusic #halifax;"833143164131229698";https://twitter.com/daneford/status/833143164131229698
RealSpitBreezy;2017-02-17 22:19;4;3;"@GreezyCHK #HDP #ItsTheGang #TeamNasa #scotian#rap #artist#Halifax #Local #musicnovascotia … https://www. instagram.com/p/BQos1fqA_Jz/";;@GreezyCHK;#HDP #ItsTheGang #TeamNasa #scotian #rap #artist #Halifax #Local #musicnovascotia;"832776646210023424";https://twitter.com/RealSpitBreezy/status/832776646210023424
shift_Q;2017-02-17 17:13;0;0;"Finally get a rap show in Halifax and it's Hopsin trash";;;;"832699544726970368";https://twitter.com/shift_Q/status/832699544726970368
GregBalingit;2017-02-12 19:20;0;0;"@Matt__Devlin thanks for the Halifax shout out on that 3!! Go raps !!";;@Matt__Devlin;;"830919492670722049";https://twitter.com/GregBalingit/status/830919492670722049
jackmittonfax1;2017-02-12 07:49;0;0;"we will rap up well its going to be though but fax can win if we cut out the mistakes and penalties up the Fax";;;;"830745683548311552";https://twitter.com/jackmittonfax1/status/830745683548311552
6SProductions;2017-02-11 09:29;0;0;"@icudgivatityfuk https:// youtu.be/onqccLpoUmY?li st=UUsTKWod8kr6wZjwhx-IUlxw … #Remix #OutNow #HipHop #Rap #Canada #Ontario #Toronto #Vancouver #Halifax #Montreal #LA #NewYork";;@icudgivatityfuk;#Remix #OutNow #HipHop #Rap #Canada #Ontario #Toronto #Vancouver #Halifax #Montreal #LA #NewYork;"830408418536124417";https://twitter.com/6SProductions/status/830408418536124417
