username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
newscotradio;2016-10-30 05:16;0;0;"They're all coming to #Halifax in November. Which one are you excited to see? #rock #Halifax #music #radio #X4HFX";;;#Halifax #rock #Halifax #music #radio #X4HFX;"792641346108583940";https://twitter.com/newscotradio/status/792641346108583940
janecowell8;2016-10-27 16:53;0;0;"Drop the needle: Halifax library's vinyl club brings together generations of music lovers http://www. metronews.ca/news/halifax/2 016/10/25/halifax-library-vinyl-listening-club-draws-people-together.html … #library programs rock !";;;#library;"791729597771419648";https://twitter.com/janecowell8/status/791729597771419648
halifaxbloggers;2016-10-26 15:30;0;0;"NEW: Sloan left Trev with a grin when they brought their brand of poppy indie rock to Halifax . http:// halifaxbloggers.ca/hafilax/2016/1 0/concert-review-sloan-the-marquee-07-10-2016/ … #music @HAFILAXtweets pic.twitter.com/VoAZLLlZj4";;@HAFILAXtweets;#music;"791346166818484224";https://twitter.com/halifaxbloggers/status/791346166818484224
newscotradio;2016-10-21 13:43;0;1;"Halifax needs an alternative rock countdown. #X4HFX #Halifax #music #radio #rock #countdown pic.twitter.com/GYSlQBnqXm";;;#X4HFX #Halifax #music #radio #rock #countdown;"789507428702416896";https://twitter.com/newscotradio/status/789507428702416896
OxjamCalderdale;2016-10-15 04:15;2;1;"In less then 4 hours #Oxjam will rock #Halifax . Come along for a day of incredible music , you can buy your ticket at the door!";;;#Oxjam #Halifax;"787190251181711360";https://twitter.com/OxjamCalderdale/status/787190251181711360
ScotiaWeb;2016-10-13 17:11;0;1;"#Halifax Top 10 ways to make this weekend rock : 10Maud Lewis-The Heart on the Door Book L... http:// bit.ly/2dQldgR #NovaScotia #Music";;;#Halifax #NovaScotia #Music;"786660701695729664";https://twitter.com/ScotiaWeb/status/786660701695729664
TheSummerRabbit;2016-10-10 18:28;0;1;"!!!!ALBUM REVIEW!!!! @TheEastMag http://www. theeastmag.com/2016/10/10/new -music-summer-rabbit/ … Thanks! #music #halifax #review #band #poprock #rock";;@TheEastMag;#music #halifax #review #band #poprock #rock;"785592868526235649";https://twitter.com/TheSummerRabbit/status/785592868526235649
QueenoftheBB;2016-09-29 20:35;2;3;"#Coolest #MardiGras party in #halifax with @ZackaryLane1 playing an amazing mix of rock and country music ! Thank you #HardingMedical pic.twitter.com/KJQXHpPXJK";;@ZackaryLane1;#Coolest #MardiGras #halifax #HardingMedical;"781638673792139264";https://twitter.com/QueenoftheBB/status/781638673792139264
NSRasta;2016-09-28 22:50;0;1;"OUTRO: #GoodNight #Music Medley via @PersuadersHFX #Halifax at Seahorse https://www. youtube.com/watch?v=fFB_oU FR_zQ … PERSUADERS LIVE #Rock NowPlaying #NSR";;@PersuadersHFX;#GoodNight #Music #Halifax #Rock #NSR;"781310026417893376";https://twitter.com/NSRasta/status/781310026417893376
andrewrdmoore;2016-09-23 23:25;0;0;"Pre show face audition...are these good stage faces?? #blues #rock #livemusic #music #halifax … https://www. instagram.com/p/BKuMlO7jDUD/";;;#blues #rock #livemusic #music #halifax;"779506946525233152";https://twitter.com/andrewrdmoore/status/779506946525233152
TheSummerRabbit;2016-09-23 16:47;0;0;"From the @musicnovascotia newsletter yesterday #music #album #band #rock #poprock #halifax … https://www. instagram.com/p/BKtfCN-DxUL/";;@musicnovascotia;#music #album #band #rock #poprock #halifax;"779406786558304256";https://twitter.com/TheSummerRabbit/status/779406786558304256
wearecomposit;2016-09-12 21:56;0;4;"Soon. #Music #FirstSingle #Songwriting #Songwriters #PopRock #PopMusic #RockMusic #Rebound #OriginalMusic #Halifax #NovaScotia #Maritimes";;;#Music #FirstSingle #Songwriting #Songwriters #PopRock #PopMusic #RockMusic #Rebound #OriginalMusic #Halifax #NovaScotia #Maritimes;"775498235288911872";https://twitter.com/wearecomposit/status/775498235288911872
newscotradio;2016-09-06 06:55;0;1;"Sometimes change is good. #Halifax #Radio #Alternative #rock #music #Dartmouth #NovaScotia http:// newscotlandradio.com pic.twitter.com/T0WnRQJ2Ui";;;#Halifax #Radio #Alternative #rock #music #Dartmouth #NovaScotia;"773097239522729984";https://twitter.com/newscotradio/status/773097239522729984
DalStudentLife;2016-09-03 20:35;0;3;"New Dal students are enjoying some live music at Rock The Boat on the Studley Quad! Great welcome to Halifax pic.twitter.com/38RNyCTD3v";;;;"772216567493001218";https://twitter.com/DalStudentLife/status/772216567493001218
newscotradio;2016-09-01 14:28;2;1;"3 hours of "Exposing your inner Punk" starts tonight 9-12 (10-1EDT) on NScR #punk #rock #Halifax #radio #music pic.twitter.com/MmtADMb55w";;;#punk #rock #Halifax #radio #music;"771399357870596097";https://twitter.com/newscotradio/status/771399357870596097
