username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
lenottesen;2014-04-26 22:20;0;0;"Syncopated Math Rock Ninjas. #Plural #music #halifax http:// instagram.com/p/nRk3LeOh2Z/";;;#Plural #music #halifax;"460226975739965440";https://twitter.com/lenottesen/status/460226975739965440
ArtistReach;2014-04-08 12:35;1;5;"Do I Really Have To Blog? http:// ow.ly/3iYrmx #musicbusiness #musicadvice #halifax #njdevils #singer #seo #vocals #rockmusic #NYC #DIY";;;#musicbusiness #musicadvice #halifax #njdevils #singer #seo #vocals #rockmusic #NYC #DIY;"453556755864498176";https://twitter.com/ArtistReach/status/453556755864498176
sludgepanda;2014-04-05 12:20;0;0;"#blacksabbath #black #sabbath #live #halifax #novascotia #canada #music #metal #doom #rock … http:// instagram.com/p/mabhXUMotz/";;;#blacksabbath #black #sabbath #live #halifax #novascotia #canada #music #metal #doom #rock;"452465872465301504";https://twitter.com/sludgepanda/status/452465872465301504
oldcockhalifax;2014-04-05 10:44;1;0;": Live music from inciders tonight. Our plan for the day is to win on the national and them rock on with these guys! #halifax #rock";;;#halifax #rock;"452441642071773184";https://twitter.com/oldcockhalifax/status/452441642071773184
sarahabriel;2014-04-04 16:31;0;1;"Go! Saw it at AFF, it's awesome! " @carbon_arc : @MuscleShoalsMov #music #doc @carbon_arc in #Halifax is gonna rock #tonight !! w'hoo!”";;@carbon_arc @MuscleShoalsMov @carbon_arc;#music #doc #Halifax #tonight;"452166505959260161";https://twitter.com/sarahabriel/status/452166505959260161
carbon_arc;2014-04-04 13:59;0;0;"@MuscleShoalsMov #music #doc @carbon_arc in #Halifax is gonna rock #tonight !! w'hoo!";;@MuscleShoalsMov @carbon_arc;#music #doc #Halifax #tonight;"452128231358210048";https://twitter.com/carbon_arc/status/452128231358210048
JimPolandcom;2014-03-24 01:15;0;0;"@LabRatRho = ...Horror Movie Fan, Metal music & Hard Rock Appreciator. No haters pls. >>> Nova Scotia, Halifax , Canada!";;@LabRatRho;;"447949856121044992";https://twitter.com/JimPolandcom/status/447949856121044992
ArtistReach;2014-03-17 08:45;1;1;"Pledge Artists -- Helping Artists Raise Cash http:// evpo.st/1qLiH7S #halifax #rockmusic #singer #vocals #musicmarketing #NewYork #DIY #NYC";;;#halifax #rockmusic #singer #vocals #musicmarketing #NewYork #DIY #NYC;"445526334320967680";https://twitter.com/ArtistReach/status/445526334320967680
ArtistReach;2014-03-16 09:59;2;3;"Bidagig: A Place For Independent Musicians To Find Work #halifax #rockmusic #singer #vocals #youtube #musicmarketing #NewYork #Montreal #DIY";;;#halifax #rockmusic #singer #vocals #youtube #musicmarketing #NewYork #Montreal #DIY;"445182533526106112";https://twitter.com/ArtistReach/status/445182533526106112
ArtistReach;2014-03-16 04:30;1;2;"A Beginners Guide to Songwriting http:// evpo.st/1d8YHmN #halifax #rockmusic #singer #vocals #NewYork #Montreal #youtube #DIY";;;#halifax #rockmusic #singer #vocals #NewYork #Montreal #youtube #DIY;"445099705153122305";https://twitter.com/ArtistReach/status/445099705153122305
ArtistReach;2014-03-15 06:42;1;3;""I'll write anything I want and say anything I damn well please!" http:// evpo.st/1iNidJ4 #halifax #rockmusic #singer #vocals #musicbiz";;;#halifax #rockmusic #singer #vocals #musicbiz;"444770593767182336";https://twitter.com/ArtistReach/status/444770593767182336
ArtistReach;2014-03-11 08:44;3;3;"Follow the two Pact Society owners: @JustynBrodsky @MadisonRiversCA #follow #rockmusic #halifax #singer #vocals #njdevils #musicbusiness #NY";;@JustynBrodsky @MadisonRiversCA;#follow #rockmusic #halifax #singer #vocals #njdevils #musicbusiness #NY;"443351694945308672";https://twitter.com/ArtistReach/status/443351694945308672
SongsSmiths;2014-03-09 09:14;1;0;"CHECK OUT SONG of the DAY: WINTERSLEEP - "Weighty Ghost" | RT @scoopit http:// sco.lt/8XwmRN #indie #rock #music #halifax #songssmiths";;@scoopit;#indie #rock #music #halifax #songssmiths;"442634405182705665";https://twitter.com/SongsSmiths/status/442634405182705665
