username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
austin_hepworth;2013-10-30 19:16;0;0;"Just a heads up, I'm gonna delete all your music if you cancel your Halifax show RT @MacMiller : next time i tweet a link, click it.";;@MacMiller;;"395675602273202177";https://twitter.com/austin_hepworth/status/395675602273202177
brewnoser;2013-10-30 17:34;0;0;"@EastCoastMusic @rosebeefe sadly I will miss this. My fave music event last year in Halifax .";;@EastCoastMusic @rosebeefe;;"395649906092023809";https://twitter.com/brewnoser/status/395649906092023809
SymphonyNS;2013-10-30 15:21;0;0;"@LyndsaySawler Have you heard of the Halifax Music Co-Op? http:// thehmc.ca /";;@LyndsaySawler;;"395616415962521600";https://twitter.com/SymphonyNS/status/395616415962521600
deanclough;2013-10-30 14:14;1;0;"Live music at The John Crossley Bar, Dean Clough, Halifax Friday 1st November 2013 7.30pm ~ Free entry ~ Free... http:// fb.me/2r8P65DLn";;;;"395599611421028352";https://twitter.com/deanclough/status/395599611421028352
musicunderwater;2013-10-30 12:57;0;0;"Where the music at this halloween #Halifax ? @HomeBassHFX @ILOVELOCALHFX @NorthEndHfx @NorthNorthRcrds @HalifaxPopX @evolvefestival";;@HomeBassHFX @ILOVELOCALHFX @NorthEndHfx @NorthNorthRcrds @HalifaxPopX @evolvefestival;#Halifax;"395580321434845184";https://twitter.com/musicunderwater/status/395580321434845184
QueenoftheBB;2013-10-30 12:54;1;0;"@mcinnescooper lawyer band #RedC will b rocking 2 70’s music in #Halifax w @modcanada at #RockforDimes Friday Nov 1 http:// bit.ly/1cc6gfX";;@mcinnescooper @modcanada;#RedC #Halifax #RockforDimes;"395579443521277952";https://twitter.com/QueenoftheBB/status/395579443521277952
JuliePellett;2013-10-30 10:11;0;0;"Friday night is live music night at The John Crossley Bar Halifax . 1st Nov The McCallons live at 7.30. Free entry & free pulled pork hotdog";;;;"395538411123388416";https://twitter.com/JuliePellett/status/395538411123388416
EastCoastMusic;2013-10-30 09:04;3;2;"Some sweet music action on Saturday @TheCompanyHouse w/ @gabpapillon @natashapeach @corinnaRmusic & Heirloom http:// ow.ly/qhWRM #Halifax";;@TheCompanyHouse @gabpapillon @natashapeach @corinnaRmusic;#Halifax;"395521504265650176";https://twitter.com/EastCoastMusic/status/395521504265650176
PerpetualD2R;2013-10-30 07:43;3;1;"YAHOO! Our #Lego video for "What if it was you" won best DIY video!! Watch the award show here. http://www. rightouttvawards.com / #halifax #lgbt #music";;;#Lego #halifax #lgbt #music;"395501174687666176";https://twitter.com/PerpetualD2R/status/395501174687666176
QueenoftheBB;2013-10-29 21:41;1;0;"Dance this Friday night away to 70’s music in #Halifax with @modcanada and @mcinnescooper at #RockforDimes Nov 1 http:// bit.ly/1cc6gfX";;@modcanada @mcinnescooper;#Halifax #RockforDimes;"395349663202955264";https://twitter.com/QueenoftheBB/status/395349663202955264
QueenoftheBB;2013-10-29 19:59;1;0;"Dance the night away to 70’s music in #Halifax with @modcanada & @mcinnescooper at #RockforDimes this Friday Nov 1 http:// bit.ly/1cc6gfX";;@modcanada @mcinnescooper;#Halifax #RockforDimes;"395323920477605888";https://twitter.com/QueenoftheBB/status/395323920477605888
BennyBoyMerry;2013-10-29 16:18;0;0;"@benjimarley #triangle #hip #hop #life #producer #music #novascotia #halifax #dartmouth #ben #merry … http:// instagram.com/p/gEAvY6BOBF/";;@benjimarley;#triangle #hip #hop #life #producer #music #novascotia #halifax #dartmouth #ben #merry;"395268310633553920";https://twitter.com/BennyBoyMerry/status/395268310633553920
CandysManager;2013-10-29 15:47;0;0;"The Best Of Halifax Show Celebrating The Coast's Best Of Music , Food &amp; City Readers' Choice Awards tickets? http:// bestofhalifax.strangertickets.com/events/1001723 2/2013-best-of-halifax-party-at-the-marquee …";;;;"395260722038333440";https://twitter.com/CandysManager/status/395260722038333440
TheCandyShow;2013-10-29 15:21;1;1;"Got your The Best Of Halifax Show Celebrating The Coast's Best Of Music , Food &amp; City Readers' Choice Awards tix? http:// bestofhalifax.strangertickets.com/events/1001723 2/2013-best-of-halifax-party-at-the-marquee …";;;;"395253991841341440";https://twitter.com/TheCandyShow/status/395253991841341440
SilberMusicFeed;2013-10-29 13:31;0;0;"Contact Music - Diane Keaton Plans Last Tango In Halifax Remake http:// dlvr.it/4DLYD3";;;;"395226513311666176";https://twitter.com/SilberMusicFeed/status/395226513311666176
JasperCoal;2013-10-29 12:39;1;1;"@JasperCoal was interviewed by @CelticLife mag from Halifax , Nova Scotia! Read it here: http://www. celticlifeintl.com/jasper-coal/ #drowningtheshamrock #music";;@JasperCoal @CelticLife;#drowningtheshamrock #music;"395213385765109762";https://twitter.com/JasperCoal/status/395213385765109762
DaPoPoTheatre;2013-10-29 09:24;1;0;"TONIGHT 7:30 Music and moxie! Girl with the Golden Ear play reading #halifax #theatre #LiveIn2013 https://www. facebook.com/events/5650261 96880320/?ref_newsfeed_story_type=regular …";;;#halifax #theatre #LiveIn2013;"395164144770359296";https://twitter.com/DaPoPoTheatre/status/395164144770359296
___sar26;2013-10-29 08:05;0;0;"First really frosty morning in #Halifax , but #heatedseats and the music of @bretteldredge sure kept me warm on the drive to work.";;@bretteldredge;#Halifax #heatedseats;"395144351766294528";https://twitter.com/___sar26/status/395144351766294528
carbon_arc;2013-10-28 23:51;1;0;"Check out this week's newsletter: http:// mad.ly/bdbd24?o=tm #Halifax #Music #Doc #Beatles";;;#Halifax #Music #Doc #Beatles;"395020140921618432";https://twitter.com/carbon_arc/status/395020140921618432
