username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
StellaDower;2014-10-30 19:49;0;0;"@Calderdale @The_Drifters fantastic concert tonight at the Victoria theatre , Halifax . Left feeling HAPPY. pic.twitter.com/fabDBwPqWv";;@Calderdale @The_Drifters;;"527955603147472896";https://twitter.com/StellaDower/status/527955603147472896
philminnstp;2014-10-30 18:35;1;0;"Tomorrow we are in Halifax @squarechapel @squarepegco Square Peg Theatre - http:// goo.gl/alerts/BoES #GoogleAlerts";;@squarechapel @squarepegco;#GoogleAlerts;"527936898312835072";https://twitter.com/philminnstp/status/527936898312835072
ianwatkinson49;2014-10-30 10:35;0;0;"@Bellowhead Try Dirty Dick's Real Ale Emporium in Halifax , about 200 yards from the theatre . https://www. facebook.com/pages/Dirty-Di cks-Real-Ale-Emporium/247688501917672 …";;@Bellowhead;;"527816079754928130";https://twitter.com/ianwatkinson49/status/527816079754928130
hxnorthandeast;2014-10-29 11:37;3;1;"Vampires Rock set for the Victoria Theatre #halifax @VicTheatre @SSVampiresRock http:// wp.me/p1719b-661";;@VicTheatre @SSVampiresRock;#halifax;"527469289805074433";https://twitter.com/hxnorthandeast/status/527469289805074433
Nova_Scotia_Job;2014-10-28 16:45;1;0;"Assistant Theatre Manager - Cineplex Cinemas Parklane: Cineplex Entertainment LP ( Halifax ):… http:// bit.ly/1Dr9IMP #novascotia #jobs";;;#novascotia #jobs;"527184366842036224";https://twitter.com/Nova_Scotia_Job/status/527184366842036224
HalifaxJob;2014-10-28 14:51;0;0;"Assistant Theatre Manager - Cineplex Cinemas Parklane: Cineplex Entertainment LP: "About… http:// bit.ly/1Dr9IMP #halifax #jobs #ns";;;#halifax #jobs #ns;"527155684052189184";https://twitter.com/HalifaxJob/status/527155684052189184
aestevo;2014-10-28 13:47;0;0;"#noelfielding really knows how to out a show on! #hallifax @Victoria Theatre Halifax http:// instagram.com/p/utBKK2wU6w/";;@Victoria;#noelfielding #hallifax;"527139507754508288";https://twitter.com/aestevo/status/527139507754508288
mccardigan;2014-10-27 18:56;0;0;"In 20 years time will there be a poster outside Halifax Vic theatre advertising that C86 Sound? Some of the Sea Urchins, one of the Servants";;;;"526854854023856128";https://twitter.com/mccardigan/status/526854854023856128
thehitlisthfx;2014-10-27 12:42;0;1;"Secret Theatre is gearing up to present landline in Halifax /Cardiff next week! http:// fb.me/3PSviaiDb";;;;"526760857028808705";https://twitter.com/thehitlisthfx/status/526760857028808705
UtkuYeloglu;2014-10-27 12:09;0;0;"Classes at theatres ... (@Cineplex Cinemas Park Lane - @cineplexmovies in Halifax , NS) https://www. swarmapp.com/c/dCz3wLkZZBo";;@Cineplex @cineplexmovies;;"526752633986768897";https://twitter.com/UtkuYeloglu/status/526752633986768897
groovin1974;2014-10-26 19:17;0;0;"Quiet on the set. #theatre #stage #show #NeptuneTheatre #play #set #Halifax #DowntownHalifax http:// instagram.com/p/uodWcYwRgN/";;;#theatre #stage #show #NeptuneTheatre #play #set #Halifax #DowntownHalifax;"526497814483075074";https://twitter.com/groovin1974/status/526497814483075074
WSHalifax;2014-10-26 16:01;0;0;"The Victoria Theatre , Halifax http:// fb.me/1DqNA2Jo0";;;;"526448642916646912";https://twitter.com/WSHalifax/status/526448642916646912
TheReviewsHub;2014-10-26 10:52;3;0;"#THEATRE #REVIEW : United We Stand : @squarechapel : 4*s : http:// bit.ly/1tVZwN5 #Halifax pic.twitter.com/ep4524lpMb";;@squarechapel;#THEATRE #REVIEW #Halifax;"526370880155578368";https://twitter.com/TheReviewsHub/status/526370880155578368
Theatrerob;2014-10-26 08:29;1;3;"@panto_day our dress rehearsal day in Halifax @VicTheatre @Imagine_ Theatre";;@panto_day @VicTheatre @Imagine_;;"526334891248873473";https://twitter.com/Theatrerob/status/526334891248873473
KAZANTheatre;2014-10-25 21:46;0;1;"@BrooklynHalifax accepts dinner reservations with 24hrs notice. #makeanightofit #heavenaboveheavenbelow #TheWaitingRoom #Theatre #Halifax";;@BrooklynHalifax;#makeanightofit #heavenaboveheavenbelow #TheWaitingRoom #Theatre #Halifax;"526172921241534465";https://twitter.com/KAZANTheatre/status/526172921241534465
Notsosilentrobb;2014-10-24 20:11;0;0;"Went to see Noel Fielding at the Halifax Victoria Theatre tonight... The best way I can describe this… http:// instagram.com/p/ujaAfMljcF/";;;;"525786776422842370";https://twitter.com/Notsosilentrobb/status/525786776422842370
kendall_cake;2014-10-24 15:47;0;0;"We're here! 2nd row ;) paigewoodcock @Victoria Theatre Halifax http:// instagram.com/p/ui7zGdHV-W/";;@Victoria;;"525720344611790849";https://twitter.com/kendall_cake/status/525720344611790849
Joesvie;2014-10-24 15:25;0;0;"Victoria Theatre , Halifax http:// instagram.com/p/ui5MUgsghf/";;;;"525714614005538816";https://twitter.com/Joesvie/status/525714614005538816
SmartInclusion;2014-10-24 08:51;0;3;"Presenting today at ATEC Conference in Halifax in movie theatre . Great sound, great big screen, great idea #atchat pic.twitter.com/qhpxpmtFgf";;;#atchat;"525615686488715264";https://twitter.com/SmartInclusion/status/525615686488715264
artseastonline;2014-10-24 08:00;2;2;"Starting this week, Neptune Theatre in Halifax presents Norm Foster’s touching and witty drama http:// artseast.blogspot.com/2014/10/mendin g-fences.html … #HalifaxTheatre";;;#HalifaxTheatre;"525602729016963072";https://twitter.com/artseastonline/status/525602729016963072
Lucy_Lu_Bear;2014-10-24 07:03;0;0;"Seeing @noelfielding11 in Halifax . tempted to sit outside The Vic Theatre to meet him.";;@noelfielding11;;"525588285335543808";https://twitter.com/Lucy_Lu_Bear/status/525588285335543808
ACIC;2014-10-24 02:05;2;0;"Coming to you #Halifax Oct. 29 @MCCCan and @TheatreBeat Forgiven/Forgotten Theatre Production. http:// bit.ly/ZQNqqZ";;@MCCCan @TheatreBeat;#Halifax;"525513320896671744";https://twitter.com/ACIC/status/525513320896671744
BillMcKinnon875;2014-10-23 23:32;0;0;"#Neptune Theatre delivers slice of life with new show MENDING FENCES http:// metronews.ca/news/halifax/1 190079/neptune-theatre-delivers-a-slice-of-life-with-new-show-mending-fences/ … #Halifax , #NovaScotia";;;#Neptune #Halifax #NovaScotia;"525474790195617792";https://twitter.com/BillMcKinnon875/status/525474790195617792
KAZANTheatre;2014-10-23 20:51;4;2;"#TBT when #TheWaitingRoom used to be Acadian Line bus terminal. Can't wait 4 the #Halifax #Theatre community to see! pic.twitter.com/JFPLtEOzwu";;;#TBT #TheWaitingRoom #Halifax #Theatre;"525434263660167168";https://twitter.com/KAZANTheatre/status/525434263660167168
CircleLoungeHX1;2014-10-23 19:24;0;0;"@noelfielding11 if your coming over to Halifax tonight and fancy a drink on us?we are directly next to the theatre and open till 1.00am";;@noelfielding11;;"525412430592364544";https://twitter.com/CircleLoungeHX1/status/525412430592364544
JobsHalifax1;2014-10-23 17:10;0;0;"Singing Teacher – Stagecoach Theatre Arts – Halifax http:// dlvr.it/7J58Kz Job Halifax";;;;"525378660073996288";https://twitter.com/JobsHalifax1/status/525378660073996288
JobsHalifax1;2014-10-23 17:10;0;0;"Drama Teacher – Stagecoach Theatre Arts – Halifax http:// dlvr.it/7J5Cvh Job Halifax";;;;"525378657364484098";https://twitter.com/JobsHalifax1/status/525378657364484098
JobsHalifax1;2014-10-23 17:10;0;0;"Dance Teacher – Stagecoach Theatre Arts – Halifax http:// dlvr.it/7J58c9 Job Halifax";;;;"525378654659149824";https://twitter.com/JobsHalifax1/status/525378654659149824
billyfurystory1;2014-10-23 15:00;0;0;"♫ Who's Coming?: Halifax , Canada - Nov 20 at Victoria Theatre http://www. bandsintown.com/event/7861316? artist=The+Billy+Fury+Story+Fanclub&came_from=96 …";;;;"525346058575290368";https://twitter.com/billyfurystory1/status/525346058575290368
Halifax_Music;2014-10-23 13:10;0;0;"[LISTING] Moist November 7th at Schooner Showoom Theatre #halifax #music http:// ow.ly/Dcn1h";;;#halifax #music;"525318417700904960";https://twitter.com/Halifax_Music/status/525318417700904960
LoopyHoops;2014-10-23 12:29;0;0;"Noel Fielding Tickets @Victoria Theatre , Halifax http://www. ents24.com/halifax-events /victoria-theatre/noel-fielding/3776839 … #ents24 #tourdates via @ents24";;@Victoria @ents24;#ents24 #tourdates;"525308099188383745";https://twitter.com/LoopyHoops/status/525308099188383745
JLCronshaw;2014-10-23 11:39;5;3;"My interview with #Halifax -born playwright @Adam_Zed about his chilling play Conscientious will be in tomorrow's @HxCourier My Week #theatre";;@Adam_Zed @HxCourier;#Halifax #theatre;"525295377122340864";https://twitter.com/JLCronshaw/status/525295377122340864
DartmouthKate;2014-10-23 09:49;2;2;"Loved being in a room full of engaged and engaging theatre artists.Thanks for hosting #Colloquium , @2btheatre ! #ArtsMatter #Halifax";;@2btheatre;#Colloquium #ArtsMatter #Halifax;"525267694934065152";https://twitter.com/DartmouthKate/status/525267694934065152
