username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Sasafrazao;2015-10-30 20:51;0;0;"E domingo tem boliche no pier21";;;;"660242723954364416";https://twitter.com/Sasafrazao/status/660242723954364416
amandamakeovers;2015-10-30 20:43;0;0;"Celebrating our anniversary tonight. luv you baby! robertryanphoto @Olympia Grill at Pier 21 https:// instagram.com/p/9ewijkG4Dw/";;@Olympia;;"660240627687387136";https://twitter.com/amandamakeovers/status/660240627687387136
Pier21;2015-10-30 19:35;0;0;"Ever wonder what types of sources historians encounter when they research and write about history? http:// ow.ly/U2AkK";;;;"660223470228381696";https://twitter.com/Pier21/status/660223470228381696
nathaliesouza8;2015-10-30 19:02;0;0;"saudade dos rolê no pier 21";;;;"660215118081490944";https://twitter.com/nathaliesouza8/status/660215118081490944
gabrieluesc;2015-10-30 16:28;0;0;"Aquele momento que você se prepara pra fazer um strike... mas não faz. @Shopping Pier 21 https:// instagram.com/p/9eTUSisjKQ/";;@Shopping;;"660176382207635457";https://twitter.com/gabrieluesc/status/660176382207635457
littleladylucky;2015-10-30 13:33;0;0;"Meu irmão fingindo que me ama. Hahaha @Outback Steakhouse Shopping Pier 21 https:// instagram.com/p/9d_VVNm2fLAn paF0WkHWq3lVXgVKW-Si-bUss0/ …";;@Outback;;"660132427071795200";https://twitter.com/littleladylucky/status/660132427071795200
MamalinPrincess;2015-10-30 10:38;0;0;"ผู้หญิงคนนี้... #จัดหนัก มือเย็นตลอด #หอยทอด #ก๋วยจั๊บ @Pier 21 Terminal… https:// instagram.com/p/9drS-DS20xvn lOEqoixgrAozKADfa7JMTxMS40/ …";;@Pier;# # #;"660088367950856192";https://twitter.com/MamalinPrincess/status/660088367950856192
mysticolive_;2015-10-30 08:44;0;0;"กิน กิน กิน (@Pier 21 in Vadhana, Bangkok) https://www. swarmapp.com/c/b2t8ty9ekE2";;@Pier;;"660059666328723460";https://twitter.com/mysticolive_/status/660059666328723460
letitbeatles;2015-10-30 08:36;0;0;"Este é um pequeno trecho do que vai rolar no dia 10 de novembro no Luz, Câmera, Canção no Cinemark Pier 21 , um... http:// fb.me/4gcJeOcOr";;;;"660057689612017664";https://twitter.com/letitbeatles/status/660057689612017664
WestinNS;2015-10-30 08:29;5;4;"#TGIF ! It's going to be a beautiful fall day! @Pier21 @HfxSeaportMrkt @nswebcams @elementshollis @portofhalifax pic.twitter.com/xqjGxqwVp4";;@Pier21 @HfxSeaportMrkt @nswebcams @elementshollis @portofhalifax;#TGIF;"660055872794660864";https://twitter.com/WestinNS/status/660055872794660864
Pier21;2015-10-30 08:21;0;0;"MT @farmfreshstyle : #tbt to Sunday when I hung out with my family at #pier21 in Halifax. http://www. farmfreshstyle.ca /";;@farmfreshstyle;#tbt #pier21;"660053804889579524";https://twitter.com/Pier21/status/660053804889579524
zaynsrules;2015-10-30 05:46;0;0;"Queria ir no outback lá do píer 21";;;;"660014837523750912";https://twitter.com/zaynsrules/status/660014837523750912
borabow;2015-10-30 01:53;0;0;"เมื่อกี๊ไม่รู้เป็นไง แต่ตอนนี้มีชัยใน foodcourt war! (@Pier 21 in Vadhana, Bangkok) https://www. swarmapp.com/c/3Sl4eRKweeI";;@Pier;;"659956313858904064";https://twitter.com/borabow/status/659956313858904064
fandy7aveiro;2015-10-30 01:18;1;1;"#FoodCourt Pier21 #Bangkok @Pier 21 Terminal Food Court /เทอร์มินอล21 https:// instagram.com/p/9crQT4h5w9/";;@Pier;#FoodCourt #Bangkok;"659947538284326916";https://twitter.com/fandy7aveiro/status/659947538284326916
fandy7aveiro;2015-10-30 00:28;1;1;"#SweetMango #MangoThai #Coconut #EsCream @Pier 21 @Terminal 21 Asoke https:// instagram.com/p/9cleWGh55F/";;@Pier @Terminal;#SweetMango #MangoThai #Coconut #EsCream;"659934834022682624";https://twitter.com/fandy7aveiro/status/659934834022682624
_eddiealmeida;2015-10-29 22:22;0;0;"#tbt com meu lindinho mais chatinho de todos @Pier 21 https:// instagram.com/p/9cXCOJyq4FIS nmB2RchPpSXtWfCEiHyEhONlg0/ …";;@Pier;#tbt;"659903066737627137";https://twitter.com/_eddiealmeida/status/659903066737627137
farmfreshstyle;2015-10-29 20:22;0;0;"#tbt to Sunday when I hung out with my family at #pier21 in Halifax. Blog is up, link in profile! https:// instagram.com/p/9cJVLzpJ_u/";;;#tbt #pier21;"659872938158485506";https://twitter.com/farmfreshstyle/status/659872938158485506
gangstazinha;2015-10-29 20:19;0;0;"Achei só ia ter os gangsta assistindo, ai lembrei q tava no pier 21";;;;"659872297214459905";https://twitter.com/gangstazinha/status/659872297214459905
halifaxca1;2015-10-29 15:28;0;0;"Junior Researcher - Canadian Museum of Immigration at Pier 21 - Halifax, NS http:// goo.gl/fb/eI366m Job Halifax CA";;;;"659799030273286145";https://twitter.com/halifaxca1/status/659799030273286145
PaulPHJones;2015-10-29 12:56;0;0;"Ships are far more cost effective. Original (if old) thinking bears dividends for party in publicity. Sentimental: Pier 21 reminiscence.";;;;"659760746142765056";https://twitter.com/PaulPHJones/status/659760746142765056
oltomsayer;2015-10-29 12:54;0;0;"Noodle bowls with TJ and Des at pier 21 before gold medal plates https:// instagram.com/p/9bWGG1SMCT/";;;;"659760264548585472";https://twitter.com/oltomsayer/status/659760264548585472
