username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
DalPres;2016-04-29 20:20;0;3;"Squid performing at lobster dinner @Pier21 for Cdn Univ Board Assoc pic.twitter.com/QYoMt265UT";;@Pier21;;"726189457750241280";https://twitter.com/DalPres/status/726189457750241280
Rangel_a7x;2016-04-29 19:35;0;1;"O cenário do dvd da @bellinsks parece o do boliche do pier 21";;@bellinsks;;"726178015667970049";https://twitter.com/Rangel_a7x/status/726178015667970049
Green_Goblin_;2016-04-29 19:16;0;0;"uma coisa que disse no pier 21 sempre vai assombrar mas agora que plut plaft zum Isso não vai me levar a lugar nenhum";;;;"726173278943977472";https://twitter.com/Green_Goblin_/status/726173278943977472
RickPalmeiras;2016-04-29 18:10;0;0;"Vamos de Guerra Civil ! #timeironman #timehomemdeferro #spider @Cinemark - Pier 21 - Sala XD 3D https://www. instagram.com/p/BEzHrQnvjiH/";;@Cinemark;#timeironman #timehomemdeferro #spider;"726156649132597248";https://twitter.com/RickPalmeiras/status/726156649132597248
Pier21Brasilia;2016-04-29 18:00;0;0;"Dia 8 de março, na praça de alimentação do Pier 21 , a partir das 16h, apresentamos junto com o Festival Móveis... http:// fb.me/19YWuMfQI";;;;"726154092180070400";https://twitter.com/Pier21Brasilia/status/726154092180070400
Cynthia_Hinode;2016-04-29 15:45;0;0;"#FeiraDaLua no Pier 21 e a #Hinode está presente com excelentes opções para você presentear a… https://www. instagram.com/p/BEy3IVZk42o/";;;#FeiraDaLua #Hinode;"726120270969217024";https://twitter.com/Cynthia_Hinode/status/726120270969217024
Pier21Galveston;2016-04-29 15:35;0;0;"See both Tall Ship and Cruise Ship at Pier 21 ! #Pier21 http:// fb.me/7kD33HHp9";;;#Pier21;"726117703325343744";https://twitter.com/Pier21Galveston/status/726117703325343744
Pier21Brasilia;2016-04-29 15:00;0;0;"DIA DAS MÃES @zinzane_brasil: Os vestidos que elas vão amar! Confira aqui no Pier 21 . #AGenteSeEncontra #Pier21 ... http:// fb.me/7PyS4H0Ie";;@zinzane_brasil;#AGenteSeEncontra #Pier21;"726108950655983616";https://twitter.com/Pier21Brasilia/status/726108950655983616
Pier21Brasilia;2016-04-29 15:00;0;0;"DIA DAS MÃES Zinzane Brasil: Os vestidos que elas vão amar! Confira aqui no Pier 21 . #AGenteSeEncontra #Pier21 ... http:// fb.me/7QSSHhSpO";;;#AGenteSeEncontra #Pier21;"726108796767076352";https://twitter.com/Pier21Brasilia/status/726108796767076352
Pier21;2016-04-29 14:49;0;0;"We had a great visit with the students of @whecavrsb https:// twitter.com/whecavrsb/stat us/726010727010586624 …";;@whecavrsb;;"726106124123037696";https://twitter.com/Pier21/status/726106124123037696
