username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
twisterdeva;2016-04-29 17:07;0;1;"@Na0sGlass @WendyHogarth i only have to wory about the horned viper on the citadel hill .they dont come down";;@Na0sGlass @WendyHogarth;;"726140776934203392";https://twitter.com/twisterdeva/status/726140776934203392
affabletoaster;2016-04-29 16:36;0;0;"Spring comes to Halifax. #citadelhill https://www. instagram.com/p/BEy89TGJTWf/";;;#citadelhill;"726133077748146176";https://twitter.com/affabletoaster/status/726133077748146176
GC_Concordes;2016-04-29 14:25;4;9;"Beauty day at Citadel Hill !! #GContour pic.twitter.com/P1JfELlNLO";;;#GContour;"726100159873036288";https://twitter.com/GC_Concordes/status/726100159873036288
HalifaxReTales;2016-04-29 13:22;3;8;"reading the awesome Open City (Next Saturday) list this 1 jumped out 1st 100 visitors get to fire a musket at Citadel Hill ! @ILOVELOCALHFX";;@ILOVELOCALHFX;;"726084288760942592";https://twitter.com/HalifaxReTales/status/726084288760942592
m_brand;2016-04-29 10:30;0;0;"@Hooberbloob @ocj3 @krisp131 I'm thinking right on top of citadel hill";;@Hooberbloob @ocj3 @krisp131;;"726040948535234560";https://twitter.com/m_brand/status/726040948535234560
m_brand;2016-04-29 09:50;0;0;"Citadel Hill , the Halifax Commons, the Hyrdostone, Point Pleasant Park, Halifax Central Library, great monthly payments on a Honda Civic";;;;"726030788525875200";https://twitter.com/m_brand/status/726030788525875200
Mr_Cummiskey;2016-04-28 20:28;0;0;"Citadel Hill 90210 #HalifaxSitcom";;;#HalifaxSitcom;"725829167510634501";https://twitter.com/Mr_Cummiskey/status/725829167510634501
lauriemichelle7;2016-04-28 19:50;0;0;"King of The Citadel Hill #HalifaxSitcom";;;#HalifaxSitcom;"725819456874811393";https://twitter.com/lauriemichelle7/status/725819456874811393
mylifeinthesunn;2016-04-28 15:00;0;1;"Parks Canada Ghost Tour of Citadel Hill http:// is.gd/wa8Qzt";;;;"725746412525223936";https://twitter.com/mylifeinthesunn/status/725746412525223936
hgmackinnon;2016-04-28 01:55;0;1;"#HalifaxSitcom @haligonia King of the Citadel Hill pic.twitter.com/IQGGMwzSVe";;@haligonia;#HalifaxSitcom;"725548865127112705";https://twitter.com/hgmackinnon/status/725548865127112705
battisctv;2016-04-27 21:31;0;0;"@HalifaxReTales @haligonia Citadel Hill Street Blues";;@HalifaxReTales @haligonia;;"725482556116897793";https://twitter.com/battisctv/status/725482556116897793
jareddent1;2016-04-27 21:25;0;0;"@HalifaxTrivia king of the Citadel Hill #halifaxsitcom";;@HalifaxTrivia;#halifaxsitcom;"725480993365303297";https://twitter.com/jareddent1/status/725480993365303297
miminegash;2016-04-27 21:10;0;0;"King of the Citadel Hill #halifaxsitcom";;;#halifaxsitcom;"725477269033070592";https://twitter.com/miminegash/status/725477269033070592
