username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
AitkensPew;2013-10-30 14:32;0;0;"The #PeggysCove Lighthouse, near #Halifax , is one of the most popular tourist attractions in #NovaScotia . http:// ow.ly/qkixe";;;#PeggysCove #Halifax #NovaScotia;"395604070893125632";https://twitter.com/AitkensPew/status/395604070893125632
MikeyTheVee;2013-10-30 06:52;0;0;"Can't wait until our next adventure! #vscocam #photography #peggyscove #canada #latergram #travel http:// instagram.com/p/gFk5sDhfXt/";;;#vscocam #photography #peggyscove #canada #latergram #travel;"395488408321417216";https://twitter.com/MikeyTheVee/status/395488408321417216
MikeyTheHero;2013-10-29 16:56;1;1;"Peggy's Cove. Absolutely beautiful #loop #nature #Atlantic #Halifax #peggyscove #revine https:// vine.co/v/hDvmbTLOVrL";;;#loop #nature #Atlantic #Halifax #peggyscove #revine;"395278036331139072";https://twitter.com/MikeyTheHero/status/395278036331139072
danicadean07;2013-10-29 12:59;0;0;"Peggys cove @Peggys Point Lighthouse http:// instagram.com/p/gDqSo7xfIF/";;@Peggys;;"395218353541111809";https://twitter.com/danicadean07/status/395218353541111809
groovin1974;2013-10-28 12:03;0;0;"#PeggysCove #NovaScotia on a #foggy day http:// instagram.com/p/gA-LEQwRvM/";;;#PeggysCove #NovaScotia #foggy;"394841831844098048";https://twitter.com/groovin1974/status/394841831844098048
JeepToursNS;2013-10-28 10:50;1;0;"On tour with #german family visiting #Halifax enjoying the sites around #peggyscove @aida_de Abella pic.twitter.com/NfhPb0B3op";;@aida_de;#german #Halifax #peggyscove;"394823535681888256";https://twitter.com/JeepToursNS/status/394823535681888256
sharileephoto;2013-10-28 03:43;0;0;"I fell in love with the east coast. #vscocam #iphone #sky #sunset #peggyscove #novascotia #canada … http:// instagram.com/p/gAFmcnB-nM/";;;#vscocam #iphone #sky #sunset #peggyscove #novascotia #canada;"394715964685967360";https://twitter.com/sharileephoto/status/394715964685967360
maggieframpton;2013-10-27 17:10;0;0;"Mission accomplished today! #vintageshopping #peggyscove #ocean #beet jengetsaround @Halifax… http:// instagram.com/p/f-9RKIlmYX/";;@Halifax;#vintageshopping #peggyscove #ocean #beet;"394556732099133440";https://twitter.com/maggieframpton/status/394556732099133440
dxvidbxwie_;2013-10-27 10:12;1;0;"#PeggysCove is beautiful pic.twitter.com/4LisbDZKeh";;;#PeggysCove;"394451594852712448";https://twitter.com/dxvidbxwie_/status/394451594852712448
hikingtours;2013-10-27 09:07;7;1;"#travel piece in the #Calgary Herald about #peggyscove and our #hiking tour that we provide in the area http://www. calgaryherald.com/travel/your+Na na+Peggy+Cove/9083641/story.html … Please RT";;;#travel #Calgary #peggyscove #hiking;"394435102643458048";https://twitter.com/hikingtours/status/394435102643458048
Warrener21;2013-10-27 00:35;0;0;"#peggyscove #halifax #novascotia #pretty #water #rocks #throwers http:// instagram.com/p/f9Lh5NmMzS/";;;#peggyscove #halifax #novascotia #pretty #water #rocks #throwers;"394306444381921280";https://twitter.com/Warrener21/status/394306444381921280
Joevechkin87;2013-10-26 17:23;0;0;"#peggyscove http:// instagram.com/p/f8aIWnKFlw/";;;#peggyscove;"394197664281395200";https://twitter.com/Joevechkin87/status/394197664281395200
OneELDesigns;2013-10-26 16:16;0;0;"LIGHTHOUSE #Peggyscove near#Halifax in #Novascotia by OneELPhotography http:// etsy.me/1hiPjBh via @Etsy #Lighthouse #photography";;@Etsy;#Peggyscove #Halifax #Novascotia #Lighthouse #photography;"394180723743014912";https://twitter.com/OneELDesigns/status/394180723743014912
nswebcams;2013-10-26 12:39;2;0;"Awesome shout out from #PeggysCove ! Get well soon, Michelle! #nswebcams pic.twitter.com/AMlLJLH9ea";;;#PeggysCove #nswebcams;"394126088462696448";https://twitter.com/nswebcams/status/394126088462696448
AitkensPew;2013-10-26 12:30;1;0;"The #PeggysCove Lighthouse, near #Halifax , is one of the most popular tourist attractions in #NovaScotia . http:// ow.ly/qclaZ";;;#PeggysCove #Halifax #NovaScotia;"394123879402467328";https://twitter.com/AitkensPew/status/394123879402467328
Warrener21;2013-10-26 11:57;0;0;"Leaving the nish and re-entering civilization for the first time in two months! #halifaxbound #peggyscove @hannahpollock @HaileyPollock";;@hannahpollock @HaileyPollock;#halifaxbound #peggyscove;"394115529793089537";https://twitter.com/Warrener21/status/394115529793089537
ilCanadese;2013-10-26 03:56;0;0;"Buon sabato con http://www. ilcanadese.it ! (nella foto Peggys Cove , Nova Scotia) http:// fb.me/6pQH3YROY";;;;"393994436507860992";https://twitter.com/ilCanadese/status/393994436507860992
Justpgal;2013-10-25 20:41;1;0;"Ok @rhubarb_resto that's was the best Kale/Caesar I have ever had! #foodie #delish @OceanstoneNS #peggyscove #novascotia";;@rhubarb_resto @OceanstoneNS;#foodie #delish #peggyscove #novascotia;"393884945049214976";https://twitter.com/Justpgal/status/393884945049214976
dxvidbxwie_;2013-10-25 20:36;0;0;"#PeggysCove is absolutely beautiful! #NovaScotia";;;#PeggysCove #NovaScotia;"393883868824367104";https://twitter.com/dxvidbxwie_/status/393883868824367104
jeffpatey;2013-10-25 16:15;0;0;"Peggy's cove! #novascotia #peggyscove #feelslikehome http:// instagram.com/p/f5to3mPKft/";;;#novascotia #peggyscove #feelslikehome;"393818186095005696";https://twitter.com/jeffpatey/status/393818186095005696
Justpgal;2013-10-25 15:16;1;1;"My view for the next few days! @OceanstoneNS @Jeanne_Beker #peggyscove #novascotia #JBWomensWknd #oceanside pic.twitter.com/YQcmpZqtNd";;@OceanstoneNS @Jeanne_Beker;#peggyscove #novascotia #JBWomensWknd #oceanside;"393803292083757056";https://twitter.com/Justpgal/status/393803292083757056
laydeepink21;2013-10-25 12:11;0;0;"Peggy's Cove (Nova Scotia) #peggyscove #canada #lighthouse #famous #beautifulday http:// instagram.com/p/f5RgS6FZdy/";;;#peggyscove #canada #lighthouse #famous #beautifulday;"393756799192805377";https://twitter.com/laydeepink21/status/393756799192805377
hcgrhm;2013-10-25 09:59;2;3;"Baby I will get you wetter than the rocks in peggys cove #halifaxpickuplines";;;#halifaxpickuplines;"393723470175289344";https://twitter.com/hcgrhm/status/393723470175289344
