username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jastoff;2017-10-29 17:21;0;1;"#halifaxpublicgardens #novascotia #Halifax @Halifax Public Gardens https://www. instagram.com/p/Ba2FsSSBNRv/";;@Halifax;#halifaxpublicgardens #novascotia #Halifax;"924732898565124101";https://twitter.com/jastoff/status/924732898565124101
jastoff;2017-10-29 17:20;0;0;"#halifaxpublicgardens #halifax #novascotia @Halifax Public Gardens https://www. instagram.com/p/Ba2Fn4Ah_ii/";;@Halifax;#halifaxpublicgardens #halifax #novascotia;"924732744671858693";https://twitter.com/jastoff/status/924732744671858693
jastoff;2017-10-29 17:19;0;0;"#halifaxpublicgardens #halifax #novascotia @Halifax Public Gardens https://www. instagram.com/p/Ba2Ffmvhpls/";;@Halifax;#halifaxpublicgardens #halifax #novascotia;"924732468292399111";https://twitter.com/jastoff/status/924732468292399111
jastoff;2017-10-29 17:18;0;0;"#halifaxpublicgardens #halifax #novascotia @Halifax Public Gardens https://www. instagram.com/p/Ba2FZ35BkXx/";;@Halifax;#halifaxpublicgardens #halifax #novascotia;"924732264604471296";https://twitter.com/jastoff/status/924732264604471296
jastoff;2017-10-29 17:18;0;0;"#roses #halifaxpublicgardens #halifax #novascotia @Halifax Public Gardens https://www. instagram.com/p/Ba2FUppBOiJ/";;@Halifax;#roses #halifaxpublicgardens #halifax #novascotia;"924732086501621760";https://twitter.com/jastoff/status/924732086501621760
jastoff;2017-10-29 17:16;0;0;"#halifax #publicgardens #novascotia #daliaflower @Halifax Public Gardens https://www. instagram.com/p/Ba2FMjLBjQu/";;@Halifax;#halifax #publicgardens #novascotia #daliaflower;"924731814064697344";https://twitter.com/jastoff/status/924731814064697344
culinarychase;2017-10-29 13:21;0;0;"One hand missing? No problem, stick a gourd on it. @Halifax Public Gardens https://www. instagram.com/p/Ba1qTBngZLo/";;@Halifax;;"924672648793264130";https://twitter.com/culinarychase/status/924672648793264130
FloreatTravel;2017-10-27 08:22;0;1;"Loving Di’s exquisite photos from Halifax Public Gardens ! The flowers are so vibrant! #Insightmoments #Halifax #Canada #Travel #Travelagent #Supportlocal #floreatworldoftravel pic.twitter.com/dJLIDOhIBs";;;#Insightmoments #Halifax #Canada #Travel #Travelagent #Supportlocal #floreatworldoftravel;"923872610240274433";https://twitter.com/FloreatTravel/status/923872610240274433
SpringGardenRd;2017-10-26 09:54;3;11;"We never get tired of this painting! #springgardenarea #lordnelsonhotel #publicgardens #halifaxpublicgardens #halifax @LordNelsonHotel pic.twitter.com/K5Ff1apZiI";;@LordNelsonHotel;#springgardenarea #lordnelsonhotel #publicgardens #halifaxpublicgardens #halifax;"923533235300298753";https://twitter.com/SpringGardenRd/status/923533235300298753
TheRogue1633;2017-10-25 23:39;0;1;"Home of the fae #halifax #novascotia @Halifax Public Gardens https://www. instagram.com/p/Basd0Jkj6x_/";;@Halifax;#halifax #novascotia;"923378570260443136";https://twitter.com/TheRogue1633/status/923378570260443136
