username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
travel_version;2013-10-30 19:58;0;0;"Halifax minus 1 day. Better hide your lobster. #eatallthelobster";;;#eatallthelobster;"395686193397911552";https://twitter.com/travel_version/status/395686193397911552
HFXRadioMarketr;2013-10-30 14:32;0;0;"Planning a trip this winter? #Halifax WIN $250 TRAVEL VOUCHER Click link to qualify - http:// ow.ly/pxzPx";;;#Halifax;"395604085627707392";https://twitter.com/HFXRadioMarketr/status/395604085627707392
TravelBugBuzz;2013-10-30 14:32;0;0;"Planning a trip this winter? #Halifax WIN $250 TRAVEL VOUCHER Click link to qualify - http:// ow.ly/pxzPx";;;#Halifax;"395604070867947521";https://twitter.com/TravelBugBuzz/status/395604070867947521
NACCAP;2013-10-30 10:35;0;0;"Finishing off the main part of travel season in Halifax and Las Vegas! #youmadeit #welcomehome";;;#youmadeit #welcomehome;"395544597197516800";https://twitter.com/NACCAP/status/395544597197516800
CLLC_Canada;2013-10-30 09:09;0;0;"Do you like travel ? You can travel our home 3 cities by Via Rail Canada. Halifax - Ottawa - Toronto. :) pic.twitter.com/ZRMunxgtPo";;;;"395522762187747328";https://twitter.com/CLLC_Canada/status/395522762187747328
SylliboyJohnR;2013-10-30 07:44;0;0;"Home in @Halifax _Canada - no air travel now until Dec.13 #noairmiles #grounded #RedEye #fabster";;@Halifax;#noairmiles #grounded #RedEye #fabster;"395501378602557440";https://twitter.com/SylliboyJohnR/status/395501378602557440
HMKennedy64;2013-10-29 19:39;0;0;"I have some HOT TRAVEL DEALS departing from Halifax ! Contact ME for more info & prices!!! http:// fb.me/1PKNLtE5P";;;;"395318954761003008";https://twitter.com/HMKennedy64/status/395318954761003008
PulpedTravel;2013-10-29 15:37;0;0;"Go @Welcome2Yorks http://www. theguardian.com/travel/2013/oc t/29/yorkshire-third-best-region-in-the-world-2014-lonely-planet … … http://www.rou ghguidetoalonelyplanet.blogspot.co.uk #TTOT #Travel #Yorkshire #Leeds #Halifax #Hull #Bradford #Sheffield #North";;@Welcome2Yorks;#TTOT #Travel #Yorkshire #Leeds #Halifax #Hull #Bradford #Sheffield #North;"395258053689606145";https://twitter.com/PulpedTravel/status/395258053689606145
hfxnovascotia;2013-10-29 15:13;2;0;"Super! RT @GillianWesleyNS : #Halifax interactive eBook listed as New & Noteable in @iTunes right now! #ttot #travel http:// thelocaltravelerns.com/ebook/";;@GillianWesleyNS @iTunes;#Halifax #ttot #travel;"395252145001619456";https://twitter.com/hfxnovascotia/status/395252145001619456
GillianWesleyNS;2013-10-29 15:11;1;1;"Local Traveler Guide to #Halifax interactive eBook is listed as New & Noteable in @iTunes right now! #ttot #travel http:// thelocaltravelerns.com/ebook/";;@iTunes;#Halifax #ttot #travel;"395251659552477184";https://twitter.com/GillianWesleyNS/status/395251659552477184
ebookPR;2013-10-29 14:29;0;0;"Fisherman's Cove, outside Halifax - the place to be, if you travel to Nova Scotia, Canada http:// bit.ly/18pVyBK";;;;"395240875145846784";https://twitter.com/ebookPR/status/395240875145846784
MeritTravelHFX;2013-10-29 13:07;1;0;"We love exculsive deals! Book your trip to #Burma before Nov 30 for travel in 2014 & score 25% off on Tucan trips! Only here in #Halifax !";;;#Burma #Halifax;"395220418698960896";https://twitter.com/MeritTravelHFX/status/395220418698960896
CheapOairCA;2013-10-29 12:03;1;0;"Top Three Things to do in #Halifax on a Rainy Day http:// po.st/Fi19tS via @CailinONeil #travel";;@CailinONeil;#Halifax #travel;"395204336793698304";https://twitter.com/CheapOairCA/status/395204336793698304
ElectaGraham;2013-10-29 09:02;14;3;"BLOOD AND LOSS starts in #halifax and travels to #Vancouver chock full of vampires witches and werewolves in-between. http:// viewBook.at/B0082ZQF8Q";;;#halifax #Vancouver;"395158726421663744";https://twitter.com/ElectaGraham/status/395158726421663744
careerbacon;2013-10-29 06:41;0;0;"#novascotia Homebased Sales Travel Professional: Independent Travel Experts - Halifax , NS - Homebased Sales Tr... http:// tinyurl.com/l7mbhqs";;;#novascotia;"395123198108254208";https://twitter.com/careerbacon/status/395123198108254208
careerbacon;2013-10-29 06:41;0;0;"#novascotia Homebased Sales Travel Professional: Independent Travel Experts - Halifax , NS - Homebased Sales Tr... http:// tinyurl.com/lnvusm9";;;#novascotia;"395123194517921792";https://twitter.com/careerbacon/status/395123194517921792
