text,Sentiment,Score
"b'Halifax Jazz Festival Announces \\u201cTales of a Charlie Brown Christmas,\\u201d featuring Jerry Granelli, December 4, 2016 ... pic.twitter.com/use1hzw3sY'",negative,-0.010817307692307692
b'Halifax all city music is happy to be hosting an NS band association event today. Jazz clinic for jazz educators ! pic.twitter.com/ZzlcJgSSyv',positive,0.07369791666666667
"b'Sp\\xe9cialiste - S\\xe9curit\\xe9 et Sant\\xe9 au travail \\xe0 Halifax , NS pour Jazz Aviation http:// jobx.ca/MXhjw0'",negative,-0.00015024038461538462
"b'Occupational Safety & Health Specialist - Jazz Aviation LP - Halifax , NS https:// goo.gl/fb/axr97t Job Halifax CA'",positive,0.022259303501674106
"b'Jazz Aviation LP: Crew Pay Auditor ( Halifax , Nova Scotia, Canada) http://www. jobs.as/job/14864906/c rew-pay-auditor/ \\u2026'",negative,-0.002403846153846154
"b'Crew Pay Auditor - Jazz Aviation LP - Halifax , NS https:// goo.gl/fb/kDgNpr Job Halifax CA'",negative,-0.012086134690504808
"b'V\\xe9rificateur - Paie des \\xe9quipages \\xe0 Halifax , NS pour Jazz Aviation http:// jobx.ca/MWWT6D'",positive,0.005045572916666667
"b'Crew Pay Auditor in Halifax , NS for Jazz Airline http:// jobx.ca/MWWP6Q'",negative,-0.003472222222222222
"b'V\\xe9rificateur - Paie des \\xe9quipages \\xe0 Halifax , NS pour Jazz Aviation http:// jobx.ca/MWWP5D'",positive,0.005045572916666667
"b'V\\xe9rificateur - Paie des \\xe9quipages \\xe0 Halifax , NS pour Jazz Aviation http:// jobx.ca/MWWNys'",positive,0.005045572916666667
b'SAVE THE DATE : DEC 4 \\u2014 SAVE THE DATE From @hfxjazzfest \\u2014 Halifax Jazz Festival Announces \\u2026 http:// ift.tt/2eLmYIg pic.twitter.com/nr0FXD4V8l',positive,0.008413461538461538
b'@J_JAM_MUSIC @al Resk@jazz @blues@Halifax @cuts@Noreast barber@camps',positive,0.014941406974639904
b'Playing some #jazz at @TheCompanyHouse with my quintet @BlueSpiritsJazz tonight. Grooves start at 9:30. #halifax',positive,0.011495050456788804
b'@jazz _dancewear @AudSpencerDance @UKSmallBizRT @AwardingWomen #yorkshireis #design #doncasterisgreat #barnsleyisbrill #Halifax #holmfirth pic.twitter.com/aw5hS7pNhC',positive,0.005452473958333333
"b""Some great #mused Jazz PD is coming to Halifax . Be sure to register to save your spot! @NSBandAssoc thanks for hosting! Can't wait. pic.twitter.com/GlaHwdx9Ku""",positive,0.042924905300140384
"b'Maritimes tour starts tomorrow in Fredericton! Stoked! @CapitalComplex , @HalifaxPopX , @Jazz _Guys (Fredericton, Halifax , Sackville & more)'",positive,0.003605769230769231
b'Looking forward to hearing @willempaynter Wed eve at @ObladeeWineBar Jazz in Halifax ! Almost as good as @cbcr2tonic and @tcjglobal',positive,0.06120147154881404
b'Jazz Dancewear @jazz _dancewear @AudSpencerDance @AwardingWomen @UKSmallBizRT #Wakefieldhour #business #uksmallbizrt #RT #Leeds #Halifax pic.twitter.com/zgAlewXNwJ',positive,0.010602678571428572
b'At @TheCompanyHouse right now with @BlueSpiritsJazz! Special guest Andrew Jackson joining us on trombone! Get here! #jazz #halifax',positive,0.009033203125
"b'Jazz , Thursdays 6pm-10pm AT, on CFEP 105.9 FM #Halifax NS Canada, Bell 750, Eastlink 952, & http:// SeasideFM.com'",positive,0.005533854166666667
b'At @TheCompanyHouse tomorrow nite (Thurs) 9:30PM playing some great jazz tunes with special guest trombonist Andrew Jackson! #Halifax #jazz',positive,0.02838547428448995
b'@jazz _dancewear @AudSpencerDance #Ballerina #ballet #bespoke #tutus #dancer #Wakefield #Huddersfield #leeds #barnsley #Halifax #RT #gift pic.twitter.com/N2mu7p6JZq',positive,0.013671875
b'http://www. metronews.ca/news/halifax/2 016/10/09/halifax-heroes-john-bogardus-passion-making-music-accessible.html \\u2026 I think so highly of the Halifax Music Co-op that I joined - playing keyboard in a beginner jazz group.',positive,0.059134408831596375
b'Join us for The Art of JAZZ with LONGINEU PARSONS at the HALIFAX PLANTATION this Sat. 10/15 at 6pm dinner & concert. Tkts. 386-225-4394 pic.twitter.com/fqf4llxjer',positive,0.014322916666666666
b'Retweeted Halifax _Police ( @HfxRegPolice ): Having a little fun with jazz hands and a very enthusiastic group.... http:// fb.me/ZeaC7lEE',positive,0.032389322916666664
"b""If you're in #Halifax and you're into #jazz , check this out next Wednesday. It's going to be a great evening! http:// thehmc.ca/store/concert- tickets/25-vesuvius-big-band-presents-three-shades-of-dark.html \\u2026""",positive,0.05049128478011963
b'My jazz 5tet @BlueSpiritsJazz is playing @TheCompanyHouse tonight with special guest Silvio Pupo!! 9:30-11:30. $8 or PWYC. #Halifax #jazz',positive,0.01532458571287302
"b""Hit @TheCompanyHouse tomorrow night for live #jazz ! We're kicking off our Oct residency with special guest Silvio Pupo on keys!! #Halifax""",positive,0.020979817708333334
b'At @TheCompanyHouse every Thurs nite in October! 1st show on the 6th will be killer! The great Silvio Pupo joins us on keys! #jazz #halifax',positive,0.003605769230769231
b'Ballet tutu aged 12-14 years @jazz _dancewear @UKSmallBizRT @AudSpencerDance #womaninbiz #barnsleyisbrill #wonderfulwakey #Halifax #ballet pic.twitter.com/c8e1OKy0Il',positive,0.018028846153846152
b'Jazz band time! The Halifax Music Co-op is now my second home. Rehearsals three days in a row.',positive,0.03626598011363636
b'@jazz _dancewear @AudSpencerDance @AwardingWomen @UKSmallBizRT #Leeds #barnsleyisbrill #Wakefield #Halifax #holmfirth #honley #almondbury #RT pic.twitter.com/OVTwsQuyhB',positive,0.004464285714285714
