username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HFXJazzFest;2015-04-29 11:34;0;1;"HJF is pleased to welcome Alanna Swinemar as the Volunteer Manager for the 2015 TD Halifax Jazz Festival! #HJF2015 http:// bit.ly/1PXI9To";;;#HJF2015;"593423149196255234";https://twitter.com/HFXJazzFest/status/593423149196255234
HFXJazzFest;2015-04-29 10:02;0;0;"Tomorrow’s International Jazz Day. We’ll be celebrating with some very special TD Halifax Jazz Festival treats. #JazzDay";;;#JazzDay;"593400023808880641";https://twitter.com/HFXJazzFest/status/593400023808880641
CatchaJob_ca;2015-04-28 20:56;0;0;"#Job #Canada #Jazz Aviation LP Environmental Specialist Full Time in #Halifax , NS, http://www. catchajob.ca/job/jazz-aviat ion-lp-environmental-specialist-full-time-in-halifax-ns/ …";;;#Job #Canada #Jazz #Halifax;"593202045299077120";https://twitter.com/CatchaJob_ca/status/593202045299077120
DempseyMel;2015-04-28 15:08;0;0;"@VisitNovaScotia Will definitely have to hit up the Jazz Fest! #JazzFest2015 #Halifax";;@VisitNovaScotia;#JazzFest2015 #Halifax;"593114511680348160";https://twitter.com/DempseyMel/status/593114511680348160
kaeshammer;2015-04-28 15:06;0;1;"2015 TD Halifax Jazz Festival Launch Video: https:// youtu.be/TXX4EMDlCDo";;;;"593114130346704896";https://twitter.com/kaeshammer/status/593114130346704896
VisitNovaScotia;2015-04-28 14:56;0;0;"@DempseyMel The Jazz Festival is in Halifax July 8-12th. Great event on the Halifax waterfront. http:// ow.ly/Mf1HE";;@DempseyMel;;"593111436316045312";https://twitter.com/VisitNovaScotia/status/593111436316045312
adamzita;2015-04-27 22:35;0;0;"Jazzy goodness #jazz #saxophone @economyshoeshop every Monday. #Halifax #visitnovascotia @Economy… https:// instagram.com/p/2ABfPKQQFA/";;@economyshoeshop @Economy;#jazz #saxophone #Halifax #visitnovascotia;"592864638523543553";https://twitter.com/adamzita/status/592864638523543553
KenzieMacD;2015-04-26 16:46;0;2;"Good idea " @rockbotmbrewpub : Are you hungry and too lazy to cook? We've got pasta, dessert, beer and jazz ! @SpringGardenRd #Sunday #Halifax "";;@rockbotmbrewpub @SpringGardenRd;#Sunday #Halifax;"592414470149787648";https://twitter.com/KenzieMacD/status/592414470149787648
rockbotmbrewpub;2015-04-26 16:44;4;6;"Are you hungry and too lazy to cook? We've got pasta, dessert, beer and jazz ! @SpringGardenRd #Sunday #Halifax pic.twitter.com/ZJmHnkgZX7";;@SpringGardenRd;#Sunday #Halifax;"592413966804082688";https://twitter.com/rockbotmbrewpub/status/592413966804082688
marlenarose123;2015-04-25 08:28;0;1;"#jazz guitarist William Powell at @InkwellArts today at two then #jazzjam in the eve at #Halifax";;@InkwellArts;#jazz #jazzjam #Halifax;"591926777351643136";https://twitter.com/marlenarose123/status/591926777351643136
Jazz_Guys;2015-04-24 10:58;0;2;"Tonight, local heroes Partner and Fossil Cliffs from Halifax . 10pm - 5 dollars. pic.twitter.com/PdMKrglAlE";;;;"591602205452587008";https://twitter.com/Jazz_Guys/status/591602205452587008
GermanyInCanada;2015-04-23 11:08;3;3;"2015 @HFXJazzFest featuring 2 German musicians, @kaeshammer , Christan Kögel #HJF2015 #jazz #Halifax @VisitNovaScotia https:// youtu.be/TXX4EMDlCDo";;@HFXJazzFest @kaeshammer @VisitNovaScotia;#HJF2015 #jazz #Halifax;"591242206033403904";https://twitter.com/GermanyInCanada/status/591242206033403904
JoeyJazzOrgan;2015-04-22 21:00;1;1;"New performance announced in Halifax , NS at Halifax Jazz Festival on July 9, 2015 http:// artistdata.com/a/ijhg";;;;"591028727666110464";https://twitter.com/JoeyJazzOrgan/status/591028727666110464
ObladeeWineBar;2015-04-22 17:37;2;3;"Howz about some cool jazz a la Martin Davidson Trio tonight? Guaranteed to turn your day around. 8-11pm, #free ! #livejazz #halifax";;;#free #livejazz #halifax;"590977815350222848";https://twitter.com/ObladeeWineBar/status/590977815350222848
BrightLeafMusic;2015-04-22 15:23;0;0;"Just announced! Find The Others performs at this year's Halifax Jazz Festival July 9. Sweet! http:// fb.me/7v5uRceIO";;;;"590944153099325440";https://twitter.com/BrightLeafMusic/status/590944153099325440
stompinmary;2015-04-22 11:34;0;0;"Guess who is playing at the #Halifax #Jazz Festival this year!?! http:// fb.me/3Lz0ZyGPb";;;#Halifax #Jazz;"590886439510024193";https://twitter.com/stompinmary/status/590886439510024193
ThatEricAlper;2015-04-22 09:00;2;4;"Full lineup announced for 2015 TD Halifax Jazz Festival: http:// wp.me/p26Qb8-dxB";;;;"590847663085584384";https://twitter.com/ThatEricAlper/status/590847663085584384
stompinmary;2015-04-21 22:32;0;0;"Very exciting news... Bête de Scène jouera à #Halifax #Jazz Fest!!! http:// fb.me/3JATAGnve";;;#Halifax #Jazz;"590689687649550337";https://twitter.com/stompinmary/status/590689687649550337
Robinsong87;2015-04-21 21:23;0;0;"2015 TD Halifax Jazz Fest...Karen Robinson Trio on the Hydrostone Stage on July 12th at 1:00.";;;;"590672204217589760";https://twitter.com/Robinsong87/status/590672204217589760
JazzClubsWorld;2015-04-21 19:00;0;0;"#jazzclubs #jazz The Budos Band, Ranee Lee featured at Halifax Jazz Festival in July http:// tinyurl.com/mz4gchl";;;#jazzclubs #jazz;"590636171648225283";https://twitter.com/JazzClubsWorld/status/590636171648225283
FreeMoncton;2015-04-21 17:50;0;0;"Halifax Jazz Festival 2015 lineup announced #MFP https:// monctonfreepress.ca/post/67365";;;#MFP;"590618536135000064";https://twitter.com/FreeMoncton/status/590618536135000064
Robinsong87;2015-04-21 15:36;0;0;"Playing the TD Halifax Jazz Festival July 12 2015 http://www. robinsong.ca";;;;"590584901063311360";https://twitter.com/Robinsong87/status/590584901063311360
ScotiaWeb;2015-04-21 15:14;0;0;"#Halifax Halifax Jazz Festival 2015 lineup announced: The Halifax Jazz Festival released t... http:// bit.ly/1J7mwPx #NovaScotia #Music";;;#Halifax #NovaScotia #Music;"590579266313703426";https://twitter.com/ScotiaWeb/status/590579266313703426
NovaScotiaNews;2015-04-21 15:10;0;0;"Coast - Halifax Jazz Festival 2015 lineup announced: The Halifax Jazz Festival released their lineup today an... http:// bit.ly/1DyTCQH";;;;"590578427633258497";https://twitter.com/NovaScotiaNews/status/590578427633258497
abramson82;2015-04-21 15:10;0;0;"Halifax Jazz Festival 2015 lineup announced";;;;"590578427293466625";https://twitter.com/abramson82/status/590578427293466625
GraffitiGroupie;2015-04-21 15:05;0;0;"#life Halifax Jazz Festival 2015 lineup announced - The Halifax Jazz Festival released their lineup today and it’s... http:// ow.ly/2XH08Y";;;#life;"590577227085062144";https://twitter.com/GraffitiGroupie/status/590577227085062144
SpinCount;2015-04-21 15:00;1;1;"Halifax Jazz Festival @HFXjazzfest 2015 lineup announced! thxs @TwitCoast , read more here! http://www. thecoast.ca/TheScene/archi ves/2015/04/21/halifax-jazz-festival-2015-lineup-announced … #CoastTheScene";;@HFXjazzfest @TwitCoast;#CoastTheScene;"590575893749309440";https://twitter.com/SpinCount/status/590575893749309440
