text,Sentiment,Score
b'Midnight brings some big news! @HFXJazzFest announces their 2014 lineup. Hit up http://www. jazzeast.com for all the details! #Halifax #jazz',positive,0.020686222956730768
b'Free open Jazz workshop is starting at 6! See you there! #Halifax #Jazz #Dance #Free #Fitness #Fun',positive,0.029648176083962124
"b""Tonight's FREE workshop is JAZZ with Penny Evans! Come celebrate with us! #Halifax #Fun #Fitness""",positive,0.05397727272727273
"b'Big news tomorrow, when @HFXJazzFest announces more of the lineup for the 2014 Halifax Jazz Festival. #halifax #jazzfest2014'",positive,0.015125621448863636
b'TD Halifax Jazz Festival presents internationally renowned American musician St. Vincent | Halifax Jazz Festival http:// halifaxjazzfestival.ca/blog/halifax-j azz-festival-presents-internationally-renowned-american-musician-st-vincent \\u2026',positive,0.018497242647058824
b'Montreal + Toronto each have great line-ups for their jazz festivals. #Halifax JazzFest is in good company http:// fw.to/MqGxQXf',positive,0.07740951577822368
b'We had a wonderful day yesterday at the New Orleans Jazz & Heritage Festival!! Halifax Oyster Festival in Daytona... http:// fb.me/2UC9eEueu',positive,0.03993007114955357
"b'Yesterday Jazz Fest, TODAY Halifax Oyster Festival in Daytona! MORE TOUR DATES: http://www. royalsouthernbrotherhood.com http:// fb.me/6uGUGbPcy'",positive,0.010602678571428572
b'Our 3rd & final TD Halifax Jazz Festival video is here! What makes #hjf ? Find out here http:// tinyurl.com/nvu8hot @MillefioreC @thechronosband',negative,-0.0007576573899661718
b'I regret not being able to see @jakehanlonjazz do his tip of the hit to Jim Hall tonight in Halifax . #tone #jazz #timezones',negative,-0.03310966606323536
b'21 Jazz Bands will compete at the UK Open Contest 2014 (Part of the UKFJB) on Sunday 4th May at North Bridge Leisure Centre Halifax HX3 6TE',positive,0.011962890625
"b""who doesn't like FREE!? Every night next week try one of our awesome adult classes! #Pilates #Jazz #Modern #Zumba #Break #Halifax #FREE""",positive,0.010299205780029297
b'Aircraft Maintenance Engineer: Heavy Maintenance - Structures: Jazz Aviation LP ( Halifax ):... http:// bit.ly/1hciBT6 #diversity #jobs',positive,0.031118120465959822
b'Aircraft Maintenance Engineer: Heavy Maintenance - Structures: Jazz Aviation LP ( Halifax ):... http:// bit.ly/1k3CP1x #diversity #jobs',positive,0.031118120465959822
b'Aircraft Maintenance Engineer: Heavy Maintenance - Structures: Jazz Aviation LP ( Halifax ):... http:// bit.ly/1k3CP1x #novascotia #jobs',positive,0.03558240618024554
b'Aircraft Maintenance Engineer: Heavy Maintenance - Structures: Jazz Aviation LP ( Halifax ):... http:// bit.ly/1hciBT6 #novascotia #jobs',positive,0.03558240618024554
b'Aircraft Maintenance Engineer: Heavy Maintenance - Structures: Jazz Aviation LP ( Halifax ):... http:// bit.ly/1k3CP1x #novascotia #jobs',positive,0.03558240618024554
b'Aircraft Maintenance Engineer: Heavy Maintenance - Structures: Jazz Aviation LP ( Halifax ):... http:// bit.ly/1hciBT6 #novascotia #jobs',positive,0.03558240618024554
