username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NovaScotiaEvent;2013-10-30 18:12;0;0;"J. HOLIDAY LIVE IN HALIFAX IN LESS THAN A WEEK!!!: J. HOLIDAY LIVE IN HALIFAX YES - PLEASE BELIEVE IT!!! R&B ... http:// tsciti.es/1dPbf7j";;;;"395659473424900096";https://twitter.com/NovaScotiaEvent/status/395659473424900096
soulhowe;2013-10-30 08:51;0;0;"We're number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"395518267298557952";https://twitter.com/soulhowe/status/395518267298557952
soulhowe;2013-10-29 08:34;0;0;"We're number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"395151754171408384";https://twitter.com/soulhowe/status/395151754171408384
soulhowe;2013-10-28 06:43;0;0;"We're number 2 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"394761354071916544";https://twitter.com/soulhowe/status/394761354071916544
soulhowe;2013-10-27 09:54;0;0;"We're number 2 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"394446886406352897";https://twitter.com/soulhowe/status/394446886406352897
soulhowe;2013-10-26 23:46;0;0;"We're number 3 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"394294119234695168";https://twitter.com/soulhowe/status/394294119234695168
soulhowe;2013-10-25 17:47;0;0;"We're number 3 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"393841231458889728";https://twitter.com/soulhowe/status/393841231458889728
soulhowe;2013-10-23 18:51;0;0;"We're number 3 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"393132587197014017";https://twitter.com/soulhowe/status/393132587197014017
soulhowe;2013-10-22 09:39;0;0;"We're number 3 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"392631284154900481";https://twitter.com/soulhowe/status/392631284154900481
soulhowe;2013-10-05 09:00;0;0;"We're number 4 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"386460835297492992";https://twitter.com/soulhowe/status/386460835297492992
NovaScotiaEvent;2013-10-04 17:36;0;0;"J. HOLIDAY LIVE IN HALIFAX !!!: J. HOLIDAY LIVE IN HALIFAX YES - PLEASE BELIEVE IT!!! R&B Superstar J. Holiday... http:// dlvr.it/44x6C6";;;;"386228369672527872";https://twitter.com/NovaScotiaEvent/status/386228369672527872
soulhowe;2013-10-01 20:10;0;0;"We're number 5 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"385180056256905216";https://twitter.com/soulhowe/status/385180056256905216
blakkmusic;2013-09-13 21:30;0;0;"Soul Howe | R&B /Soul from Halifax , NS, CA http:// fb.me/HSg6g9PU";;;;"378676997264007168";https://twitter.com/blakkmusic/status/378676997264007168
soulhowe;2013-09-13 20:44;0;0;"We're number 2 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"378665545656057856";https://twitter.com/soulhowe/status/378665545656057856
GordJohnDougald;2013-09-12 08:46;1;0;"Combining Billy Talent's tattooed emo-pop and the modern R&B sensuality of Frank Ocean, Billy Ocean's #Halifax show is not to be missed!";;;#Halifax;"378122482009796608";https://twitter.com/GordJohnDougald/status/378122482009796608
Deezzybaby;2013-09-04 10:58;0;2;"If only we had an all Rap, R&B station in Halifax .. I don't think it's much to ask for.";;;;"375256645779345408";https://twitter.com/Deezzybaby/status/375256645779345408
Sweethb;2013-09-01 22:05;0;0;"Really want to see Neyo in concert again here in Halifax . My favorite artist. I am a huge fan. #neyo #favoriteartist #r &b";;;#neyo #favoriteartist #r;"374337273284018176";https://twitter.com/Sweethb/status/374337273284018176
Moe_Nada;2013-09-01 17:47;1;1;"Sitting in the balcony looking at the waterfront, with a cup of tea and listening to old R&B songs. #halifax";;;#halifax;"374272371932540928";https://twitter.com/Moe_Nada/status/374272371932540928
BreakingNSNews;2013-08-19 11:19;3;1;"Chris Brown concert in Halifax postponed: Chris Brown, the controversial American R&B singer, will not be... http:// dlvr.it/3qTJkN";;;;"369463565733740545";https://twitter.com/BreakingNSNews/status/369463565733740545
MeganALeslie;2013-08-18 11:20;3;1;"Today at the Public Gardens Frank McKay & R&B All Stars plays the bandstand! 2pm. Free! #music #Halifax";;;#music #Halifax;"369101549319884801";https://twitter.com/MeganALeslie/status/369101549319884801
soulhowe;2013-08-04 15:49;0;0;"We're number 2 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"364095839515316224";https://twitter.com/soulhowe/status/364095839515316224
soulhowe;2013-08-03 09:14;0;1;"We're number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"363633933495173120";https://twitter.com/soulhowe/status/363633933495173120
ScotiaWeb;2013-08-01 02:14;1;0;"#Halifax Making a Splash: Up and coming R&B vocalist Samm Splash releases her debu... http:// bit.ly/16GLGOo #NovaScotia #Music";;;#Halifax #NovaScotia #Music;"362803484745154560";https://twitter.com/ScotiaWeb/status/362803484745154560
soulhowe;2013-07-28 08:04;0;0;"Day 89!!! We're number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"361442068440170496";https://twitter.com/soulhowe/status/361442068440170496
soulhowe;2013-07-27 08:58;0;0;"We're number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"361093248690823170";https://twitter.com/soulhowe/status/361093248690823170
soulhowe;2013-07-26 07:36;0;0;"1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"360710099037200385";https://twitter.com/soulhowe/status/360710099037200385
soulhowe;2013-07-23 10:35;0;0;"I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"359667981657194497";https://twitter.com/soulhowe/status/359667981657194497
soulhowe;2013-07-21 10:26;0;0;"I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"358941088842649601";https://twitter.com/soulhowe/status/358941088842649601
soulhowe;2013-07-18 09:44;0;0;"I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"357843393746968577";https://twitter.com/soulhowe/status/357843393746968577
GlobalNational;2013-07-16 21:33;3;0;"R&B singer Chris Brown is scheduled to perform in Halifax but some say he's not welcome. @rlordglobal reports: http:// wp.me/p2Y4rw-30zS";;@rlordglobal;;"357297068617900032";https://twitter.com/GlobalNational/status/357297068617900032
soulhowe;2013-07-16 00:41;0;0;"I'm number 1 on the ReverbNation R&B /Soul charts for Halifax , NS, CA. http://www. reverbnation.com/soulsticehowe";;;;"356981832346124288";https://twitter.com/soulhowe/status/356981832346124288
entertainmentsn;2013-07-15 20:18;0;0;"An upcoming performance in Halifax by controversial American R&amp;B artist Chris Brown has stoked an outpouring ... http:// tf.to/bpg5Y";;;;"356915791603580933";https://twitter.com/entertainmentsn/status/356915791603580933
Djerikasinka;2013-06-08 18:42;2;0;"Setting up @LiquidHalifax #halifax ..looking like a busy one. Catch me in the VIP with the freshest R&B and HipHop!";;@LiquidHalifax;#halifax;"343483274385059840";https://twitter.com/Djerikasinka/status/343483274385059840
rssmooth;2013-05-26 17:38;2;0;"#NowPlaying "Latest & Greatest R&B May 2013 Mix" from yours truly on $ mooth Groove$ @CKDU881FM http://www. ckdu.ca #Halifax #Sunday #Yeah";;@CKDU881FM;#NowPlaying #Halifax #Sunday #Yeah;"338756069599891456";https://twitter.com/rssmooth/status/338756069599891456
RJKWORLDTOUR;2013-05-22 23:49;0;0;"@StaceCauli r&b group from about 10 years ago. They were on a Halifax advert. Hmm maybe Xmas. Did I see you were in Crewe?";;@StaceCauli;;"337399850528305153";https://twitter.com/RJKWORLDTOUR/status/337399850528305153
