text,Sentiment,Score
"b'Catch the R&B powerhouse @reenysmith tonight at Government House, Halifax . Call 902-424-7001 for more information. #hfxmusic'",positive,0.03644243169886371
"b'Thank you to all, for helping us to keep Soul Howe Music #1! Soul R&B Halifax ,NS,CA. ~Soul http:// fb.me/5Oi9FSSmU'",positive,0.015274865286690848
"b'2017/11/11: Halifax , NS, Canada: Bump & Grind: A 90s R&B Concert https://www. dancedeets.com/events/1803304 783252407/bump-grind-a-90s-rb-concert?utm_campaign=autopost&utm_medium=share&utm_source=twitter_feed \\u2026 @bumpandgrindhfx pic.twitter.com/mGfcnbGUk3'",negative,-0.017578125
"b'This Sat 23rd Sept meet aspiring and talented Hip Hop and R&B artistes at Bombay Royale Restaurant, Halifax . 7pm http://www. visitcalderdale.com/xclusive-tr-bl e-at-bombay-royal-restaurant \\u2026 pic.twitter.com/lsCXeeHQVR'",positive,0.03819444444444445
"b""Jamming on some 90's R&B tunes with powerhouse singer @_tiffinie Laing tonight at The Company House. Music starts 9pm. #halifax #slowjamz""",positive,0.02447509765625
"b""Bump & Grind: A 90's R&B Thang http:// halevents.ca/halifax-dartmo uth-bedford-sackville-ns-events/4265/bump-grind-a-90s-rb-thang/?utm_source=dlvr.it&utm_medium=twitter \\u2026 #halevents #halifax pic.twitter.com/97Do1RZCmI""",negative,-0.021634615384615384
"b'Even though i am 55 Loved the Halifax JazzFest event..the band was great and you are all very talented..jazz,funk, r&B'",positive,0.09836647727272728
"b""2017/07/29: Halifax , NS, Canada: Bump & Grind: A 90's R&B Thang https://www. dancedeets.com/events/1498864 82092350/?utm_campaign=autopost&utm_medium=share&utm_source=twitter_feed \\u2026 pic.twitter.com/dHorsuSjrw""",negative,-0.020089285714285716
"b""2017/07/29: Halifax , NS, Canada: Bump & Grind: A 90's R&B Thang https://www. dancedeets.com/events/1498864 82092350/?utm_campaign=autopost&utm_medium=share&utm_source=twitter_feed \\u2026 @bumpandgrindhfx pic.twitter.com/ITZSxhwh2q""",negative,-0.01875
b'The Skinner/Chapman Quartet ( R&B /Contemporary) http:// halevents.ca/halifax-dartmo uth-bedford-sackville-ns-events/4005/the-skinnerchapman-quartet-rbcontemporary/?utm_source=dlvr.it&utm_medium=twitter \\u2026 #halevents #halifax pic.twitter.com/Jf5PB2Da3t',positive,0.0009765625
"b""Bump & Grind: A 90's R&B Thang (Canada Day) http:// halevents.ca/halifax-dartmo uth-bedford-sackville-ns-events/4073/bump-grind-a-90s-rb-thang-canada-day/?utm_source=dlvr.it&utm_medium=twitter \\u2026 #halevents #halifax pic.twitter.com/s01aPkTgVy""",negative,-0.01650390625
"b""2017/07/01: Halifax , NS, Canada: Bump & Grind: A 90's R&B Thang (Canada Day) https://www. dancedeets.com/events/1062047 33332145/?utm_campaign=autopost&utm_medium=share&utm_source=twitter_feed \\u2026 pic.twitter.com/0b8cU3NNiE""",negative,-0.015472412109375
"b""2017/07/01: Halifax , NS, Canada: Bump & Grind: A 90's R&B Thang (Canada Da\\u2026 https://www. dancedeets.com/events/1062047 33332145/?utm_campaign=autopost&utm_medium=share&utm_source=twitter_feed \\u2026 @bumpandgrindhfx pic.twitter.com/oNDWoroeuC""",negative,-0.016544117647058824
b'Rasta Gumbo ( R&B /Reggae) http:// halevents.ca/halifax-dartmo uth-bedford-sackville-ns-events/3469/rasta-gumbo-rbreggae/?utm_source=dlvr.it&utm_medium=twitter \\u2026 #halevents #halifax pic.twitter.com/t82fDrniXw',netural,0.0
"b""She's got a big, beautiful voice and a vibrant personality too. We'll hear Halifax R & B musician @ErinCostelo this morning. pic.twitter.com/RWnkw9kPoP""",positive,0.08306687172548013
"b'Eric Hamilton & Friends - Blues, R&B , Funk, Rock http:// halevents.ca/halifax-dartmo uth-bedford-sackville-ns-events/3190/eric-hamilton-friends-blues-rb-funk-rock/?utm_source=dlvr.it&utm_medium=twitter \\u2026 #halevents #halifax pic.twitter.com/QfnZCYjlhJ'",positive,0.00286865234375
b'LuluCity (Dance/ R&B ) http:// halevents.ca/halifax-dartmo uth-bedford-sackville-ns-events/3233/lulucity-dancerb/?utm_source=dlvr.it&utm_medium=twitter \\u2026 #halevents #halifax pic.twitter.com/cZ1WHrqusS',netural,0.0
"b""2017/05/21: Halifax , NS, Canada: Bump & Grind: A 90's R&B Thang V.3 http://www. dancedeets.com/events/1960535 584166004/?utm_campaign=autopost&utm_medium=share&utm_source=twitter_feed \\u2026 pic.twitter.com/W8bp9FIow4""",negative,-0.01875
b'Work rumours: Manny and other Heed C/B. Trannies Harris Stockton Vaughan Jennings. Liverpool loan keeper. Halifax R/B',positive,0.0005208333333333333
"b'HRM RFP 4 #canada150 concert indicates 2 headliners: 1 solo act"" and 1 ""band"". Celtic, Folk, Acadian Rock, R&B and Poet openers #halifax""'",positive,0.014485677083333334
2,8,10
