username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
i2wqej6axzt;2018-04-28 15:02;0;0;"halifax Reviews > https:// bit.ly/2vIR0bH Elizabeth Busty Caramel Bombshell x a 20 Fresno fresno California ** S U P E R B U S T Y 38 DDD's Sexy";;;;"990290117892956162";https://twitter.com/i2wqej6axzt/status/990290117892956162
vichighsd61;2018-04-23 23:54;0;2;"Our R&B Band is in Halifax at All City Music. #sd61learn";;;#sd61learn;"988612037189275651";https://twitter.com/vichighsd61/status/988612037189275651
RSGlobeprojects;2018-04-20 11:36;2;9;"Look who will be playing LIVE at #TheSundayMixTape @ThePieceHall 27th May. #DeanFagan Dean prides himself on his DJ sets, performing Funk, Soul, R&B , Hip Hop, House and Dubstep. Get your tickets for 'BIG' here https:// buff.ly/2JUENUd #Halifax #LiveMusic #FamilyEvent pic.twitter.com/Ha5CoFdyjU";;@ThePieceHall;#TheSundayMixTape #DeanFagan #Halifax #LiveMusic #FamilyEvent;"987339192106668032";https://twitter.com/RSGlobeprojects/status/987339192106668032
haarrysmith20;2018-03-23 07:56;0;2;"Tonight I’ll be Playing at kokos Halifax , come down have a cocktail and shisha and sit outside In our heated terrace where I’ll be spinning house , r&a mp;b , hip-hop and Ibiza classics doors open 8:00pm";;;;"977137059453456384";https://twitter.com/haarrysmith20/status/977137059453456384
ECMusicHour;2018-03-09 18:12;0;5;"Tomorrow #ECMH : The best of what's new and exciting on the Atlantic Canadian music scene. This week: Alfie and his irresitable, undefinable groove. Soul, Funk, R&B , hip hop ... Alfie's been bringing it all together for over a decade - Halifax music. @cbcradio pic.twitter.com/TZYZFE1Zpr";;@cbcradio;#ECMH;"972233793036832771";https://twitter.com/ECMusicHour/status/972233793036832771
nuevoculture;2018-03-01 11:03;0;0;"Meet Jody Upshaw, Halifax 's Teenage R&B Sensation - http://www. nuevoculture.com/meet-jody-upsh aw-halifaxs-teenage-rb-sensation/ … pic.twitter.com/g7PAY3UuoD";;;;"969226566176829443";https://twitter.com/nuevoculture/status/969226566176829443
iLuvUrNailz;2018-02-27 16:05;0;0;"m a r b l e #iLuvUrNailz Using @bioseaweedgel Halifax , White & Fantasy… https://www. instagram.com/p/BftoBjoFL6q/";;@bioseaweedgel;#iLuvUrNailz;"968577750196998145";https://twitter.com/iLuvUrNailz/status/968577750196998145
dancedeets;2018-02-08 02:03;0;0;"2018/02/10: Halifax , NS, Canada: Bump & Grind: A 90s R&B Thang https://www. dancedeets.com/events/1694644 87023329/bump-grind-a-90s-rb-thang?utm_campaign=autopost&utm_medium=share&utm_source=twitter_feed … @bumpandgrindhfx pic.twitter.com/t2Sl23iTi6";;@bumpandgrindhfx;;"961480471623462912";https://twitter.com/dancedeets/status/961480471623462912
wetkissmus;2018-02-04 13:17;0;0;"Meet Jody Upshaw, Halifax 's Teenage R&B Sensation - http://www. wetkissmusic.com/meet-jody-upsh aw-halifaxs-teenage-rb-sensation/ … pic.twitter.com/jIU6ysRvPR";;;;"960200555892264965";https://twitter.com/wetkissmus/status/960200555892264965
idowfestival;2018-01-13 20:00;6;11;"Expect a #powerhouse performance from #NS #soul / r&b artist Reeny Smith! @iamREENY @idowfestival -Fri, Jan 19 - 11:30pm @theseahorse #IDOW2018 #Halifax http:// ow.ly/3O6Q30hBLm7 pic.twitter.com/wxa9lnTqhm";;@iamREENY @idowfestival @theseahorse;#powerhouse #NS #soul #IDOW2018 #Halifax;"952329499831619585";https://twitter.com/idowfestival/status/952329499831619585
SH_BordenColley;2018-01-12 15:12;3;8;"@NSMassChoir President Tamar Brown (centre) and choir members, Velma Skeir and Gerry White, picking up @JullyBlack , Canada's Queen of R&B /Soul, at the Halifax Int'l Airport for tomorrow's Rev. Dr. Martin Luther King Tribute pic.twitter.com/tan5hjSMS4";;@NSMassChoir @JullyBlack;;"951894595021037568";https://twitter.com/SH_BordenColley/status/951894595021037568
SH_BordenColley;2018-01-11 09:11;5;8;"Meet Jody Upshaw, Halifax 's Teenage R&B Sensation http:// exclaim.ca/music/article/ meet_jody_upshaw_halifaxs_teenage_r_and_b_sensation …";;;;"951441496795992064";https://twitter.com/SH_BordenColley/status/951441496795992064
RammitRecords;2018-01-10 10:00;4;17;"Meet @JodyUpshaw , #Halifax 's #Teenage R&B Sensation http:// bit.ly/2CInIZN Jody has already worked with the likes of #FrankKadillac of EDM group @neondreams and #rapper #Classified . She has also written songs with #country #artists @tjkingmusic and #MakaylaLynn . #Classof2018 pic.twitter.com/gYxcHDyhKm";;@JodyUpshaw @neondreams @tjkingmusic;#Halifax #Teenage #FrankKadillac #rapper #Classified #country #artists #MakaylaLynn #Classof2018;"951091272785252359";https://twitter.com/RammitRecords/status/951091272785252359
exclaimnews;2018-01-09 11:09;1;2;"Meet @JodyUpshaw , Halifax 's teenage R&B sensation: http:// ow.ly/fbfm30hFFOq";;@JodyUpshaw;;"950746417282371584";https://twitter.com/exclaimnews/status/950746417282371584
miamimusicbuzz2;2018-01-09 02:21;0;0;"Meet Jody Upshaw, Halifax 's Teenage R&B Sensation - http:// miamimusicbuzz.com/meet-jody-upsh aw-halifaxs-teenage-rb-sensation/ … pic.twitter.com/oxHDybDNws";;;;"950613446860660737";https://twitter.com/miamimusicbuzz2/status/950613446860660737
fatzdaghost;2018-01-08 21:51;0;0;"Meet Jody Upshaw, Halifax 's Teenage R&B Sensation http:// exclaim.ca/music/article/ meet_jody_upshaw_halifaxs_teenage_r_and_b_sensation … #classof2018";;;#classof2018;"950545572821430272";https://twitter.com/fatzdaghost/status/950545572821430272
exclaimdotca;2018-01-08 16:19;1;2;"Jody Upshaw is only 14, but her R&B tracks are already starting to get national attention: https:// exclaim.ca/music/article/ meet_jody_upshaw_halifaxs_teenage_r_and_b_sensation?&utm_source=TwitterEDC&utm_medium=referral&utm_campaign=EDCTwitter … Read our feature to learn more about her before checking out her #ClassOf2018 set in #Halifax on January 12: https://www. facebook.com/events/3905166 38045645/ … pic.twitter.com/6XEYR4zZOm";;;#ClassOf2018 #Halifax;"950461952127627264";https://twitter.com/exclaimdotca/status/950461952127627264
AtikHalifax;2017-12-14 12:48;0;3;"We only have 3 x VIP Booths & Packages remaining for #Friday night! All booths are in Curve, R&B room... Grab your PREMIUM Package for just £50! Secure your package with a £20 deposit today! T: 01422 342 962 #Halifax #Friday #Voodoo pic.twitter.com/w1Y3vgLeNS";;;#Friday #Halifax #Friday #Voodoo;"941349216768667654";https://twitter.com/AtikHalifax/status/941349216768667654
SpinCount;2017-12-05 20:10;3;5;"Expect a #powerhouse performance from #NS #soul / r&b artist Reeny Smith! @iamREENY @idowfestival -Fri, Jan 19 - 12:15am @theseahorse #IDOW2018 #Halifax http:// ow.ly/oQnW30gNmyA pic.twitter.com/hqdcmPAjET";;@iamREENY @idowfestival @theseahorse;#powerhouse #NS #soul #IDOW2018 #Halifax;"938198840997564416";https://twitter.com/SpinCount/status/938198840997564416
BlhsBirchtown;2017-12-01 16:55;1;1;"PUBLIC SERVICE ANNOUNCEMENT December 1, 2017 ( Halifax ) - Nova Scotia Mass Choir is pleased to announce that Jully Black, Canada's Queen of R & B /Soul, is the featured guest for our 15th Annual Rev. Dr. Martin Luther King Jr. Tribute Concert. The concert will take pl pic.twitter.com/tSutspClU3";;;;"936700193470320644";https://twitter.com/BlhsBirchtown/status/936700193470320644
SH_BordenColley;2017-12-01 15:55;1;1;"@ecbsibc @TheCoastHalifax , @NSMassChoir Presents "The Dream Continues" - A musical tribute to Rev. Dr. Martin Luther King Jr. featuring Jully Black, Canada's Queen of R & B /Soul on Jan. 13, 2018 in Halifax pic.twitter.com/6pT9PQ9AEY";;@ecbsibc @TheCoastHalifax @NSMassChoir;;"936685090544988160";https://twitter.com/SH_BordenColley/status/936685090544988160
SH_BordenColley;2017-12-01 14:00;1;1;"@myhalevents , @NSMassChoir Presents "The Dream Continues" - A musical tribute to Rev. Dr. Martin Luther King Jr. featuring Jully Black, Canada's Queen of R & B /Soul on Jan. 13, 2018 in Halifax pic.twitter.com/WODlhQF4b3";;@myhalevents @NSMassChoir;;"936656340784762881";https://twitter.com/SH_BordenColley/status/936656340784762881
SH_BordenColley;2017-12-01 13:56;2;1;"@ANSMA5 , @NSMassChoir Presents "The Dream Continues" - A musical tribute to Rev. Dr. Martin Luther King Jr. featuring Jully Black, Canada's Queen of R & B /Soul on Jan. 13, 2018 in Halifax pic.twitter.com/62fo3UQ39E";;@ANSMA5 @NSMassChoir;;"936655361439948800";https://twitter.com/SH_BordenColley/status/936655361439948800
