username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kingluc902;2016-10-25 23:00;0;4;"Check me!! #rap #Halifax https:// m.soundcloud.com/kinglucas-2/ki ng-lucas-get-that-doe …";;;#rap #Halifax;"791097211841089537";https://twitter.com/kingluc902/status/791097211841089537
Cupcakes_n_Rap;2016-10-25 12:54;0;1;"I love getting Twitter notifications that have me & Halifax together. Will the existence of this piece redeem the CBC for me?? Stay tuned. https:// twitter.com/CBCMusic/statu s/790942248460361728 …";;;;"790944607928332288";https://twitter.com/Cupcakes_n_Rap/status/790944607928332288
NovaNewsNow1;2016-10-25 12:33;0;0;"News: Halifax radio show gives inmates outlet on the airwaves: Prisoners perform poetry and rap on the Black ... http:// bit.ly/2eI4cSw";;;;"790939374204563457";https://twitter.com/NovaNewsNow1/status/790939374204563457
AllTimeKingsATK;2016-10-24 11:23;0;1;"We are number 4 on the ReverbNation Rap charts for Halifax , NS, CA. http://www. reverbnation.com/atk_records http:// fb.me/8fI1hm5cd";;;;"790559310929506304";https://twitter.com/AllTimeKingsATK/status/790559310929506304
AllTimeKingsATK;2016-10-24 11:23;0;1;"We are number 4 on the ReverbNation Rap charts for Halifax , NS, CA. http://www. reverbnation.com/atk_records https://www. reverbnation.com/atk_records";;;;"790559302117240833";https://twitter.com/AllTimeKingsATK/status/790559302117240833
Cupcakes_n_Rap;2016-10-15 14:45;0;0;"Oh my gosh Halifax you are so lucky! Go!!!! https:// twitter.com/aparnapkin/sta tus/787347289589243904 …";;;;"787348608580456449";https://twitter.com/Cupcakes_n_Rap/status/787348608580456449
loyaltyentgroup;2016-10-14 14:36;1;1;"November 12th @The Commune in NG December 2nd @Gus's Pub in Halifax #hiphop #rap #giveback … https://www. instagram.com/p/BLjUwJsjsj3/";;@The @Gus;#hiphop #rap #giveback;"786984000950792192";https://twitter.com/loyaltyentgroup/status/786984000950792192
holly_chisholm;2016-10-13 20:03;0;3;"The Halifax Clowns instagram account turned into some teenager smoking weed in a clown mask listening to shitty rap music";;;;"786703953501294593";https://twitter.com/holly_chisholm/status/786703953501294593
Cupcakes_n_Rap;2016-10-12 23:49;0;1;"Jesse's home in Halifax for Thanksgiving, but when he gets home we'll go!";;;;"786398524803919873";https://twitter.com/Cupcakes_n_Rap/status/786398524803919873
Saverage_;2016-10-05 10:48;3;4;"I swear how many more "rappers" can come out of Halifax ? The whole rap community is going to be full of kids from this small town";;;;"783665242433781760";https://twitter.com/Saverage_/status/783665242433781760
Cupcakes_n_Rap;2016-10-04 22:43;0;0;"Hey @rljd are you in Halifax or Ottawa for this??? https:// twitter.com/CanadasNAC/sta tus/783026783440568321 …";;@rljd;;"783482736946343936";https://twitter.com/Cupcakes_n_Rap/status/783482736946343936
discoverhalifax;2016-10-04 14:22;11;13;"Shot over 4 seasons, Wordburglar's official video "Channel Halifax " is an ample dose of life in #Halifax : https:// youtu.be/n0b3tQ-38R8 #rap pic.twitter.com/gybSN2C1UH";;;#Halifax #rap;"783356569450864641";https://twitter.com/discoverhalifax/status/783356569450864641
rssmooth;2016-10-02 17:22;1;5;"#SmoothGroovesCKDU - http://www. ckdu.ca - #CKDU #Radio #Halifax #HipHop #RnB #Rap #Reggae #Soca … https://www. instagram.com/p/BLEuM6vh3lV/";;;#SmoothGroovesCKDU #CKDU #Radio #Halifax #HipHop #RnB #Rap #Reggae #Soca;"782677108795387904";https://twitter.com/rssmooth/status/782677108795387904
