text,Sentiment,Score
b'Halifax rap name : Joel Caskett',negative,-0.09140625
b'RT @Canadian_Dope Check out the NEW video from @QuakeMatthews called RAP MUSIC ( #Halifax \\u2026 https:// twitter.com/Canadian_Dope/ status/657646901047726080?utm_source=dlvr.it&utm_medium=twitter \\u2026 pic.twitter.com/dPrJvXV8iP',positive,0.007247946981806308
b'Check out the NEW video from @QuakeMatthews called RAP MUSIC ( #Halifax Artist) #HipHop @AndrewU92 via http://www. canadiandope.com/quake-matthews -rap-music-music-video/ \\u2026',positive,0.04165295891177196
"b'#Halifax , go see @Realey3z & @JeanGreasy tonight!!!!!!!!!!!!!!!!!!!'",positive,0.0032154753765401742
"b'#RAP Quake Matthews (hip-hop/ rap artist. Halifax , Nova Scotia) -> Rap Music https:// youtu.be/WjGjLo5mIEI'",negative,-0.051682692307692304
"b""Did you know that there's a @JeanGreasy & @Realey3z show in #Halifax this Friday?! Listening to CKDU has made me look up @HalifaxPopX . #Rap""",negative,-0.01732063274538002
"b'Halifax , if you fuck this up I will never forgive you ever. i swear to god'",negative,-0.040736607142857144
b'Halifax get your fucking act together what the fuck. I do not like these polls.',positive,0.025665690995603136
b'Rigity - Take over . #hiphop #diffrent #rapper #halifax #bars #fire #spitting #mc #dope #MC #lyrical #Rigity #rap pic.twitter.com/hB8Z5Vct1E',negative,-0.0088958740234375
"b""Listen #Halifax , let's rap for a sec. The bridge has a new bumpy part, so go slow over it but don't stop. This will keep traffic flowing.""",negative,-0.04325365983095253
b'#Halifax : you are SO LUCKY! You get to go out and re-elect @MeganLeslieHFX tomorrow! #Vote #NDP #elxn42 #elxn2015 pic.twitter.com/HCDPPBYsDy',positive,0.07102021299149121
"b""Doin' Damage is tonight at Gus' Pub! $6 all night. #halifax #rap https:// instagram.com/p/89IIlbmUrK/""",negative,-0.045703125
b'#GhettoBarbie #GhettoPrincess #BarbieWorld #rap #hiphop #canadianmusic #hali #halifax #novascotia \\u2026 https:// instagram.com/p/8vrDNUH8F8/',negative,-0.032670454545454544
"b""@THEREALESMITTY @HipHopDX @StrangeMusicInc @HotNewHipHop Wud up I'm Rigity ,. #music #halifax #rap LQ (end vid) pic.twitter.com/qfWHaHWr6g""",negative,-0.010817307692307692
b'Listen to P.o.w.e.r snip it. -Rigity by Rigity Dc #np on #SoundCloud https:// soundcloud.com/rigity-dc/p-o- w-e-r-snip-it-rigity \\u2026 #music #halifax #bars #artist #rap #hiphop #mc',negative,-0.008272058823529412
b'Listen to Rigity with love. Preview snip it. by Rigity Dc #np on #SoundCloud https:// soundcloud.com/rigity-dc/rigi ty-with-love-preview-snip \\u2026 #music #halifax #rap #nolable #hiphop',positive,0.017463235294117647
b'Rigity -King pin preview from GLITCH #7thaveproductions #hiphop #music #Halifax #rapping #rapper #rap #flow #style pic.twitter.com/YoHR80jBbH',negative,-0.011192908653846154
"b'I love Halifax , they play rap music on the radio'",positive,0.14095066487789154
b'@patstay @KingOfTheDot @Battle_ Rap _News #halifax #toothymoose pic.twitter.com/ujgyAqhL4N',negative,-0.044921875
b'One last shot of @freddiegibbs tearing it down in #Halifax on the weekend. #GangstaGibbs #HipHop #Rap \\u2026 https:// instagram.com/p/8PIlKgl2pB/',negative,-0.04340466586026279
b'http:// chrisbgardnerphotography.com @freddiegibbs #Live #Halifax #Concert #Pinata #ESGN #HipHop #Rap #Music \\u2026 https:// instagram.com/p/8Owu0fF2hu/',negative,-0.010047325721153846
b'Most chicks I seen at a rap battle ever..... Go Halifax !!',negative,-0.04858316481113434
"b'We are number 8 on the ReverbNation Rap charts for Halifax , NS, CA. http://www. reverbnation.com/cro7'",negative,-0.06065538194444445
b'@ckdu881fm - http://www. ckdu.ca #HipHop #RnB #Rap #HipHopSoul #Reggae #Soca #OlSkool #Halifax #Illville \\u2026 https:// instagram.com/p/73KcMbijlA/',negative,-0.027644230769230768
"b""Ladies and gentlemen, that's a rap . Good night from all of us here at the Halifax Celtic Festival! zzzzzzzzzzzz""",positive,0.03675282001495361
b'We have a Rap Battle going down here at the college! Students are having a great time. #davincicollege pic.twitter.com/73FEIt6QZP',positive,0.0008680562152423792
"b""Halifax 's hip hop music festival has rap battle night featuring only white people https://www. facebook.com/events/1665284 700358310/ \\u2026""",positive,0.016822228064903848
"b'Scoop the latest from @RyszkyBizness  Rap Therapy"" #halifax #hiphop #rap #NewMusicAlert https:// itunes.apple.com/us/album/id962 515784 \\u2026""'",negative,-0.05965909090909091
"b'Scoop the latest from @RyszkyBizness  Rap Therapy"" #halifax #hiphop #rap #NewMusicAlert https:// itunes.apple.com/us/album/id962 515784 \\u2026 pic.twitter.com/ooLkB3RfzV""'",negative,-0.0546875
b'Halifax really needs a hip hop/ rap radio station',positive,0.009765625
"b'Scoop the latest solo album from @RyszkyBizness  Rap Therapy"" #halifax #hiphop #rap #NewMusicAlert https:// itunes.apple.com/us/album/id962 515784 \\u2026""'",negative,-0.05048076923076923
"b'We are number 9 on the ReverbNation Rap charts for Halifax , MA. http://www. reverbnation.com/jferr'",negative,-0.07798549107142858
b'Halifax Rap Legend http:// youtu.be/Etd6rxCUgiE',negative,-0.071875
"b'Scoop the latest solo album from @RyszkyBizness  Rap Therapy"" #halifax #hiphop #rap #NewMusicAlert https:// itunes.apple.com/us/album/id962 515784 \\u2026 \\u2026""'",negative,-0.05048076923076923
b'https://www. youtube.com/watch?v=YOWuE4 gvdBs \\u2026 #lilherb #chiqaq #canada #halifax #drill #rap #drillmusic #rapmusic #features #donking #LA',negative,-0.0234375
"b'Scoop the latest solo album from @RyszkyBizness  Rap Therapy"" #halifax #hiphop #rap #NewMusicAlert https:// itunes.apple.com/us/album/id962 515784 \\u2026""'",negative,-0.05048076923076923
"b'Scoop the latest solo album from @RyszkyBizness  Rap Therapy"" #halifax #hiphop #rap #NewMusicAlert https:// itunes.apple.com/us/album/id962 515784 \\u2026 \\u2026""'",negative,-0.05048076923076923
b'@Raptors troodons rap rpators move to halifax novia sctia arena?? gym stadium/? / play there .. .',positive,0.008127848307291666
b'Just grabbed the latest @Wordburglar album Rapplicable Skills! Some seriously slick raps from dat East Coast Halifax https:// propsdept.bandcamp.com /',negative,-0.016796875
b'Damage poster. #rap #halifax pic.twitter.com/KCKPxSbFPb',negative,-0.0171875
b'#SmoothGroovesCKDU #Radio #DJ #Music #Sunday #Halifax #Illville #Scotia #HipHop #Rap #RnB #HipHopSoul \\u2026 https:// instagram.com/p/7BNn7ICjlD/',negative,-0.010044642857142858
"b'Scoop the latest solo album from @RyszkyBizness  Rap Therapy"" #halifax #hiphop #rap #NewMusicAlert https:// itunes.apple.com/us/album/id962 515784 \\u2026""'",negative,-0.05048076923076923
b'Sometimes you need a little gangsta rap to convince the Princess that she is in danger... #sleepingbeauty #halifax pic.twitter.com/PBf4x1fjVu',negative,-0.10529119318181818
"b""Fun new rap album from Halifax 's @Wordburglar w/ comedy and Canadiana - https:// itunes.apple.com/ca/album/rappl icable-skills/id1029191239 \\u2026""",negative,-0.0070037841796875
b'Ear 2 The Street EP 1 - J Jigga John Bus It #hiphop #halifax #busit #talent #canadastop5 #openyoureyes #rap #flow https:// youtu.be/B5IuEWMgeiU',negative,-0.0078125
"b'Scoop the latest solo album from @RyszkyBizness  Rap Therapy"" #halifax #hiphop #rap #NewMusicAlert https:// itunes.apple.com/us/album/id962 515784 \\u2026""'",negative,-0.05048076923076923
b'WE NEED ANOTHER RAP CONCERT IN SYDNEY OR HALIFAX OR SOMETHING!!',negative,-0.05915178571428571
b'https://www. youtube.com/watch?v=rHQ_xU WrdL8 \\u2026 #hiphop #canada #chicago #chiraq #beef #unsigned #recordlabels #halifax #realmusic #rapmusic #music #rap #artist',negative,-0.012867647058823529
b'#Listen to $ mooth Groove$ #August 23rd #2015 here: https://www. mixcloud.com/rssmooth/mooth -groove-august-23rd-2015-ckdu-881-fm-hosted-by-r-mooth/ \\u2026 #HipHop #Rap #RnB #HipHopSoul #Reggae #Soca #Halifax #Radio #DJ',negative,-0.030048076923076924
"b""Halifax rapper @wordburglar is back with an album inspired by '90s-era boom bap rap groups: http:// goo.gl/1896Rm pic.twitter.com/P2lKX9OW9k""",negative,-0.028846153846153848
b'#music #bars #artist #rap #newrap #flow #HipHop #style #canada #halifax #beats # Rigity with some bars. pic.twitter.com/BQmez5UvLC',negative,-0.010393415178571428
"b'Scoop the latest solo album from @RyszkyBizness  Rap Therapy"" #halifax #hiphop #rap #NewMusicAlert https:// itunes.apple.com/us/album/id962 515784 \\u2026""'",negative,-0.05048076923076923
b'Any rap shows in Halifax tonight?',negative,-0.087890625
b'@rljd grab a DJ and make more music. The world needs the words of the Halifax Rap Legend.',negative,-0.015799088705187293
b'Having a weird night! Rap show with laoo pre #DCAF feat #Wordburgular #Halifax #fridaynight #funtimes \\u2026 https:// instagram.com/p/6YyNfcRAd2/',negative,-0.034877232142857144
b'#Halifax Word Nerd: Halifax rap star Wordburglar gets nerdy with his latest releas... http:// bit.ly/1TtcM8p #NovaScotia #Music',positive,0.004099718297948129
"b'#Peaceeast #festival #NovaScotia Aug 14 to 16, $40 entire weekend #music #mmj #rap #THCclub #dj #camping #Halifax https:// twitter.com/SHiFTFROMTHA90 2/status/623205385328050180 \\u2026'",netural,0.0
b'https:// soundcloud.com/thewemusicprod uctions/free-the-fellas-bno-never?fb_action_ids=10151858498527982&fb_action_types=og.likes&fb_source=other_multiline&action_object_map=%5B556472471090147%5D&action_type_map=%5B%22og.likes%22%5D&action_ref_map=%5B%5D&fb_collection_id=10151187543611799&ref=profile \\u2026 #remix #DrakeVsMeek #hiphop #talent #unsigned #Canada #Halifax #rap #goodmusic #truth #realmusic #recordlabel',positive,0.002232142857142857
"b""@IamJJ3 saw u today in Halifax watching the National final between Ontario and Nova Scotia wanted a picture but didn't get the chance #raps""",positive,0.02241948109739871
"b'https://www. youtube.com/watch?v=jZZ378 Y87mU \\u2026 B\'No Fiendz callin #rap #DrakeVsMe #HIPHOPMUSIC #Recordlabel #usigned #halifax #Canada #trapmusic #trapqueen""'",negative,-0.0224609375
b'#ghettobarbie #branddo #twerk #new #single #barbieworld #rap #hiphop #hali #halifax #novascotia \\u2026 https:// instagram.com/p/6BcC5XH8Ie/',negative,-0.01525409405048077
b'https://www. reverbnation.com/bno5?profile_v iew_source=header_icon_nav \\u2026 #unsigned #Recordlabel #DrakevrsMeek #Hiphop #Canada #halifax #rap #music #youtube #reverbnation',negative,-0.014508928571428572
b'throwback to last week when my face was on a poster for a halifax show https:// twitter.com/rljd/status/62 5740753990516737 \\u2026',negative,-0.013983832465277778
b'I love it when they play explicit rap songs at little sushi restaurants dt Halifax',positive,0.026562586426734924
"b""last night I performed in Halifax , NS for the 1st time today i went to PEI for the 1st time now I'm in Moncton, NB....pretty good days""",positive,0.055556919317626
b'https:// soundcloud.com/thewemusicprod uctions/free-the-fellas-bno-never?fb_action_ids=10151858498527982&fb_action_types=og.likes&fb_source=other_multiline&action_object_map=%5B556472471090147%5D&action_type_map=%5B%22og.likes%22%5D&action_ref_map=%5B%5D&fb_collection_id=10151187543611799&ref=profile \\u2026 #hiphop #canada #unsigned #RecordLabel #halifax #rap',negative,-0.028125
"b""https://www. reverbnation.com/bno5?profile_v iew_source=header_icon_nav \\u2026 B'No REVERBNATION #RecordLabel #deffjam #unsigned #Independent #artist #rap #Reverbnation #halifax #novascotia""",negative,-0.03229166666666667
"b""https://www. youtube.com/watch?v=7fUon4 50ALc \\u2026 B'No back on my game #hiphop #unsigned #UnsignedHype #unsignedartist #RecordLabel #Canada #halifax #rap""",negative,-0.032461313100961536
b'Craving garlic fingers But spent all my dough On a hot burlesque And indie rap show #noregrets #Halifax',negative,-0.025950173536936443
"b'Get thee to Plan B on G\\xf6ttingen St, #Halifax . Show w/ @rljd , @Cupcakes_n_ Rap et al starting soon. https://www. facebook.com/events/1498256 440465056/ \\u2026'",negative,-0.024360207950367647
"b'my homosexual is in 3 hours so it\'s time for a cupcake uh that should say  Halifax show"" but homosexual is true too pic.twitter.com/2lUWG41JEC""'",positive,0.025712446732954544
"b""it's a rainy day in Halifax and it's the perfect evening for some fat queer feminist hip-hop plus some burlesque and merch table make outs!""",positive,0.057373046875
b'Halifax do you remember that I have a show tonight at Plan B w/ Jesse dangerously? Doors at seven everything done by 11 PM pay what you can',positive,0.006977626255580357
"b""https://www. youtube.com/watch?v=n1JAWo tZx3g \\u2026 B'No SHE TASTE LIKE CANDY #comebackkid #hiphop #canada #halifax #rap #RecordLabel #unsigned #unsignedhype""",negative,-0.01251220703125
"b""https://www. youtube.com/watch?v=TxBLbK 5-jb8 \\u2026 B'No COOKED UP #comebackkid #rap #hiphop #canada #RecordLabel #unsigned #halifax""",negative,-0.03245192307692308
"b""https://www. youtube.com/watch?v=gflNnQ W4bYo \\u2026 B'No Coco REMIX #independant #comebackkid #hiphop #canada #unsigned #unsignedhype #halifax #rap #recordlabels""",negative,-0.0263671875
b'I finally made it to halifax . tomorrow (Monday) I have a show at plan B come see me rap with jesse dangerously and some naked friends xo',positive,0.0034054528478124624
b'I guess the Apple dont fall that far from the tree #Appletrees #rap #Halifax #Kanada https:// soundcloud.com/frantikfunkfor ever/frantik-dirty-dane-apple-trees \\u2026',negative,-0.030501145582932692
