text,Sentiment,Score
b'@BadAppleBrewing @Raptors Getting settled in for the biggest game of the year with some fresh beer. #CraftBeer #IPA #APA #Halifax #rtz #raps pic.twitter.com/wVYWzNfAze',negative,-0.031531890854239464
"b""#5DollarRapNight And Halifax Rap Legend @rljd s shirt is off. Now it's a party. #WhereYouAt""",negative,-0.05133928571428571
b'Halifax rap artist gets bail on murder charge with Crown\\u2019s consent https://www. localxpress.ca/local-news/hal ifax-rap-artist-gets-bail-on-murder-charge-with-crowns-consent-586701 \\u2026 via @xpress_local',negative,-0.025254250070877157
"b""Halifax rap artist gets bail on murder charge with Crown's consent http:// tinyurl.com/mkwtujn pic.twitter.com/xM0U85YAHo""",negative,-0.03777543757678359
b'#SmoothGroovesCKDU - http://www. ckdu.ca - #HipHop #RnB #Rap #Reggae #Soca #Halifax #Scotia #CKDU #Radio \\u2026 https://www. instagram.com/p/BSrbjUghgaU/',negative,-0.027644230769230768
b'#Halifax https:// twitter.com/ClydeMandelin/ status/849456695319416832 \\u2026',netural,0.0
b'Fav hip hop would be Classified from Halifax Canada fav rap artist would be Eminem. You guys kick ass too.',negative,-0.00022536057692307694
b'#SmoothGroovesCKDU - http://www. ckdu.ca - #HipHop #RnB #Rap #Reggae #Soca #CKDU #Radio #Halifax #Scotia \\u2026 https://www. instagram.com/p/BSZXZJ5hbMD/',negative,-0.027644230769230768
b'Can someone tell me which song Skepta raps about Halifax .. Because I just had a customer who said he did..',negative,-0.0438232421875
"b""Catching up on @rljd 's releases, great wordsmithery with weird beats as one would expect from a Halifax Rap Legend\\u2122 http:// bit.ly/2o9MACH""",negative,-0.02379494160413742
b'Split Adams vs. MCD rap battle at the Pavilion in Halifax : http:// youtu.be/cvnNMomRzY4?a via @YouTube',negative,-0.0328125
"b'Seeing #Weirdos with Halifax \'s @rljd means lots of cute I went to high school with him!"" and ""That\'s my friend\'s dad!"" whispers #NSFilmJobs""'",positive,0.026977949268517216
b'#dignity #glynn #halifax #hiphop #rap #scotia https://www. youtube.com/watch?v=nCRogT 8EZAs&t=2s \\u2026',positive,0.021484375
"b'Hip Hop & Rap nights coming to Halifax once a month, more info coming soon :)'",negative,-0.0433578610420227
"b""CHECK OUT MY NEW SONG WaVy !! Here's the link https:// m.youtube.com/watch?v=QU-DrE lMzaQ \\u2026 #hiphop #rap #2017 #morelife #halifax #902 #lifegoeson #wavy""",negative,-0.01934491310800825
b'#SmoothGroovesCKDU - http://www. ckdu.ca - #CKDU #Radio #Halifax #Scotia #HipHop #RnB #Rap #Reggae #Soca \\u2026 https://www. instagram.com/p/BRjSe1jByut/',negative,-0.027644230769230768
b'Check it out!!! https:// m.youtube.com/watch?v=B4Q3Ww itNI4 \\u2026 #rap #hiphop #2017 #takeasongonvacation #halifax #902',negative,-0.013582296669483185
"b'@sergeibaka_7 @Raptors all the way from #Halifax thanks for the shout out, welcome to the raps #WeTheNorth pic.twitter.com/ApdhVq7CHJ'",negative,-0.03905029296875
"b'I do tweet about things OTHER than community radio, but I have a soft spot for @CKCUFM , @CHUOFM , and @CKDU881FM . #Ottawa #Halifax'",negative,-0.006631179289384322
"b'homie said maybe the next Tonya Harding is skating around in Halifax , waiting for her chance to beat somebody down"" shock rap >""'",negative,-0.03649698992570241
b'#SmoothGroovesCKDU - http://www. ckdu.ca - #HipHop #RnB #Rap #Reggae #Soca #CKDU #Radio #DJ #Halifax \\u2026 https://www. instagram.com/p/BQtWNtWBhku/',negative,-0.027644230769230768
b'Apollo 13 - Misery Loves Company FREE ALBUM https:// djdirtydane.bandcamp.com/album/misery-l oves-company \\u2026 #hiphop #rap #freemusic #halifax',positive,0.0013020833333333333
b'Dirty Dane - Gemstoned (INSTRUMENTAL ALBUM) https:// djdirtydane.bandcamp.com/album/gemstoned #hiphop #rap #instrumentals #beats #halifax',negative,-0.07888285319010417
b'Apollo 13 - Misery Loves Company (FREE ALBUM) https:// djdirtydane.bandcamp.com/album/misery-l oves-company \\u2026 #hiphop #rap #freemusic #halifax',positive,0.0013020833333333333
b'@GreezyCHK #HDP #ItsTheGang #TeamNasa #scotian#rap #artist#Halifax #Local #musicnovascotia \\u2026 https://www. instagram.com/p/BQos1fqA_Jz/',negative,-0.029947916666666668
"b""Finally get a rap show in Halifax and it's Hopsin trash""",negative,-0.039066451861539724
b'@Matt__Devlin thanks for the Halifax shout out on that 3!! Go raps !!',positive,0.005208333333333333
b'we will rap up well its going to be though but fax can win if we cut out the mistakes and penalties up the Fax',positive,0.0031546238606756033
b'@icudgivatityfuk https:// youtu.be/onqccLpoUmY?li st=UUsTKWod8kr6wZjwhx-IUlxw \\u2026 #Remix #OutNow #HipHop #Rap #Canada #Ontario #Toronto #Vancouver #Halifax #Montreal #LA #NewYork',negative,-0.015625
b'Dirty Dane - Gemstoned (Instrumental Album) https:// djdirtydane.bandcamp.com/album/gemstoned #hiphop #rap #rnb #halifax #beats #instrumental #dreampop #vaporwave',negative,-0.06102294921875
b'#hiphop #rap #halifax https:// soundcloud.com/frantikfunkfor ever/paradise-frantik-schminey \\u2026',negative,-0.059895833333333336
b'#Reggae #dub #dancehall #hiphop #rap #halifax https:// soundcloud.com/frantikfunkfor ever/gotta-keep-it-going-frantik-kinz \\u2026',negative,-0.022729787548252552
b'https://www. youtube.com/watch?v=A9y9kz PIdGU \\u2026 #horror #hiphop #halifax #rap #dark #felixthecat',negative,-0.0537841796875
b'Frantik & Schminey - Paradise (Ft. Nicolae Constantin & Alycia Vyanna Duncan) https:// djdirtydane.bandcamp.com/track/paradise -ft-nicolae-constantin-alycia-vyanna-duncan \\u2026 #hiphop #rnb #rap #halifax',negative,-0.019791666666666666
"b""are you going to be in Brooklyn tomorrow? I'm a life-long Raps fan and it'll be my first game. All the way from Halifax \\u2013 bei BluePearl Veterinary Partners""",positive,0.0014299669419415295
b'Apollo 13 - The Loser (Music Video) https:// youtu.be/TB6M0jsyx2c #hiphop #rap #musicvideos #halifax',negative,-0.05555555555555555
"b""Raps broadcast should get some Maritime locales in. Charlottetown! Sydney! Moncton! Saint John and/or St. John's! Halifax ! etc.""",positive,0.011158738354944424
"b'He was in Halifax . The raps had training camp here. Alex against the Sixers. Oliver Miller ran off the benchmark a fight"".""'",negative,-0.015772732996662275
b'New tape! fun with it! #rnb #hiphop #rap #halifax https:// djdirtydane.bandcamp.com/album/august-f unk \\u2026',negative,-0.027154541015625
"b""y'all need to go further east than Montreal in Canada; Halifax needs more rap man""",negative,-0.04231770767364651
"b'Again, for NYE if any party in Halifax needs a DJ who likes rap and probably Caribbean music now too, plz hmu I am ready to be a DJ now'",positive,0.019810267857142856
b'NEW TRACK OUT!!! LINK IS IN BIOOOOOO! #LifeGoesOn #LGO #2016 #Rap #Hiphop #halifax https://www. instagram.com/p/BOlUCG-hWSc/',negative,-0.03038995916193182
b'@lightBeam902 - Datway Prod. @AmpOnTheTrack #TrapNation #HalfiaxNoise #Halifax #Trap #Rap #NewMusic #Music #Traplord https:// soundcloud.com/mangle-shed-ma fia/lightbeam-datway-prod-by-amponthatrack \\u2026',negative,-0.011300223214285714
b'@lightBeam902 - Datway Prod. @AmpOnTheTrack #TrapMusic #TrapNation #HalfiaxNoise #Halifax #Canada #Rap #HipHop #NewMusic #mondaymotivation',negative,-0.029947916666666668
"b""On November 22, 2016 the Halifax County Sheriff's Office responded to the area of Colonial Drive in the Roanoke Rap https:// m.facebook.com/story.php?stor y_fbid=1287078584692250&id=590184561048326 \\u2026 pic.twitter.com/1Y7YA4Ez12""",negative,-0.020479202270507812
b'Scottish Santa loves his new Warren G album. #santa #rap #hiphop #halifax #christmas #mountup https://www. instagram.com/p/BN97zdIApyb/',positive,0.05064697265625
b'hi I will go to and or send people to Aparna in Halifax',positive,0.00032552182286356884
b'This is great.. #vegan rap . (Dont use the name of an #animal as an insult.) #halifax https://www. youtube.com/watch?v=qACxfK B3iP4 \\u2026',negative,-0.05078125
b'RAPs ~ Year Ender ~ RAP Battles ~ Royal Styles vs Dangerous Lyrics ~ Noah Carter VS Braile ~\\u2026 http:// halevents.ca/halifax-dartmo uth-bedford-sackville-ns-events/2214/raps-year-ender-rap-battles-royal-styles-vs-dangerous-lyrics-noah-carter-vs-braile-napawm-vs-frantik-winter-lachesis-vs-serenade/?utm_source=dlvr.it&utm_medium=twitter \\u2026 #halevents #halifax pic.twitter.com/GUAFFti9zJ',negative,-0.040482954545454544
b'The farewell tour raps up Dec. 20. Pce Halifax',netural,0.0
"b""As Halifax 's murder rates rise, many focus on the stereotypes of a rap scene: http:// bit.ly/2gkKiQu pic.twitter.com/qGC5P2llFH""",negative,-0.005198160807291667
"b'Toronto friends to each other: She\'s pretty upset, she\'s thinking of moving back to Halifax !!""""'",positive,0.00095367431640625
"b""As Halifax 's Murder Rates Rise, Many Focus on the Stereotypes of a Rap Scene https:// noisey.vice.com/en_ca/article/ as-halifaxs-murder-rates-rise-many-focus-on-the-stereotypes-of-a-rap-scene?utm_source=noiseyfbgca \\u2026 via @noiseymusic""",negative,-0.027303059895833332
"b""As Halifax 's murder rates rise, many focus on the stereotypes of a rap scene: http:// bit.ly/2gkKiQu pic.twitter.com/65iBb0Twjk""",negative,-0.005198160807291667
"b'As Halifax \\u2019s murder rates rise, many focus on the stereotypes of a rap scene. http:// bit.ly/2gmSwZq'",negative,-0.005670720880681818
"b""As Halifax 's Murder Rates Rise, Many Focus on the Stereotypes of a Rap Scene http:// dlvr.it/MhC1LT""",negative,-0.02978515625
b'https:// soundcloud.com/steelehiphop90 2/red-roots \\u2026 new song called Red Roots #NativeAmerican #Indigenous #FirstNation #MicMaq #Hiphop #Rap #Halifax #NovaScotia #truth',positive,0.0171042258358177
"b'Kids in the Hall are the world\'s hippest comedians!"" "" Halifax = new Seattle!"" ""Kardinal Offishall is rap \'s northern soul!""""'",negative,-0.010671762319711538
b'Autographing my mix-tape for fans in Canada #OriginalGameChanger #Canada #Halifax #Rap \\u2026 https://www. instagram.com/p/BMo50PUBI2q/',negative,-0.0328125
b'Part 2 of Gym Music/ Pump Up Music is up! Very hip hop/ rap inspired! #halifax #halifaxblogger #sportsblogger https:// bluenoserathletics.wordpress.com/2016/11/09/blu enoser-athletics-gym-playlistpump-up-music-2016-update-more-music/ \\u2026',positive,0.021205357142857144
b'#SmoothGroovesCKDU - http://www. ckdu.ca - #CKDU #Radio #Halifax #Scotia #HipHop #RnB #Rap #Reggae #Soca \\u2026 https://www. instagram.com/p/BMepJ1oBvjr/',negative,-0.027644230769230768
b'Mohammad Ali ( @SocialistHipHop ) rocks the stage with a rap for free tuition at #Halifax Day of Action. #AllOutNov2 #NSpoli #CFSFCE #canlab pic.twitter.com/sMvmjyQPRo',negative,-0.02324676513671875
2,46,14
