username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
NSRasta;2017-10-16 06:07;0;1;"It's time #Halifax get up! #GoodMorning Rock this town! #NsR #Music #Video Stray Cats #NowPlaying https://www. youtube.com/watch?v=zk_Wpq VFYZg …";;;#Halifax #GoodMorning #NsR #Music #Video #NowPlaying;"919852187739705344";https://twitter.com/NSRasta/status/919852187739705344
ESpoonful;2017-09-02 20:09;0;1;"Shred babuly shred! - - - - #rock #rockmusic #canada #canadianmusic #canadianrock #halifax … https://www. instagram.com/p/BYjnr6yglns/";;;#rock #rockmusic #canada #canadianmusic #canadianrock #halifax;"904119230257356800";https://twitter.com/ESpoonful/status/904119230257356800
LogManMaritimes;2017-08-18 19:38;1;0;"Some awesome Halifax swag from @Live105HRM and @HotCountry1035 ! #swag #Halifax #radio #rockmusic #CountryMusic pic.twitter.com/piwIw57muj";;@Live105HRM @HotCountry1035;#swag #Halifax #radio #rockmusic #CountryMusic;"898675504865304580";https://twitter.com/LogManMaritimes/status/898675504865304580
jonnyjonesEDU;2017-07-28 13:09;1;0;"An awesome, nostalgic #Spotify #playlist #halifax #halifaxmusic #zoobar #yorkshire #rockmusic #numetal #punkrock #uk https:// open.spotify.com/user/jaykayray /playlist/1bTQ30tiKbUyEo0OT1jPH8?si=NUFCWsmd …";;;#Spotify #playlist #halifax #halifaxmusic #zoobar #yorkshire #rockmusic #numetal #punkrock #uk;"890967368414973954";https://twitter.com/jonnyjonesEDU/status/890967368414973954
SurfsUpDudez;2017-07-10 15:40;0;2;""Well I'm a broken man on a Halifax pier... The last of Barrett's Privateers" - @Real_McKenzies #MusicMonday #Scottish #Rock #Music";;@Real_McKenzies;#MusicMonday #Scottish #Rock #Music;"884482500537442305";https://twitter.com/SurfsUpDudez/status/884482500537442305
rebeccaculpan;2017-07-07 14:35;0;0;"Would like to say a huge Thank you to the Halifax ROCK AND ROLL Club for there kind donation of £500 .the music was fantastic too xxx";;;;"883378969265025024";https://twitter.com/rebeccaculpan/status/883378969265025024
trinasampson11;2017-06-30 07:16;0;3;"Check out #Halifax rock band @BriteVU ! & latest video "Comin Home" #EastCoastRock #Canada #NovaScotia411 #music https:// youtu.be/iI-Y2B9NqMU";;@BriteVU;#Halifax #EastCoastRock #Canada #NovaScotia411 #music;"880731708668211201";https://twitter.com/trinasampson11/status/880731708668211201
Arroundtable;2017-06-06 23:19;0;0;"Are you a fan of #TheBeatles ? Halifax psych- rock band #Walrus is totally inspired by music from that era and it... http:// fb.me/8Odpom4zs";;;#TheBeatles #Walrus;"872276898302308353";https://twitter.com/Arroundtable/status/872276898302308353
igneous_rock;2017-05-26 16:18;0;0;"Halifax (C64) - Title Theme Music https:// youtu.be/n4XDbnQR5lg @YouTube さんから";;@YouTube;;"868184516208214016";https://twitter.com/igneous_rock/status/868184516208214016
Crumplehorns;2017-05-11 10:24;2;2;"Revo Records now stock Crumplehorns music #Halifax #WestYorkshire #rockmusic #indierock #indiepop #indiemusic #alternativemusic pic.twitter.com/Xrgus7aJaV";;;#Halifax #WestYorkshire #rockmusic #indierock #indiepop #indiemusic #alternativemusic;"862659576251985921";https://twitter.com/Crumplehorns/status/862659576251985921
