username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Phylli77;2015-04-17 18:36;2;2;"Some Folk/ Rock music w/David Bradshaw & @NoahTyeMusic tonight @rockbotmbrewpub @David_Bradshaw1 ,10pm @halifaxbloggers #livemusic #Halifax";;@NoahTyeMusic @rockbotmbrewpub @David_Bradshaw1 @halifaxbloggers;#livemusic #Halifax;"589180592845148161";https://twitter.com/Phylli77/status/589180592845148161
AwesomenessBot;2015-04-15 21:52;0;1;"Radiohead - Just http:// bit.ly/l8Sij #Awesomeness #Halifax #Newcastle #Roc #Rock #Alternative #Music #ThomYorke #YouDoItToYourself — …";;;#Awesomeness #Halifax #Newcastle #Roc #Rock #Alternative #Music #ThomYorke #YouDoItToYourself;"588505282193547264";https://twitter.com/AwesomenessBot/status/588505282193547264
pixnvids;2015-04-15 21:47;0;1;"Radiohead - Just http:// bit.ly/l8Sij #Awesomeness #Halifax #Newcastle #Roc #Rock #Alternative #Music #ThomYorke #YouDoItToYourself";;;#Awesomeness #Halifax #Newcastle #Roc #Rock #Alternative #Music #ThomYorke #YouDoItToYourself;"588503839000649730";https://twitter.com/pixnvids/status/588503839000649730
SoNaztee;2015-04-11 12:51;0;0;"Tragically Hip concert tonight!!! #TheHip #TragicallyHip #Halifax #NS #NovaScotia #Rock #Concert #Live #Music #LiveMusic";;;#TheHip #TragicallyHip #Halifax #NS #NovaScotia #Rock #Concert #Live #Music #LiveMusic;"586919403670872065";https://twitter.com/SoNaztee/status/586919403670872065
thestarhalifax;2015-04-10 09:07;2;3;"Rock on, Halifax : In-Flight Safety, the Town Heroes score big at East Coast Music Awards http:// ow.ly/LqTcQ pic.twitter.com/ACJZCRCUUZ";;;;"586500835334578176";https://twitter.com/thestarhalifax/status/586500835334578176
Bettszee;2015-04-10 07:34;0;0;"Oh how I miss these days- Rock on, Halifax : In-Flight Safety, the Town Heroes score big at East Coast Music Awards http:// ow.ly/3xJ5Pm";;;;"586477248439517185";https://twitter.com/Bettszee/status/586477248439517185
thehalifaxnews;2015-04-09 23:31;0;0;"Rock on, Halifax : In-Flight Safety, the Town Heroes score big at East Coast Music Awards http:// bit.ly/1Cwm3y4 [via Metro] #halifax";;;#halifax;"586355684922363905";https://twitter.com/thehalifaxnews/status/586355684922363905
thestarhalifax;2015-04-09 22:52;3;13;"Rock on, Halifax : In-Flight Safety, the Town Heroes score big at East Coast Music Awards. http:// ow.ly/LpVHW pic.twitter.com/CWAfjm4Dgj";;;;"586346033631862784";https://twitter.com/thestarhalifax/status/586346033631862784
LandingSound;2015-04-04 19:52;2;1;"You can listen to our music @https://soundcloud.com/landingsound #rockmusic #Halifax .. new material coming out soon!! pic.twitter.com/oUiFUiOJ8W";;@https;#rockmusic #Halifax;"584488622117773315";https://twitter.com/LandingSound/status/584488622117773315
rightonyukon;2015-03-23 10:42;0;1;"Check out our #video for Haunted on #Rormix http:// ror.mx/b1k #canadianmusic #cdnmusic #music #rockandroll #rock #dartmouth #halifax";;;#video #Rormix #canadianmusic #cdnmusic #music #rockandroll #rock #dartmouth #halifax;"580001637806243840";https://twitter.com/rightonyukon/status/580001637806243840
