text,Sentiment,Score
"b'Ok, Halifax people definitely rock !!!!!! No real Standing ovation in Ottawa!!!! They didn\\u2019t even have to stop the music ..... GO HALIFAX !!! #virtuemoir https:// twitter.com/woodestiel/sta tus/990700506111594496 \\u2026'",positive,0.018178304036458332
"b'IN FLIGHT SAFETY PULLS OUT OF ROCK THE HUB OVER LACK OF DIVERSITY Thursday 26th April 2018 A Halifax indie rock band is pulling out of a Nova Scotia music festival, saying the lineup lacks diversity. In-Flight Safety frontman... http:// classicrock979.ca/story.php?view =21902 \\u2026'",negative,-0.00654884620949074
"b'A #Halifax indie rock band is pulling out of a Nova Scotia music festival, saying the lineup lacks diversity. https:// trib.al/THxKBPy'",negative,-0.01536865234375
b'105 Minutes of Commercial Free Uninterrupted Music NOW - 10:30AM then again from 3:45-5:30PM! * Head banging * #Halifax #HRM #HFX #NovaScotia #Canada #ROCKMusic #AltRock #Getit #LIVE105 pic.twitter.com/aCnTv6ytZv',positive,0.015299432807498507
"b""105 Minutes of Commercial Free Uninterrupted Music is NOW 'til 10:30AM! It happens all over again from 3:45-5:30PM! ROCK ON! #Halifax #HRM #HFX #LIVE105 #NovaScotia #Canada pic.twitter.com/biDhx0rOfT""",positive,0.0119140625
"b'Retweeted Orange Box Halifax ( @OrangeBoxHX ): Orange Box Rock School is perfect for those who love music . Fancy joining other 11- 16 year old musicians to make music , form a band or collaborate? Join us Mondays... https://www. facebook.com/TheBeaconHalif ax/posts/2153501477996793 \\u2026'",positive,0.053677422740819276
"b'This type of all-male guitar- rock lineup\\u2014working-class music \\u2014is itself a stereotype, born of the Bud-drinking hick (what \\u201creal men\\u201d listen to), which is a real type of person former and current, in Truro and Halifax and all over this country.'",negative,-0.0062255859375
"b""Right now, 'til 10:30AM you're inside 105 Minutes of Commercial Free ROCK ! It happens again with Lindsay fr: 3:45-5:30PM! #GetROCKINwithit #LIVE105 #Halifax #HRM #HFX #NovaScotia #Canada #ROCKMusic #listen #LIVE - Scotty & Ferne pic.twitter.com/dzM1GINLK8""",positive,0.0019087357954545455
"b'Congrats to the ECMA Nominees in the Rock Category that we\'re proud to air here at In the East Coast"" returns back in Fall 2018 on @CaperRadio 107.3FM in Sydney. @EastCoastMusic Awards are taking place two weeks from today from May 2-6 in Halifax ! #EastCoast #Halifax #ROCKMUSIC""'",positive,0.01664016719920028
b'In #Moncton #newbrunswick on tour w/ @Krosstoutmusic ! Still sick today. Going to save my vox for this week end in #halifax & #Charlottetown ! #nowplaying #livemusic #hiphop #rockmusic #canadianmusic',negative,-0.01950683564064093
"b'Tomorrow! @RedMoonRoad & @hillsburnband ! RMR will be debuting brand new material, joined by Hillsburn, a five-piece, indie- rock band from Halifax A solid night of great music ! Grab a friend with good taste in tunes and get down to The Park! https:// myparktheatre.com/event-calendar /8-pm-red-moon-road-hillsburn/ \\u2026 pic.twitter.com/IH5rtAdWrn'",positive,0.06422996909732946
