text,Sentiment,Score
"b'Halifax Harbour Bridges confirms the Macdonald Bridge WILL CLOSE this weekend: Friday, 7 p.m. - Monday, 5:30 a.m. pic.twitter.com/xQhJFhroG8'",netural,0.0
b'Main MACPASS Halifax Harbour Bridges http:// bit.ly/1WoqJRc',negative,-0.009068080357142858
b'Part of the beautiful #Halifax #halifaxharbour #VMPNS #VMPC https:// vine.co/v/e3aiPF1YVrZ',positive,0.07589285714285714
"b'H.M.C.S Ojibwa (S72), H.M.C.S Onondaga (S73) and H.M.C.S. Okanagan (S74) Oberon - Class sail up Halifax harbour . https:// twitter.com/MuseumNH/statu s/634352548284121088 \\u2026'",negative,-0.023040771484375
b'Fantastic time-lapse video (& well-scored) of in-situ removal & redecking of one of our #Halifax harbour bridges. https:// youtu.be/BvsIQ0RIUsc .',positive,0.09588068181818182
b'TBT... Boating in the Halifax Harbour when I nursed there 15 years ago. Rented a house out in the country for my... http:// fb.me/KG8PbMav',positive,0.008463541666666666
b'Sobey-it \\xaf\\\\_(\\u30c4)_/\\xaf @SobeyArtAward @jonrafman @ArtGalleryNS #halifaxharbour #JonRafman pic.twitter.com/wy4xQVAgsM',netural,0.0
"b'#tbt : The St. Roch, an #RCMP schooner, departs #Halifax Harbour in July 1944. pic.twitter.com/O52FhNsXT1'",negative,-0.0033203125
b'#TBT to 2006 when we set sail on the Tall Ship Silva in Halifax Harbour celebrating our new #tradeelite CITP\\xae|FIBP\\xaes http:// ow.ly/i/e4ubR',positive,0.020786814657705172
b'Halifax Harbour Mousepad http:// pinterest.com/pin/2717641587 41793920/ \\u2026',netural,0.0
b'Halifax Harbour Mousepad http://www. zazzle.com/halifax_harbou r_mousepad-144762588125949891?CMPN=shareicon&lang=en&rf=238238941494368899 \\u2026 #HalifaxNS #HalifaxWaterFront',positive,0.022727272727272728
b'The #Halifax harbour is so calm. #SmoothAsGlass pic.twitter.com/vbrpQUB9XW',negative,-0.01875
"b'BEAUTY shot of #halifax harbour from the harbour cam this morning! Happy Wednesday, happy Hump day! pic.twitter.com/jq0ThTXoMG'",positive,0.15123208363850912
b'View from my office overlooking #Halifax harbour. Complete with dead tree for crows. #fullmoon #supermoon #shipyard pic.twitter.com/H2GgHhSbqg',negative,-0.03794053884652945
"b'Last full day with this view, moving office again. #HalifaxHarbour #Regus \\u2026 https:// instagram.com/p/9WoWJVHvcDUb nsvEQjbivb2ol6Ua4foquw8qg0/ \\u2026'",negative,-0.00445556640625
"b'HHB CEO can\\u2019t promise Macdonald Bridge will always open on time: The CEO of Halifax Harbour Bridges, HHB, said he\\u2026 http:// dlvr.it/CZC9dw'",positive,0.0030517578125
"b'HHB CEO can\\u2019t promise Macdonald Bridge will always open on time: The CEO of Halifax Harbour Bridges, HHB, said he is not surprised th...'",positive,0.0069580078125
"b'HHB CEO can\\u2019t promise Macdonald Bridge will always open on time: The CEO of Halifax Harbour Bridges, HHB, said he is not surprised th...'",positive,0.0069580078125
"b'HHB CEO can\\u2019t promise Macdonald Bridge will always open on time: The CEO of Halifax Harbour Bridges, HHB, said he is not surprised th...'",positive,0.0069580078125
"b'HHB CEO can\\u2019t promise Macdonald Bridge will always open on time: The CEO of Halifax Harbour Bridges, HHB, said he is not surprised th...'",positive,0.0069580078125
"b'HHB CEO can\\u2019t promise Macdonald Bridge will always open on time: The CEO of Halifax Harbour Bridges, HHB, said... http:// bit.ly/1MR7hax'",negative,-0.00091552734375
"b'HHB CEO can\\u2019t promise Macdonald Bridge will always open on time: The CEO of Halifax Harbour Bridges, HHB, said... http:// bit.ly/1MR7hax'",negative,-0.00091552734375
b'Unique gift idea! Halifax Harbour 1-2-3 is a counting book for children. Save an additional 15% now until Nov. 2... http:// fb.me/7QcRNNBf8',positive,0.04931640625
"b""More delays still possible as overnight closures of Macdonald Bridge set to return: Halifax Harbour Bridges isn't\\u2026 http:// dlvr.it/CZ8Fcw""",positive,0.00174806932253497
"b'The contractor has provided a detailed root cause analysis of last week\\u2019s late openings,"" #Halifax Harbour Bridges says in release""'",positive,0.011238606770833333
b'Big Lift gets back to business with overnight bridge closures: Halifax Harbour Bridges says the Macdonald Bridge\\u2026 http:// dlvr.it/CZ5VXG',positive,0.012716471744170121
b'Theodore Tugboat heading out of Halifax Harbour #flickr https:// flic.kr/p/AhQXXx - http://www. flickr.com/photos/sizzler 68/ \\u2026 - \\xa9 Rodney Hickey Photography 2015',negative,-0.0078125
"b'CEO tells @CTVAtlantic Halifax Harbour Bridges has approved MacDonald Bridge closures for Tues., Wed. and Thurs. nights.'",positive,0.004115513392857143
"b'Halifax Harbour Bridges CEO says car pooling, not a third bridge, key to reducing congestion in rush hours. @CTVAtlantic'",negative,-0.016276057561238608
b'Full moon over Halifax Harbour ! pic.twitter.com/NipyYUEZSs',positive,0.00625
b'. @CBUBirders a Double crested Cormorant and a couple gulls by some boats at the Halifax harbour earlier today pic.twitter.com/Zl7dXMPk5k',negative,-0.007161458333333333
