username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hbtcoelho;2014-10-30 20:56;0;0;"Curtindo niver do nosso amigo kassio! Com ela daniellehbt @Pier 21 http:// instagram.com/p/uy729FLcoo/";;@Pier;;"527972277456224257";https://twitter.com/hbtcoelho/status/527972277456224257
WillTirone;2014-10-30 20:15;0;2;"My pasta sauce smells exactly like Pier 21 /TJ Maxx so take that however you will";;;;"527962037805387776";https://twitter.com/WillTirone/status/527962037805387776
MissionMusings;2014-10-30 18:09;0;0;"@Pier21 Go Canada! Your votes can make our dream for a new kitchen a reality! http:// bit.ly/KitchenForSouls";;@Pier21;;"527930252354265088";https://twitter.com/MissionMusings/status/527930252354265088
TheReelPMac;2014-10-30 14:14;0;1;"@CBCNS @nswebcams @HfxSeaportMrkt @WestinNS @Pier21 @HalifaxSeaport ...and I have trouble parallel parking a car...";;@CBCNS @nswebcams @HfxSeaportMrkt @WestinNS @Pier21 @HalifaxSeaport;;"527871110373969921";https://twitter.com/TheReelPMac/status/527871110373969921
nswebcams;2014-10-30 13:45;0;1;"@CBCNS @HfxSeaportMrkt @WestinNS @Pier21 @HalifaxSeaport we do!!";;@CBCNS @HfxSeaportMrkt @WestinNS @Pier21 @HalifaxSeaport;;"527863806039695360";https://twitter.com/nswebcams/status/527863806039695360
HelioGoias;2014-10-30 13:17;0;0;"Raindrops. @Pier 21 http:// instagram.com/p/uyHWn4Ccn-/";;@Pier;;"527856817213157376";https://twitter.com/HelioGoias/status/527856817213157376
casadaredacao;2014-10-30 13:11;0;0;"O shopping Pier 21 recebe o quiosque Better World Store, especializado na comercialização de equipamentos e acessórios em madeira ecológica";;;;"527855436528377856";https://twitter.com/casadaredacao/status/527855436528377856
museeduQuai21;2014-10-30 13:05;0;0;"RT @NewCdnMedia : In #history section, @Pier21 CEO in #Ottawa about expansion of #Halifax museum over next few months http:// newcanadianmedia.ca/item/20824-cha nges-underway-at-the-canadian-museum-of-immigration-history-at-pier-21 …";;@NewCdnMedia @Pier21;#history #Ottawa #Halifax;"527853765454757888";https://twitter.com/museeduQuai21/status/527853765454757888
moreirabk97;2014-10-30 12:19;0;0;"O filme tem no Iguatemir Brasília, no Pier 21 . Mas não tem na porra do Taguatinga Shopping!";;;;"527842254275493888";https://twitter.com/moreirabk97/status/527842254275493888
CookydoubleK;2014-10-30 09:06;0;0;"Jarinee (@Pier 21 in Vadhana, Bangkok) https://www. swarmapp.com/c/aj1MCg5P1FV";;@Pier;;"527793715721826305";https://twitter.com/CookydoubleK/status/527793715721826305
JORDAN_PIER21;2014-10-30 09:06;0;0;"RT @dwisasia http:// dwisasia.blogspot.com/2014/10/aku-da n-semua-luka-untukmu.html …";;@dwisasia;;"527793549576658944";https://twitter.com/JORDAN_PIER21/status/527793549576658944
lovepiranha07;2014-10-30 07:34;0;1;"หอยนางรมทอดมั้ยล่ะมึง :D @Pier 21 Terminal Food Court /เทอร์มินอล21 http:// instagram.com/p/uxgJ9JpJ6l/";;@Pier;;"527770619103150081";https://twitter.com/lovepiranha07/status/527770619103150081
somosotordo;2014-10-29 23:44;0;0;"@cinemarkoficial eu irei ver a esperança parte 1 no Pier 21 em Brasília as 00:01.Eu gostaria de saber se irá ter o combo com pipoca e etc...";;@cinemarkoficial;;"527652275050008577";https://twitter.com/somosotordo/status/527652275050008577
