text,Sentiment,Score
"b'@Mainstreethfx Have you voted? Pier 21 is up against the Smithsonian, voting ends at 9am ADT! https:// twitter.com/NatalieDobbin/ status/593390366977589248 \\u2026'",positive,0.0015625
b'@musecdn vote for @Pier21 in the #museumdanceoff2 vote at http:// ow.ly/MirAM voting ends April 30 at 7:59am EDT pic.twitter.com/H99241BpcE',positive,0.012073863636363636
b'I checked in at Olympia the Grill at Pier 21 on #Yelp http://www. yelp.com/biz/olympia-th e-grill-at-pier-21-galveston-2?pt=check_in&ref=twitter&v=4b \\u2026',positive,0.03415605696764859
"b""@NatalieDobbin @Pier21 @CBCNS 8000, let's crack 10,000 tonight!""",positive,0.0181640625
b'vote for Pier 21 @Pier21 #museumdanceoff2 by voting at http:// ow.ly/MirAM #dachshund puppy overlord commands! pic.twitter.com/eIhkdECv3S',positive,0.005859375
b'RT @manciniCBC : Local museum @Pier21 is in the #museumdanceoff2 against the Smithsonian. Read the adorable story: http://www. cbc.ca/1.3053160',positive,0.020355224609375
b'@markcritch Care to support a great Maritime museum? Pier 21 needs your vote & support! http:// whenyouworkatamuseum.com / #museumdanceoff2',positive,0.04152268629807692
b'@shaunmajumder Care to support a Maritime museum? Pier 21 needs your vote & support! http:// whenyouworkatamuseum.com / #museumdanceoff2',positive,0.02349853515625
b'Local museum @Pier21 is in the #museumdanceoff2 against the Smithsonian. Read the adorable story here: http://www. cbc.ca/1.3053160',positive,0.02442626953125
"b'Hey @22_Minutes heard of #museumdanceoff2 ? Pier 21 is up against the Smithsonian, help us bet them by voting today! http:// whenyouworkatamuseum.com /'",positive,0.014470880681818182
"b""Halifax's Pier 21 museum takes on international dance competition http://www. cbc.ca/1.3053160""",negative,-0.02083248572596277
b'Please keep voting @Pier21 ! Australia is awake so we need to work hard to hold onto our lead. #museumdanceoff2 ! http:// whenyouworkatamuseum.com/post/117682540 235/museum-dance-off-round-1-last-day \\u2026',positive,0.03666018428547042
"b""Olympia Grill at Pier 21 was featured in this video about must see patio's in Galveston. http:// fb.me/4sHy6Iyfv""",positive,0.005054284632205963
"b""Hey @MenWithoutHats1 fans have you seen @Pier21 's Safety Dance vid? If you like it vote often for them today! https:// twitter.com/Pier21/status/ 593366983028166656 \\u2026""",positive,0.05286627664015843
"b'Vote for Pier 21 !! Museum Dance Off 2 - Round 1, Day 8! http:// whenyouworkatamuseum.com /'",positive,0.0120086669921875
"b'Go go @Pier21 Museum Dance Off 2 - Round 1, Day 8! http:// whenyouworkatamuseum.com /'",positive,0.0037299268749646014
b'I voted for @Pier21 in the Museum Dance Off. You can too. Here. Vote early and often. http:// whenyouworkatamuseum.com /',positive,0.015190972222222222
b'Vote for Canadian Museum of Immigration at Pier 21 ! http:// whenyouworkatamuseum.com / #museumdanceoff2 #dance #iheartmuseums #CBC #Canada',negative,-0.005208333333333333
b'@giuliacabraal Kkkkkkkkk e eu j\\xe1 te vi aquele dia em bsb no pier 21 kkk',positive,0.014423076923076924
b'Check it out @VisitNovaScotia @NS_Archives @CBCNS @nsgov Pier21 can use all the help it can to beat the Smithsonian! https:// twitter.com/Pier21/status/ 593479659112783873 \\u2026',positive,0.052680225534872574
"b""@DowntownHalifax @Pier21 It's not the finals, this is still just the first round! But thanks for your support. :D""",negative,-0.0180816650390625
b'Vote for @Pier21 for the #museumdanceoff2 competition! http:// ow.ly/MgNQX Votes are unlimited! Pier21 is currently in the lead!!',negative,-0.006985751065340909
b'We did road trip activity from @PeterSeixas1 book The Big Six during @Pier21 #historicalthinking training. Worked beautifully!',positive,0.04365035736312469
"b'Pier 21 is currently 26 votes off the lead.... go vote Museum Dance Off 2 - Round 1, Day 8! http:// whenyouworkatamuseum.com /'",positive,0.013971965012994284
b'@laurenoostveen @Pier21 <3 <3 <3 Thank you!!!',netural,0.0
b'This is your hourly reminder that I am begging you all to throw @pier21 some votes! #museumdanceoff2 http:// whenyouworkatamuseum.com',positive,0.007342868381076389
"b'Thanks @DowntownHalifax Vote today, and vote often for Pier 21 ! http:// whenyouworkatamuseum.com - https:// twitter.com/DowntownHalifa x/status/593482299590729728 \\u2026'",positive,0.03125
b'@emsollows @Pier21 Yes mam',positive,0.03125
"b'COOL! Pier 21 is in a contest, and is the only #Canadian museum in the finals. Check it out #Halifax #museum https:// twitter.com/DowntownHalifa x/status/593482299590729728 \\u2026'",positive,0.04709747930367788
b'Our neighbours @Pier21 sure know how to celebrate #InternationalDanceDay ! @CBCNS @DowntownHalifax @hfxnovascotia https://www. facebook.com/permalink.php? story_fbid=519711968168373&id=210412625764977 \\u2026',positive,0.014620267427884616
