username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
thehfxghostwalk;2017-10-30 12:14;0;0;"Join Glenn tonight for the last scheduled ghost walk of the season. Meet at the Old Town Clock halfway up Citadel Hill at 8:30";;;;"925018069684154368";https://twitter.com/thehfxghostwalk/status/925018069684154368
mdsenkiw;2017-10-30 00:05;0;1;"Jabal Al Qal'a ( Citadel Hill ) aka Philadelphia back in the day… https://www. instagram.com/p/Ba2z9x7h3ohS 3jRm9hAdDT014HHlCNJZokWQjc0/ …";;;;"924834658340126721";https://twitter.com/mdsenkiw/status/924834658340126721
Wheels_Ninja;2017-10-29 22:23;0;2;"MacDonald Bridge. Prince. Duke. Carmichael. Mount Edward. Citadel Hill . Salter. Larry Uteck. Duffus.";;;;"924808835713458176";https://twitter.com/Wheels_Ninja/status/924808835713458176
208Canning;2017-10-29 15:58;0;1;"Yeah was dropping yesterday and figured it out. It’s the city. Can make out Citadel hill and the Fort. Very cool";;;;"924711951439155201";https://twitter.com/208Canning/status/924711951439155201
hem_demj;2017-10-29 15:56;0;0;"Beautiful day for a bike ride jbncj #bikelife #bikeride #sundayride #ridingbuddies #citadelhill … https://www. instagram.com/p/Ba178-XlSAP/";;;#bikelife #bikeride #sundayride #ridingbuddies #citadelhill;"924711487863644160";https://twitter.com/hem_demj/status/924711487863644160
KyleHarrietha;2017-10-29 14:53;0;0;""Searching for wayward spirits on Halifax’s Citadel Hill | CTV" http:// ctv.news/GHApEoH";;;;"924695811312816128";https://twitter.com/KyleHarrietha/status/924695811312816128
thehfxghostwalk;2017-10-29 14:46;0;0;"Ghost walk tonight. Meet Glenn at the Old Town Clock halfway up Citadel Hill at 8:30";;;;"924693933845876737";https://twitter.com/thehfxghostwalk/status/924693933845876737
HeatherButtsCTV;2017-10-29 14:34;2;48;"Beautiful day to explore #citadelhill and learn a little Canadian #history . @ParksCanada #canada150 pic.twitter.com/4cKLYp2zwi";;@ParksCanada;#citadelhill #history #canada150;"924690807109636096";https://twitter.com/HeatherButtsCTV/status/924690807109636096
HalifaxBlogs2;2017-10-28 22:04;0;0;"Searching for wayward spirits on Halifax's Citadel Hill #Halifax #bhivecan http:// dld.bz/gq7ZR";;;#Halifax #bhivecan;"924441689300897792";https://twitter.com/HalifaxBlogs2/status/924441689300897792
lokolHalifax;2017-10-28 22:00;0;0;"Searching for wayward spirits on Halifax’s Citadel Hill https:// halifax.lokol.me/s/searching-fo r-wayward-spirits-on-halifaxs-citadel-hill-744828 … #lokol #halifax";;;#lokol #halifax;"924440871340249089";https://twitter.com/lokolHalifax/status/924440871340249089
6_Sense_Media;2017-10-28 20:07;0;0;"Searching for wayward spirits on Halifax's Citadel Hill : #paranormal #6SM http:// dld.bz/gq7sr";;;#paranormal #6SM;"924412242442977280";https://twitter.com/6_Sense_Media/status/924412242442977280
HalifaxNSNews;2017-10-28 19:36;0;2;"Searching for wayward spirits on Halifax's Citadel Hill - CTV News - http:// atlantic.ctvnews.ca/searching-for- wayward-spirits-on-halifax-s-citadel-hill-1.3653606 …";;;;"924404418484645888";https://twitter.com/HalifaxNSNews/status/924404418484645888
RobbieLemon;2017-10-28 19:35;0;0;"Searching for wayward spirits on Halifax's Citadel Hill - http:// atlantic.ctvnews.ca/searching-for- wayward-spirits-on-halifax-s-citadel-hill-1.3653606 … via http:// news.google.com";;;;"924404242126917633";https://twitter.com/RobbieLemon/status/924404242126917633
CTVAtlantic;2017-10-28 18:59;4;5;"Searching for wayward spirits on Halifax’s Citadel Hill with @SBelliveauCTV http:// bit.ly/2ycOfAk pic.twitter.com/xlTat0NDa6";;@SBelliveauCTV;;"924395280316993536";https://twitter.com/CTVAtlantic/status/924395280316993536
Ian_norvic;2017-10-28 07:03;0;1;"28-31Oct16: Nova Scotia: missed most of the autumn leaves. Visited #Halifax citadel hill . #Canada #2016rtw pic.twitter.com/62NdGM5Mt9";;;#Halifax #Canada #2016rtw;"924215123241299968";https://twitter.com/Ian_norvic/status/924215123241299968
dustykeleher;2017-10-27 21:58;0;0;"Leading @thehfxghostwalk Saturday October 28 at 8:30. Meet at the Old Town Clock halfway up Citadel Hill";;@thehfxghostwalk;;"924077923883274240";https://twitter.com/dustykeleher/status/924077923883274240
thehfxghostwalk;2017-10-27 21:57;0;0;"Next ghost walk is Saturday October 28 at 8:30. Meet at the Old Town Clock halfway up Citadel Hill";;;;"924077633503219714";https://twitter.com/thehfxghostwalk/status/924077633503219714
TrueNorthDJs;2017-10-27 13:12;0;1;"Meanwhile, in the bat cave, Tonto proceeded to "jump on it. @Citadel Hill https://www. instagram.com/p/BawfRTKldW-/";;@Citadel;;"923945582766456832";https://twitter.com/TrueNorthDJs/status/923945582766456832
TrueNorthDJs;2017-10-26 19:22;0;0;"Hello Thursday! I've been waiting for You! #spinninandgrinnin @Citadel Hill https://www. instagram.com/p/BaulOxbhGCL/";;@Citadel;#spinninandgrinnin;"923676357363732480";https://twitter.com/TrueNorthDJs/status/923676357363732480
ThoughtGang811;2017-10-26 10:20;0;0;"I love the goat paths around the Common and Citadel Hill , they feel like nature trails, in the… https://www. instagram.com/p/BatnMiiFvxB/";;;;"923539944769052673";https://twitter.com/ThoughtGang811/status/923539944769052673
thehfxghostwalk;2017-10-26 09:42;1;1;"Ghost walk tonight. 8:30 start from The Old Town Clock halfway up Citadel Hill";;;;"923530201455349760";https://twitter.com/thehfxghostwalk/status/923530201455349760
danwearshats;2017-10-26 07:45;0;8;"this AM you coulda caught my puffy ass face running up and down citadel hill !! What sort of monster am I becoming??? pic.twitter.com/4rO7SUS3Ol";;;;"923500805436538880";https://twitter.com/danwearshats/status/923500805436538880
OceanOptometry;2017-10-26 00:00;0;1;"Luge: Citadel Hill , Kula Korner Right, NSCAD Slushy Left, Bups Hard Rt, St David Bless U Lft, Blowa Donair Strait, Metro chicane: Splash.";;;;"923383847710011392";https://twitter.com/OceanOptometry/status/923383847710011392
Suzanne_Rent;2017-10-25 21:38;0;0;"Yes, on Citadel Hill .";;;;"923348132779438080";https://twitter.com/Suzanne_Rent/status/923348132779438080
SyedAbbasShah;2017-10-25 19:36;0;2;"Run through waterfront and Citadel Hill with @northendrunners #strava #stravarun #run @North… https://www. instagram.com/p/BasCAHsAPHK/";;@northendrunners @North;#strava #stravarun #run;"923317455677685760";https://twitter.com/SyedAbbasShah/status/923317455677685760
SBelliveauCTV;2017-10-25 10:32;5;14;"Join us for a ghost tour of #CitadelHill - can you guess what's under this floor, 150 feet below?...It's happening Friday on @CTV_Liveat5 pic.twitter.com/2GvoM3X0HA";;@CTV_Liveat5;#CitadelHill;"923180512448978944";https://twitter.com/SBelliveauCTV/status/923180512448978944
ChMacArthur;2017-10-25 01:54;0;1;"When I moved out it was sold for 80K. Next to Commons and Citadel Hill . If only I had any money back in the day";;;;"923050038674145280";https://twitter.com/ChMacArthur/status/923050038674145280
Suzanne_Rent;2017-10-24 18:25;0;19;"There are people running backward up Citadel Hill . Meanwhile, I'm running home to have a Flaky for supper.";;;;"922937054518005760";https://twitter.com/Suzanne_Rent/status/922937054518005760
Wilbury70;2017-10-24 12:11;0;4;"Lunch outside at Citadel Hill today. #stillsummer pic.twitter.com/OeAPpMXkk2";;;#stillsummer;"922842918817112064";https://twitter.com/Wilbury70/status/922842918817112064
NBTweeters;2017-10-23 10:41;0;0;"Fireworks mishap leads to brush fire at Citadel Hill http://www. cbc.ca/news/canada/no va-scotia/fireworks-citadel-hill-fire-saturday-light-the-night-1.4366375 …";;;;"922457844816822272";https://twitter.com/NBTweeters/status/922457844816822272
Live105HRM;2017-10-23 10:20;0;0;"Sunny and 20, Mooseheads lost, and a brush fire broke out on Citadel Hill Saturday night after a firework mishap. http:// live105.ca/feed-october-2 3rd-2017/ … pic.twitter.com/HOTWkeIP7h";;;;"922452612301115398";https://twitter.com/Live105HRM/status/922452612301115398
lokolHalifax;2017-10-23 10:01;0;0;"Fireworks spark blaze at Halifax's historic Citadel Hill https:// halifax.lokol.me/s/fireworks-sp ark-blaze-at-halifaxs-historic-citadel-hill-721877 … #lokol #halifax";;;#lokol #halifax;"922447934507094017";https://twitter.com/lokolHalifax/status/922447934507094017
HalifaxNSNews;2017-10-23 08:36;0;0;"Fireworks spark blaze at Halifax's historic Citadel Hill - CTV News - http:// atlantic.ctvnews.ca/fireworks-spar k-blaze-at-halifax-s-historic-citadel-hill-1.3643698 …";;;;"922426386635096065";https://twitter.com/HalifaxNSNews/status/922426386635096065
chronicleherald;2017-10-23 06:45;0;0;"Fireworks spark grass fire on Citadel Hill http:// herald.ca/ZoKp";;;;"922398442927935488";https://twitter.com/chronicleherald/status/922398442927935488
Mix965HFX;2017-10-23 06:15;0;0;"A fire at Citadel Hill , JT's back at SB & Backstreet's back: yee haw! Your Fast Five for Oct 23: http:// bit.ly/2lardDQ pic.twitter.com/fIcKi3LtO8";;;;"922390966178369536";https://twitter.com/Mix965HFX/status/922390966178369536
CatCountryTruro;2017-10-23 06:06;0;0;"Errant firework sparks blaze at historic Citadel Hill . http:// bit.ly/2hZsuZW";;;;"922388860755152896";https://twitter.com/CatCountryTruro/status/922388860755152896
BigDogTruro;2017-10-23 06:06;0;0;"Errant firework sparks blaze at historic Citadel Hill . http:// bit.ly/2h0vntv";;;;"922388675455062017";https://twitter.com/BigDogTruro/status/922388675455062017
cbc_diff;2017-10-23 00:56;0;0;"Fireworks mishap leads to brush fire at Citadel Hill - Nova Scotia - CBC News https:// wayback.archive.org/web/2017102219 0608/http://www.cbc.ca/news/canada/nova-scotia/fireworks-citadel-hill-fire-saturday-light-the-night-1.4366375?cmp=rss … ➜ https:// wayback.archive.org/web/2017102303 5634/http://www.cbc.ca/news/canada/nova-scotia/fireworks-citadel-hill-fire-saturday-light-the-night-1.4366375?cmp=rss … pic.twitter.com/RDInIqmIwp";;;;"922310773782827008";https://twitter.com/cbc_diff/status/922310773782827008
