text,Sentiment,Score
b'Citadel Hill is a fantastic place to visit. Down near the trenches too. https:// twitter.com/VisitNovaScoti a/status/660163477886148608 \\u2026',positive,0.03991866111755371
b'Perfect night for a ghost tour at Citadel Hill Historic Site - tonight is their last night. Photo by @douglastee pic.twitter.com/sdsfms0TCu',negative,-0.006190708705357143
b'High on the hill above downtown Halifax sits Citadel Hill National Historic Site - a fort with history dating back\\u2026 http:// dlvr.it/Cbsh6r',negative,-6.103515625e-05
b'Have you ever done a Citadel Hill #ghost tour? Hal Thompson of @ParksCanada_NS is giving us the details! Tune in: http:// player.news957.com',negative,-0.0031372816995981012
b'Relaxing at the library with an amazing view of Citadel Hill .',positive,0.03173828125
b'Just posted a photo @Citadel Hill https:// instagram.com/p/9dv9pCPXejOH zH6b770LVwD5-fs6HSw9Bq8og0/ \\u2026',negative,-8.719308035714285e-06
b'Myfair #halifax #citadell @Citadel Hill https:// instagram.com/p/9ZrebTE2XC/',netural,0.0
b'Climb up hill to see a historic site behind the city wall. @Citadel Hill https:// instagram.com/p/9Yw50COJCG_Z y83_Hi_wszSIY3msu6yqEgR6s0/ \\u2026',positive,0.006165028860171636
b'New convention center at sunrise from bell rd side of citadel hill . #halifaxgrowth @Citadel Hill https:// instagram.com/p/9YKxO9mXsb/',positive,0.0020773751395089285
b'safe & secure on citadel hill #Halifax #NovaScotia #Canada #BigRedChair #Scotland still on guard pic.twitter.com/50pXaSqwF2',negative,-0.0006510416666666666
"b""@LUrbaniste the view posted demonstrates why Citadel Hill 's visual dominance is important and why we have view planes and setbacks from it.""",positive,0.0364532470703125
"b""Keep fighting until it's too much to bear : @wrinfinite #reubtravels @Citadel Hill https:// instagram.com/p/9PrhnzFkBh/""",positive,0.0004009246826171875
"b""After a night of playgrounds, burritos, & rolls down Citadel hill , 2 tiny kids are asleep in my bed; I'm on the sofa watching a movie. #win""",positive,0.016460418701171875
b'@Citadel Hill https:// instagram.com/p/9OoAI1jURf/',netural,0.0
b'from @gizzygaru Morning from Citadel Hill #sky #viewfromhere ness today #haligonia #discoverhalifax #morning \\u2026 pic.twitter.com/jrufsNXknE',positive,0.005208333333333333
b'from @gizzygaru Morning from Citadel Hill #sky #viewfromhere ness today #haligonia #discoverhalifax #morning \\u2026 pic.twitter.com/Ec9WA3QuHE',positive,0.005208333333333333
"b""I'm really missing #Halifax today. Nothing compares to laying in the warm sun on #CitadelHill or sitting on rocks beside such a vast #ocean .""",positive,0.021126302083333333
b'#ThrowbackThursday 1950: An RCMP officer stands outside a police car on top of Citadel Hill in Halifax using his... http:// fb.me/6Q9Wgfqxh',positive,0.0014789287860576923
"b'Knocking at Your door.. #budapest #Hungary @St Matthias Church, Citadel Hill , Fisherman\\u2019s Bastion\\u2026 https:// instagram.com/p/9J7KrUIwz0/'",negative,-0.0015024038461538462
b'#tbt - In 1950 an #RCMP officer in red serge stands outside a police car on Citadel Hill in #Halifax using his radio pic.twitter.com/Z1ltT91o9C',negative,-0.006615271935096154
"b'Cool pic from Saturday, just before @NocturneHalifax . Thanks for sharing! #CitadelHill #Halifax #NocHfx15 https:// twitter.com/sacha19/status /655553716972580864 \\u2026'",negative,-0.002840909090909091
b'@Zak_Bagans all of Halifax is pretty haunted and citadel hill',negative,-0.010416666666666666
b'Out here w @yourstrulykyle and austinseligphoto @Citadel Hill https:// instagram.com/p/9HxQUspGqA3f lbBAvxr3YODnA0TrIg8qNklCA0/ \\u2026',netural,0.0
b'Kevin Hart at the metro centre A ferris wheel on Citadel Hill A Delorean on Barrington St All of these attract me to downtown #Halifax',positive,0.013392857142857142
b'Just saw a canon shooting demo at #citadelhill in #Halifax . #boom #travel @Citadel Hill https:// instagram.com/p/9Gs2-nHmh1/',positive,0.024714032808939617
b'@Trench_52 Lots of fantastic winter festivals then. Be sure to check out Citadel Hill in @meethalifax and @Winterfesthiver in Fredericton!',positive,0.03589581914742788
b'Day 14: Daylight & Lamplight. #CANvsUSAtrip #citadelhill #halifax #vscocam #lantern #lamp #lamplight \\u2026 https:// instagram.com/p/9FE6hjLkqm/',positive,0.0028076171875
b'Citadel Hill family portrait - a family tradition! #Andrecyk pic.twitter.com/xM9Zenb5m2',positive,0.00390625
b'add me on snapchat (sianlathrop) to see me and @elinabloom take a shopping cart down citadel hill',positive,0.008180047478839469
b'Tiny view through to city on #citadelhill @DowntownHalifax pic.twitter.com/VaIsCCK9vC',negative,-0.004557291666666667
"b""Not the best pic but who cares. It's a ferris wheel on #citadelhill ! #halifax #halifaxns #novascotia \\u2026 https:// instagram.com/p/8_PReSAiJT/""",positive,0.06995738636363637
b'sian and i found a shopping cart and we are now dragging it up citadel hill',negative,-0.018293108258928572
b'Ferris wheel on Citadel Hill #NocHfx15 pic.twitter.com/qWPA1TX7tl',netural,0.0
b'@Citadel Hill https:// instagram.com/p/8-v1aehOb0/',netural,0.0
b'Saw a woman with a retriever playing on Citadel Hill . Both were having a blast and living the dream. #givemeadog',positive,0.0015625
b'Scenes from Nocturne Halifax at Citadel Hill .',negative,-0.00703125
"b'Ferris Wheel. Citadel Hill . But is it art?"" pic.twitter.com/Cbp4iI9k5i""'",netural,0.0
b'My silent companion (with baby) on the Citadel Hill ferris wheel #NocHfx15 pic.twitter.com/l1frHFcw63',negative,-0.011284722222222222
b'Pretty sure I broke my foot on Citadel Hill tonight but I kept going for another 5 hours lol',negative,-0.029085554717172113
b'Citadel Hill #HalifaxAtNight #nochfx2015 http:// fb.me/6ZWIlCu0Q',netural,0.0
b'Ferris wheel on citadel hill #nocturnehalifax https:// instagram.com/p/89v2naQZKW/',netural,0.0
"b'Ferris Wheel tonight on top of Citadel Hill . An installation by artist, Anna Sprague for Nocturne.\\u2026 https:// instagram.com/p/89raxVh-rG/'",negative,-0.00030048076923076925
b'Midnight Ferris wheel ride on the top of Citadel Hill . #nocturne #nocturnehalifax2015 #loverides \\u2026 https:// instagram.com/p/89q2N4qH9r/',negative,-0.0029296875
b'Currently atop the Ferris wheel atop Citadel Hill ... #Nocturne2015 pic.twitter.com/0bMFYr1NeV',netural,0.0
b'I saw a giraffe with a metal-blasting boombox fall down on Citadel Hill #NocHfx15',positive,0.007331966971833026
"b' @alangdon17 : can the Ferris wheel be permanent on Citadel Hill ? that\'s pretty cool.""""'",negative,-0.015625
b'@photomunn #gr8pic #FerrisWheel #Nocturne #Halifax #CitadelHill #WayCool Who saw it? #Creative #Arts \\u2026 https:// instagram.com/p/89nOcVpuHR/',positive,0.016927083333333332
b'Pretty please can we keep the Ferris wheel on Citadel Hill ?! @NocturneHalifax pic.twitter.com/T1mJdJTXUc',positive,0.0277756585015191
"b'Citadel Hill Ferris Wheel. Possibly best night of the year in Halifax. Excellent energy, lots of\\u2026 https:// instagram.com/p/89jvEcthvX/'",positive,0.07896205357142858
"b""can the Ferris wheel be permanent on Citadel Hill ? that's pretty cool.""",negative,-0.017857142857142856
"b""I wiped out on Citadel Hill tonight and it hurt so bad and I'm permanently scarred but if someone got a video it would've been so funny""",negative,-0.05355175390165338
b'Ferris wheel on the hill. #nochfx15 @Citadel Hill https:// instagram.com/p/89iy27zh8O/',netural,0.0
b'Citadel Hill Ferris Wheel. #NocturneHalifax pic.twitter.com/d3UlAZyUoa',netural,0.0
b'Fun times in Halifax tonight for the nocturne festival! @Citadel Hill https:// instagram.com/p/89iQHSye_g/',positive,0.0171875
"b'Same kind of lines greeted @ThomasMulcair up and down Citadel Hill in Halifax, o/s WTCC @AdamScotti @diamondisinger @JustinTrudeau #elxn42'",positive,0.0026443799336751304
b'In top of Citadel Hill with #nochfx15 https:// instagram.com/p/89f4OYjVll/',negative,-0.0006510416666666666
"b""It's not every day that we get to have a ferris wheel on Citadel Hill ! #halifax #NocHfx15 pic.twitter.com/eZKtghmB5y""",negative,-0.010684860357691327
b'Veiw from Citadel Hill tonigtt #halifax #novascotia #cityscape https:// instagram.com/p/89dCVNp0wv/',netural,0.0
