username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KozziImages;2015-04-29 20:43;2;2;"Citadel Hill Fort Halifax Canada http:// bit.ly/1InilxJ #Image #Photo 30 Days FREE $4.95 per month after 30 days pic.twitter.com/7eLxgBZwb0";;;#Image #Photo;"593561153839595520";https://twitter.com/KozziImages/status/593561153839595520
timlingley;2015-04-29 16:25;0;0;"Got out for a walk today. That sky is pretty sweet. #Fuji #x100T #street #citadelhill #halifax … https:// instagram.com/p/2Egxi2qTPw/";;;#Fuji #x100T #street #citadelhill #halifax;"593496387855187968";https://twitter.com/timlingley/status/593496387855187968
sculpette;2015-04-28 13:16;1;0;"Outdoor HIIT Bootcamp is on tomorrow! It may be snowing today, but tomorrow we are back! Citadel Hill , 6pm. Don't miss it!";;;;"593086463690018816";https://twitter.com/sculpette/status/593086463690018816
ianloughead;2015-04-27 11:03;0;4;"No medal at the 5K Citadel Hill race yesterday but knocked 26 secs off my best time for that race. Training smarter helps. @KinesicSportLab";;@KinesicSportLab;;"592690639210418178";https://twitter.com/ianloughead/status/592690639210418178
KendraRunsFast;2015-04-26 21:02;0;1;"@paris_andrew Sad I missed seeing your epic race! Great day on Citadel Hill ! Wicked job my friend! Way to run!";;@paris_andrew;;"592478810899128320";https://twitter.com/KendraRunsFast/status/592478810899128320
DanIveyRunner;2015-04-26 19:36;0;0;"MEC 5K Run at Citadel Hill Official time of 27mins 53 secs. Placed 33rd by Derrick Thibeau via Runfies of the world http:// ift.tt/1KllYn2";;;;"592457176771334145";https://twitter.com/DanIveyRunner/status/592457176771334145
NovaBrunswick;2015-04-26 16:33;0;0;"Photo tour of Halifax, Nova Scotia -- Town Clock on Citadel Hill -Halifax Harbor in the background http:// pinterest.com/pin/2894970822 73811959/ …";;;;"592411278980841472";https://twitter.com/NovaBrunswick/status/592411278980841472
justskp;2015-04-26 16:14;0;1;"Good morning Halifax. #sunrise #citadelhill pic.twitter.com/JakoySYRfr";;;#sunrise #citadelhill;"592406461910769664";https://twitter.com/justskp/status/592406461910769664
kambojsimran;2015-04-26 14:45;0;0;"Good afternoon Halifax! #roadtrip #eastcoast #canada @Citadel Hill https:// instagram.com/p/18m86Bw89y/";;@Citadel;#roadtrip #eastcoast #canada;"592384072598552577";https://twitter.com/kambojsimran/status/592384072598552577
jennhoegg;2015-04-26 12:01;1;3;"That moment where you're next to citadel hill at noon for the first time in a decade. Jumped a little!";;;;"592342650927349761";https://twitter.com/jennhoegg/status/592342650927349761
