username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
1DougSimpson;2017-10-30 18:04;2;0;"#missingpersons your game? Help us find #novascotia #peggyscove namesake. Descendants contact us please. https://www. facebook.com/groups/1817465 075233760/ …";;;#missingpersons #novascotia #peggyscove;"925106198575243264";https://twitter.com/1DougSimpson/status/925106198575243264
Pickleballtrav;2017-10-30 17:16;0;1;"Big waves! #stormwatching #peggyscove #novascotia @Peggy's Cove, Nova Scotia https://www. instagram.com/p/Ba4px1FBiUx/";;@Peggy;#stormwatching #peggyscove #novascotia;"925093972631986176";https://twitter.com/Pickleballtrav/status/925093972631986176
1DougSimpson;2017-10-30 15:52;0;0;"Love playing #detective ? Help ID #novascotia #peggyscove namesake? Info is out there. Descendants contact us please. https://www. facebook.com/groups/1817465 075233760/ …";;;#detective #novascotia #peggyscove;"925072902550155264";https://twitter.com/1DougSimpson/status/925072902550155264
vesinetgirl;2017-10-30 14:01;0;0;"Shouldn't you be WARNING people about getting 2close2 the danger on the rocks instead of just showing a guy standing too close? #PeggysCove";;;#PeggysCove;"925045049645305857";https://twitter.com/vesinetgirl/status/925045049645305857
LanesImages;2017-10-30 12:45;0;0;"Shot of the Week: Peggy's Cove https:// buff.ly/2gUhWyu #peggyscove #novascotia #roadtrip #canada #foggyday #shotoftheweek #imagesbylane pic.twitter.com/i54UX5m7B9";;;#peggyscove #novascotia #roadtrip #canada #foggyday #shotoftheweek #imagesbylane;"925025834599092225";https://twitter.com/LanesImages/status/925025834599092225
1DougSimpson;2017-10-30 11:35;1;1;"What was the #birthname of #novascotia #peggyscove namesake? Descendants contact us please. https://www. facebook.com/groups/1817465 075233760/ …";;;#birthname #novascotia #peggyscove;"925008218849505281";https://twitter.com/1DougSimpson/status/925008218849505281
1DougSimpson;2017-10-30 10:12;0;0;"Have U seen the post by the #descendant of #novascotia #peggyscove namesake? Descendants contact us please. https://www. facebook.com/groups/1817465 075233760/ …";;;#descendant #novascotia #peggyscove;"924987353118232577";https://twitter.com/1DougSimpson/status/924987353118232577
NateTWN;2017-10-30 07:41;2;12;"A nice burst of colour during sunrise #PeggysCove @EmilyTWN @MurphTWN @michellemackey #ShareYourWeather pic.twitter.com/UnVEeFjA3j";;@EmilyTWN @MurphTWN @michellemackey;#PeggysCove #ShareYourWeather;"924949402606755840";https://twitter.com/NateTWN/status/924949402606755840
hincheycom;2017-10-29 22:08;0;0;"Maritimes Trip Was Great 2017 - Peggys Cove Surf 4: http:// youtu.be/EuXhIU-xlJw?a via @YouTube";;@YouTube;;"924805167853260801";https://twitter.com/hincheycom/status/924805167853260801
hincheycom;2017-10-29 22:08;0;0;"Maritimes Trip Was Great 2017 - Peggys Cove Surf 2: http:// youtu.be/hLQb7SZmUu0?a via @YouTube";;@YouTube;;"924805167270285312";https://twitter.com/hincheycom/status/924805167270285312
hincheycom;2017-10-29 22:08;0;0;"Maritimes Trip Was Great 2017 - Peggys Cove Surf 3: http:// youtu.be/sA9QSUmvWCs?a via @YouTube";;@YouTube;;"924805166922190849";https://twitter.com/hincheycom/status/924805166922190849
hincheycom;2017-10-29 22:08;0;0;"Maritimes Trip Was Great 2017 - Peggys Cove Surf 1: http:// youtu.be/vUZ19sLakSA?a via @YouTube";;@YouTube;;"924805162845261824";https://twitter.com/hincheycom/status/924805162845261824
1DougSimpson;2017-10-29 21:21;1;0;"Have U seen the post by the #descendant of #novascotia #peggyscove namesake? Descendants contact us please. https://www. facebook.com/groups/1817465 075233760/ …";;;#descendant #novascotia #peggyscove;"924793270571601920";https://twitter.com/1DougSimpson/status/924793270571601920
KAPnRob;2017-10-29 19:35;5;4;"The Harbour At Peggys Cove . http:// rob-huntley.pixels.com/featured/the-h arbour-at-peggys-cove-rob-huntley.html … #peggyscove #novascotia #harbour #fishing #fineart #photography pic.twitter.com/Y0BSPbSxrl";;;#peggyscove #novascotia #harbour #fishing #fineart #photography;"924766648699060225";https://twitter.com/KAPnRob/status/924766648699060225
mikeorgan_photo;2017-10-29 17:45;0;0;"Moonlight lit up Peggy’s Cove lighthouse quite well last night. . . . . #peggyscove … https://www. instagram.com/p/Ba2Ibx4FWiG/";;;#peggyscove;"924738927046643713";https://twitter.com/mikeorgan_photo/status/924738927046643713
