text,Sentiment,Score
"b'The #PeggysCove Lighthouse, near #Halifax , is one of the most popular tourist attractions in #NovaScotia . http:// ow.ly/qkixe'",netural,0.0
"b""Can't wait until our next adventure! #vscocam #photography #peggyscove #canada #latergram #travel http:// instagram.com/p/gFk5sDhfXt/""",negative,-0.001201923076923077
"b""Peggy's Cove. Absolutely beautiful #loop #nature #Atlantic #Halifax #peggyscove #revine https:// vine.co/v/hDvmbTLOVrL""",positive,0.09635416666666667
b'Peggys cove @Peggys Point Lighthouse http:// instagram.com/p/gDqSo7xfIF/',positive,0.0008784702845982143
b'#PeggysCove #NovaScotia on a #foggy day http:// instagram.com/p/gA-LEQwRvM/',negative,-0.06990559895833333
b'On tour with #german family visiting #Halifax enjoying the sites around #peggyscove @aida_de Abella pic.twitter.com/NfhPb0B3op',positive,0.04039417613636364
b'I fell in love with the east coast. #vscocam #iphone #sky #sunset #peggyscove #novascotia #canada \\u2026 http:// instagram.com/p/gAFmcnB-nM/',positive,0.036057692307692304
b'Mission accomplished today! #vintageshopping #peggyscove #ocean #beet jengetsaround @Halifax\\u2026 http:// instagram.com/p/f-9RKIlmYX/',positive,0.005681818181818182
b'#PeggysCove is beautiful pic.twitter.com/4LisbDZKeh',positive,0.17708333333333334
b'#travel piece in the #Calgary Herald about #peggyscove and our #hiking tour that we provide in the area http://www. calgaryherald.com/travel/your+Na na+Peggy+Cove/9083641/story.html \\u2026 Please RT',positive,0.020167759486607144
b'#peggyscove #halifax #novascotia #pretty #water #rocks #throwers http:// instagram.com/p/f9Lh5NmMzS/',negative,-0.005099826388888889
b'#peggyscove http:// instagram.com/p/f8aIWnKFlw/',netural,0.0
b'LIGHTHOUSE #Peggyscove near#Halifax in #Novascotia by OneELPhotography http:// etsy.me/1hiPjBh via @Etsy #Lighthouse #photography',netural,0.0
"b'Awesome shout out from #PeggysCove ! Get well soon, Michelle! #nswebcams pic.twitter.com/AMlLJLH9ea'",positive,0.07053743489583333
"b'The #PeggysCove Lighthouse, near #Halifax , is one of the most popular tourist attractions in #NovaScotia . http:// ow.ly/qclaZ'",netural,0.0
b'Leaving the nish and re-entering civilization for the first time in two months! #halifaxbound #peggyscove @hannahpollock @HaileyPollock',positive,0.016790771484375
"b'Buon sabato con http://www. ilcanadese.it ! (nella foto Peggys Cove , Nova Scotia) http:// fb.me/6pQH3YROY'",netural,0.0
"b""Ok @rhubarb_resto that's was the best Kale/Caesar I have ever had! #foodie #delish @OceanstoneNS #peggyscove #novascotia""",positive,0.05625
b'#PeggysCove is absolutely beautiful! #NovaScotia',positive,0.2265625
"b""Peggy's cove! #novascotia #peggyscove #feelslikehome http:// instagram.com/p/f5to3mPKft/""",netural,0.0
b'My view for the next few days! @OceanstoneNS @Jeanne_Beker #peggyscove #novascotia #JBWomensWknd #oceanside pic.twitter.com/YQcmpZqtNd',negative,-0.000927734375
"b""Peggy's Cove (Nova Scotia) #peggyscove #canada #lighthouse #famous #beautifulday http:// instagram.com/p/f5RgS6FZdy/""",positive,0.017045454545454544
b'Baby I will get you wetter than the rocks in peggys cove #halifaxpickuplines',positive,0.002088682067031706
"b""Shooting at Peggy's Cove #peggyscove w #talented #wforrestphotography #contestprep #juliebonnett \\u2026 http:// instagram.com/p/f3jF0QF-Yq/""",positive,0.022699399427934128
"b'Oct. 26th \\u2018The Persuaders\\u2019 play Seabright Legion"" (Halloween party) 11169 Peggys Cove Rd #Halifax""'",positive,0.0030185444788499312
b'RT @wegotwo Peggys Cove in Photos http://www. dangerous-business.com/2012/06/peggys -cove-photos/ \\u2026 \\u2026 via @DangerousBiz Beautiful photos of this hidden gem in Canada.',positive,0.004807692307692308
"b'Feeling a late night journy to peggys cove tomorrow night in the mazda, whos down?'",negative,-0.011517333984375
b'Live from Peggys Cove - http://www. novascotiawebcams.com/south-shore/pe ggys-cove.html \\u2026',netural,0.0
b'#peggys cove http:// instagram.com/p/f1AGY0mbq9/',netural,0.0
b'Site seeing after visits #LiaisonSolution #peggyscove pic.twitter.com/tGUVyHdgKK',negative,-0.005208333333333333
"b""Peggy's Cove is beautiful. I suggest coming here to check it out for yourself #novascotia #peggyscove pic.twitter.com/pwfDTAzilL""",positive,0.105115188492669
"b'The #PeggysCove Lighthouse, near #Halifax , is one of the most popular tourist attractions in #NovaScotia . http:// ow.ly/q5Gwe'",netural,0.0
b'Beautiful Nova Scotia. #vscocam #novascotia #peggyscove #travel #latergram http:// instagram.com/p/f0DOFOh-n8/',positive,0.053125
"b'Two solid days of training in Halifax with the boys! Day off today, time to do some site seeing! #PeggysCove'",positive,0.0933510186997327
b'@ashokasami Oh my goodness Peggys Cove is SO on my list. Was briefly in N.S. years ago and loved it. My aim is to return.',positive,0.08661343501164363
"b'@JaniceUngaro I live in peggys cove , nova Scotia..I feel ur foggy pain...'",negative,-0.0927734375
b'On tour with the Brits to #peggyscove who r visiting #halifax @RoyalCaribbean Brilliance of the Seas pic.twitter.com/D3acaI7nbE',positive,0.02333984375
b'On our way to Peggys cove ! http:// instagram.com/p/fxk39kuBBq/',positive,2.44140625e-05
b'Live from Peggys Cove - http://www. novascotiawebcams.com/south-shore/pe ggys-cove.html \\u2026',netural,0.0
b'Peggys Cove in Photos http://www. dangerous-business.com/2012/06/peggys -cove-photos/ \\u2026 via @DangerousBiz Beautiful photos of this hidden gem in Canada.',positive,0.005681818181818182
b'If you were a rock you would be peggys cove #halifaxpickuplines',positive,0.003662109375
b'Live from Peggys Cove - http://www. novascotiawebcams.com/south-shore/pe ggys-cove.html \\u2026',netural,0.0
b'@SciencePorn @NASA here is a pic taken @#PeggysCove of the #stars #milkyway #lighthouse pic.twitter.com/JQfUFkCZ1Y',positive,0.006945292051815007
"b'You live by Peggys Cove ?? I thought that was in Ottawa.. Wait whats Peggys Cove again?"" I\'m sorry what....... #Smart @EmmaKennedy06""'",negative,-0.06772867838541667
b'Looking for Willy #peggyscove #eastcoastlifestyle #longweekend http:// instagram.com/p/fthLPuG2XB/',netural,0.0
"b""@moplans the Sou'Wester at Peggys Cove ! they have the best warm gingerbread for dessert. sometimes i drive down just for that.""",positive,0.076171875
b'Live from Peggys Cove - http://www. novascotiawebcams.com/south-shore/pe ggys-cove.html \\u2026',netural,0.0
"b'@moplans and yes, that scenic route will take you by Peggys Cove etc. much prettier. my mom & i call the 103 the ribbon of dull"".""'",positive,0.061833543170999
b'Live from Peggys Cove - http://www. novascotiawebcams.com/south-shore/pe ggys-cove.html \\u2026',netural,0.0
b'Sunshine #windy #basspro #camo #novascotia #peggyscove http:// instagram.com/p/fqfrINoHsm/',negative,-0.0234375
b'bagpipe-y morning @peggys cove',netural,0.0
b'@ambuur LUCKY!! I went in the summer to halafax and peggys cove lol',positive,0.08593750074214768
"b'Earth soul Peggys Cove Nova Scotia photography by by AlexManita, $3.00 http:// pinterest.com/pin/4337530078 32505241/ \\u2026'",negative,-0.00390625
"b'Earth soul Peggys Cove Nova Scotia photography by by AlexManita, $3.00 http:// pinterest.com/pin/3273554666 35790920/ \\u2026'",negative,-0.00390625
b'Earth soul Peggys Cove Nova Scotia photography by by AlexManita http:// etsy.me/12mzwNy via @Etsy',negative,-0.0035511363636363635
b'#peggyscove #brillianceoftheseas #royalcaribbean #gopro #cruiselife http:// instagram.com/p/fntTkqAmCp/',netural,0.0
b'#peggyscove #brillianceoftheseas #royalcaribbean #cruiselife #gopro http:// instagram.com/p/fntP6ngmCh/',netural,0.0
b'#brillianceoftheseas #royalcaribbean #cruiselife #peggyscove #gopro http:// instagram.com/p/fns23-gmB2/',netural,0.0
b'#peggyscove #brillianceoftheseas #royalcaribbean #gopro #cruiselife http:// instagram.com/p/fnsyiZAmBx/',netural,0.0
b'#brillianceoftheseas #peggyscove #royalcaribbean #gopro #cruiselife http:// instagram.com/p/fnsnUMgmBf/',netural,0.0
b'#peggyscove #brillianceoftheseas #royalcaribbean #cruiselife #gopro http:// instagram.com/p/fnscdDAmBO/',netural,0.0
b'#peggyscove #brillianceoftheseas #royalcaribbean #gopro #cruiselife http:// instagram.com/p/fnWzHBgmA_/',netural,0.0
b'#peggyscove #brillianceoftheseas #cruiselife #gopro #royalcaribbean http:// instagram.com/p/fnWs6_gmA3/',netural,0.0
b'#peggyscove #halifax #canada #brillianceoftheseas #royalcaribbean #gopro http:// instagram.com/p/fnWH_ZgmPt/',netural,0.0
b'#peggyscove #canada #halifax #royalcaribbean #brillianceoftheseas http:// instagram.com/p/fnV9JQgmPi/',netural,0.0
b'Wanna go back #PeggysCove #wannagetaway pic.twitter.com/kPXGKU7U01',positive,9.89530235528946e-10
b'Halifax #peggyscove #halifax #scenery http:// instagram.com/p/fnEJo0Cv1i/',netural,0.0
"b'@ChrisLambe7 Oh, me too! Time stands still at Peggys Cove . Gotta see it first hand to believe it.'",positive,0.021592801580062278
b'Live from Peggys Cove - http://www. novascotiawebcams.com/south-shore/pe ggys-cove.html \\u2026',netural,0.0
b'#eastcoastlifestyle #atlantic #novascotia #halifax #capebreton #peggyscove #clock #lighthouse http:// instagram.com/p/flgpOpHX-B/',netural,0.0
b'PEGGYS COVE SEAL BY ROXANNE BAY http:// pinterest.com/pin/4721743421 53320942/ \\u2026',negative,-0.0033482142857142855
b'PEGGYS COVE LOBSTER TRAPS BY ROXANNE BAY http:// pinterest.com/pin/4721743421 53320898/ \\u2026',negative,-0.00390625
"b'@CTVKitchener @universalprntrs @CTVNews TOO MANY TO CHOOSE FROM. #PeggysCove lighthouse, the Rockies, or a northern #Ontario lake sunset.'",positive,0.0078125
b'Follow @lailasinc They have some incredible art! \\u201c @lailasinc : PEGGYS COVE DORY BY JOHN BARTOSIK http:// pinterest.com/pin/4721743421 53320571/ \\u2026 \\u201d',positive,0.009134134898583094
b'PEGGYS COVE DORY BY JOHN BARTOSIK http:// pinterest.com/pin/4721743421 53320571/ \\u2026',netural,0.0
b'Frienships to last a lifetime. Love these girls. Perfect day at Peggys Cove . #friends #girls #trip \\u2026 http:// instagram.com/p/fiDwA2uE4D/',positive,0.08075823102678571
b'Peggys cove ! So nice to see ukrazian had a perfect day! #peggyscove #novascotia #trip #girls #happy \\u2026 http:// instagram.com/p/fiC8OVuE3C/',positive,0.1413403930408614
"b""New print available on http:// fineartamerica.com ! - 'Dove In The Wave At Peggys Cove ' by Dave Lahn - http:// fineartamerica.com/featured/dove- in-the-wave-at-peggys-cove-dave-lahn.html \\u2026 via @fineartamerica""",positive,0.01640906700721154
b'Seriously lovin the East coast! #vscocam #peggyscove #canada #bestlife http:// instagram.com/p/fg4PRuhfdj/',positive,0.00625
b'Seriously loving the east coast! #vscocam #peggyscove #lobster #bestlife http:// instagram.com/p/fg3bzlBfco/',positive,0.065625
b'I adore this place. #peggyscove #novascotia #sky #vsco #vscocam http:// instagram.com/p/fgxuQ1B-uB/',positive,0.02083481682671441
"b'New artwork for sale! - The Lighthouse at Peggys Cove "" - http:// fineartamerica.com/featured/the-l ighthouse-at-peggys-cove-john-haldane.html \\u2026 @fineartamerica pic.twitter.com/wNlaoIOBcf""'",positive,0.0030129172585227275
"b'New artwork for sale! -  Peggys Cove "" - http:// fineartamerica.com/featured/peggy s-cove-john-haldane.html \\u2026 @fineartamerica pic.twitter.com/WfpoCsD9XY""'",positive,0.0036824544270833335
"b""Check out these beautiful affordable homes in Peggy's Cove at Southbridge!! #JAXNC #realestate #peggyscove pic.twitter.com/nuRgsnqz7c""",positive,0.07126543196764859
b'Day off work #longweekend #peggyscove #lighthouse #maritimes http:// instagram.com/p/ffkug_m2co/',positive,0.00518798828125
b'Adventure day! #deepseafishing #peggyscove #hali #friends',positive,0.047281901041666664
b'Such an amazing time out east! #novascotia #peggyscove #lighthouse http:// instagram.com/p/ffZBg_Hy4_/',positive,0.052734375
b'#peggyscove @Peggys Point Lighthouse http:// instagram.com/p/ffYq9bTQ7K/',positive,0.0010248819986979167
b'#levels of rope. #peggyscove #novascotia http:// instagram.com/p/feQXqjBCjN/',negative,-0.020833333333333332
"b""This girl is the bomb! #vscocam #loveher #peggyscove #bestday #bestlife @Peggy's Cove http:// instagram.com/p/feHHfXhfRt/""",netural,0.0
b'I adore this guy. #vscocam #lovehim #peggyscove #bestday #bestlife http:// instagram.com/p/feGztFh-u-/',positive,0.020833333333333332
"b""| #CANADA | L'essentiel de mon voyage en #NovaScotia avec #CapeBreton , #PeggysCove et #Inverness ~ http://www. vuesurencephale.com/2013/10/nouvel le-ecosse-aux-quatre-coins-de-la.html#.UlxwgSTNXhM \\u2026""",negative,-0.010416666666666666
"b'Art photography by Alex Manita Peggys Cove Nova by AlexManita, $3.00 http:// pinterest.com/pin/3273554666 35766758/ \\u2026'",positive,0.0109375
"b""Peggy's Cove #novascotia #peggyscove #familytrip #vacation #beautyday #lighthouse #sissy #daddy #family http:// instagram.com/p/fda53wigrb/""",positive,0.004807692307692308
b'Drive to peggys cove wif sis then turkey',positive,0.0013783772786458333
"b""Happy Thanks Giving , Peggy's cove with my Girl taylorb1x #givingwings #wingsatl #peggyscove @Peggys\\u2026 http:// instagram.com/p/fdLFT0MgLY/""",positive,0.05829326923076923
b'From one side of the Atlantic to the other within 7 days. #novascotia #peggyscove pic.twitter.com/yqnTYAQi1A',positive,0.005594889322916667
"b""Heading to Peggy's Cove this morning. @VisitNovaScotia #novascotia #peggyscove""",positive,0.004464285714285714
b'Robert Allen Peggys Cove Mariner: Robert Allen Peggys Cove Mariner is in our Decor\\u2026 http:// goo.gl/fb/07SQu',negative,-0.009615384615384616
