username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MarmaladeLane;2014-04-29 20:05;0;0;"Just posted a photo @Peggys Cove , Nova Scotia http:// instagram.com/p/nZDyFKngZp/";;@Peggys;;"461280131206893568";https://twitter.com/MarmaladeLane/status/461280131206893568
MarmaladeLane;2014-04-29 20:00;0;0;"Vinnie goes to Peggy's Cove. @Peggys Cove , Nova Scotia http:// instagram.com/p/nZDNEIngY3/";;@Peggys;;"461278859678466048";https://twitter.com/MarmaladeLane/status/461278859678466048
PCAArtsFestival;2014-04-29 16:58;0;0;"#art #fish #novascotia #peggyscove artists having fun with fish! look at them here! https:// docs.google.com/presentation/d /1AZuMXCNJ-OIBzf3Iz5ZSXJodOwSPQ9AAnSavSiPK73c/edit#slide=id.p …";;;#art #fish #novascotia #peggyscove #slide;"461232976089841664";https://twitter.com/PCAArtsFestival/status/461232976089841664
nswineblog;2014-04-29 16:58;1;0;"#art #fish #novascotia #peggyscove artists having fun with fish! look at them here! https:// docs.google.com/presentation/d /1AZuMXCNJ-OIBzf3Iz5ZSXJodOwSPQ9AAnSavSiPK73c/edit#slide=id.p …";;;#art #fish #novascotia #peggyscove #slide;"461232975414591488";https://twitter.com/nswineblog/status/461232975414591488
BreakingNSNews;2014-04-29 16:58;0;1;"via @acousticroof : #art #fish #novascotia #peggyscove artists having fun with fish! look at them here! https:// docs.google.com/presentation/d /1AZuMXCNJ-OIBzf3Iz5ZSXJodOwSPQ9AAnSavSiPK73c/edit#slide=id.p …";;@acousticroof;#art #fish #novascotia #peggyscove #slide;"461232974386974721";https://twitter.com/BreakingNSNews/status/461232974386974721
NamingTheTwins;2014-04-29 16:58;0;0;"#art #fish #novascotia #peggyscove artists having fun with fish! look at them here! https:// docs.google.com/presentation/d /1AZuMXCNJ-OIBzf3Iz5ZSXJodOwSPQ9AAnSavSiPK73c/edit#slide=id.p …";;;#art #fish #novascotia #peggyscove #slide;"461232974261137408";https://twitter.com/NamingTheTwins/status/461232974261137408
MyCornucopia;2014-04-29 16:58;0;0;"#art #fish #novascotia #peggyscove artists having fun with fish! look at them here! https:// docs.google.com/presentation/d /1AZuMXCNJ-OIBzf3Iz5ZSXJodOwSPQ9AAnSavSiPK73c/edit#slide=id.p …";;;#art #fish #novascotia #peggyscove #slide;"461232973174820864";https://twitter.com/MyCornucopia/status/461232973174820864
BikeandBean;2014-04-29 16:58;0;0;"#art #fish #novascotia #peggyscove artists having fun with fish! look at them here! https:// docs.google.com/presentation/d /1AZuMXCNJ-OIBzf3Iz5ZSXJodOwSPQ9AAnSavSiPK73c/edit#slide=id.p …";;;#art #fish #novascotia #peggyscove #slide;"461232972436623360";https://twitter.com/BikeandBean/status/461232972436623360
beautifulmesh;2014-04-29 16:58;0;0;"#art #fish #novascotia #peggyscove artists having fun with fish! look at them here! https:// docs.google.com/presentation/d /1AZuMXCNJ-OIBzf3Iz5ZSXJodOwSPQ9AAnSavSiPK73c/edit#slide=id.p …";;;#art #fish #novascotia #peggyscove #slide;"461232970507247616";https://twitter.com/beautifulmesh/status/461232970507247616
acousticroof;2014-04-29 16:58;0;0;"#art #fish #novascotia #peggyscove artists having fun with fish! look at them here! https:// docs.google.com/presentation/d /1AZuMXCNJ-OIBzf3Iz5ZSXJodOwSPQ9AAnSavSiPK73c/edit#slide=id.p …";;;#art #fish #novascotia #peggyscove #slide;"461232969378967552";https://twitter.com/acousticroof/status/461232969378967552
ColbyReekie;2014-04-28 21:41;0;0;"Peggy's Cove #bestfriend #mcm #solucky #happy #iloveyou #smiles #peggyscove #adventures #ocean … http:// instagram.com/p/nWqAFkMcSS/";;;#bestfriend #mcm #solucky #happy #iloveyou #smiles #peggyscove #adventures #ocean;"460941972346531841";https://twitter.com/ColbyReekie/status/460941972346531841
