text,Sentiment,Score
"b""It's been s cold spring here...trying to see the beauty. Repost. #peggyscove #ns @Peggys Cove , Nova\\u2026 https:// instagram.com/p/2Eh9hqrVyK/""",negative,-0.008247521061163682
b'Lots of visitors at #PeggysCove today! http://www. novascotiawebcams.com/en/webcams/peg gys-cove-lighthouse/ \\u2026 #lighthouse #NovaScotia #Canada #NSWebcams pic.twitter.com/kubuKk5t7r',positive,0.0048828125
b'Ahhhh Nova Scotia #novascotia #peggyscove #eastcoast https:// instagram.com/p/2C92ssTYE4/',netural,0.0
b'East Coast Living #PeggysCove pic.twitter.com/XQsXIkVw94',netural,0.0
b'Beast porcupine peggyscove https:// instagram.com/p/2B0JBwr17N/',negative,-0.0375
"b""End of the world (@Peggy's Cove in Peggys Cove , NS) https://www. swarmapp.com/c/jbQQ0Ivyu63""",netural,0.0
b'http:// monkeysandmore.com Wish it was warmer in Digby!!! UGH! #novascotia #halifax #eastcoast #peggyscove pic.twitter.com/6ZmOeN43xi',negative,-0.01171875
b'Lovely shot of #PeggysCove Ms.M! #NovaScotia https:// twitter.com/Shawnamac_/sta tus/592876579262504961 \\u2026',positive,0.025371074676513672
b'Peggys Cove Village in April http://www. deviantart.com/print/37985708 #NovaScotia #Photography',netural,0.0
"b' Peggys Cove - Old Fishing Boat"" by Shawna Mac http:// shawnamac.deviantart.com/art/Peggys-Cov e-Old-Fishing-Boat-529613885 \\u2026 #NovaScotia #HDR #photography""'",positive,0.014423076923076924
"b' Peggys Cove Lighthouse - Spring Storm"" by Shawna Mac http:// shawnamac.deviantart.com/art/Peggys-Cov e-Lighthouse-Spring-Storm-529613822 \\u2026 #NovaScotia #photography""'",positive,0.00390625
"b'MIddle Point Road Peggys Cove Nova Scotia"" by ShawnaMac http:// shawnamac.deviantart.com/art/MIddle-Poi nt-Road-Peggys-Cove-Nova-Scotia-529613857 \\u2026 #hdr #photography""'",positive,0.0004730224609375
"b' Peggys Cove Lighthouse in April"" http:// shawnamac.deviantart.com/art/Peggys-Cov e-Lighthouse-in-April-529613907 \\u2026 #NovaScotia #photography""'",positive,0.020833333333333332
b'from @ma_zen .001 Took my #inspire1 for a flight around #peggyscove at #sunset pic.twitter.com/KEIvyc5DJ4',positive,0.0015869140625
"b""Today's most-commented story: Peggys Cove life-saving equipment needed, says Jamie Quattrocchi's mother http://www. cbc.ca/1.3050334 #cbcns""",positive,0.001988002232142857
