username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
HeroicMarc;2014-10-30 18:03;0;0;"They are setting up at the #Halifax Public Gardens! #Ghostbusters #GB30 #Movies pic.twitter.com/ib8SasXrlH";;;#Halifax #Ghostbusters #GB30 #Movies;"527928865037905920";https://twitter.com/HeroicMarc/status/527928865037905920
amysmithcbc;2014-10-30 16:07;4;2;"Who ya gonna call? John Simmons is on #cbcns at 5:38 about tonight's movie night at #Halifax Public Gardens pic.twitter.com/WdFoB3R8Qp";;;#cbcns #Halifax;"527899617120489472";https://twitter.com/amysmithcbc/status/527899617120489472
bbundale;2014-10-30 16:00;0;1;"Free Halloween Movie Night at the Halifax Public Gardens tonight at 7 p.m. Ghostbusters will be shown near the Horticulture Hall & bandstand";;;;"527897742916329474";https://twitter.com/bbundale/status/527897742916329474
HeroicMarc;2014-10-30 12:22;0;0;"Just 6 1/2 short hours until #Ghostbusters screening at #Halifax Public Gardens. I'll be the guy in the Harold Ramis T-shirt.";;;#Ghostbusters #Halifax;"527843013297733632";https://twitter.com/HeroicMarc/status/527843013297733632
HotCountry1035;2014-10-30 07:10;3;2;"Ghostbusters showing for free in the #Halifax Public Gardens tonight at 7p! Yes, there's a snack bar selling hot drinks & popcorn. - Colin";;;#Halifax;"527764374195544064";https://twitter.com/HotCountry1035/status/527764374195544064
HfxAdventure;2014-10-29 09:57;0;0;"Who you gonna call? Ghostbusters! ~ First ever outdoor movie night at the Halifax Public Gardens this Thursday... http:// fb.me/3kCCLO7Fz";;;;"527444171343560704";https://twitter.com/HfxAdventure/status/527444171343560704
Where_Halifax;2014-10-29 08:52;6;1;"Movie night at Halifax Public Gardens : check out a free screening of Ghostbusters on Oct. 30. http://www. halifax.ca/publicgardens/";;;;"527427799272153089";https://twitter.com/Where_Halifax/status/527427799272153089
paulalangille;2014-10-29 05:03;0;0;"Free Movie Night at the Halifax Public Gardens ! Ghostbusters in the gardens! Thursday evening, should be fun! (S) http:// buff.ly/ZW7l7O";;;;"527370014111039488";https://twitter.com/paulalangille/status/527370014111039488
CLLC_Canada;2014-10-28 13:37;0;0;"Check out a FREE showing of the movie Ghostbusters in the Halifax Public Gardens Thursday evening! Show up at 6:30 at the Spring Garden gate";;;;"527137171828797440";https://twitter.com/CLLC_Canada/status/527137171828797440
IHeartSpryfield;2014-10-28 11:09;2;0;"First-ever free movie night at Halifax Public Gardens to feature Ghostbusters http:// metronews.ca/news/halifax/1 195415/first-ever-movie-night-at-halifax-public-gardens-to-feature-ghostbusters-on-thursday-night/ … via @metrohalifax";;@metrohalifax;;"527099859350728704";https://twitter.com/IHeartSpryfield/status/527099859350728704
haligonia;2014-10-28 09:28;6;2;"Headlines | Free Movie Night at the Halifax Public Gardens http:// nsne.ws/12k";;;;"527074500974608384";https://twitter.com/haligonia/status/527074500974608384
HotCountry1035;2014-10-28 08:32;1;2;"Fun! Watch Ghostbusters for FREE in the #Halifax Public Gardens Thursday night at 7! - Colin pic.twitter.com/eZwJxQTS0X";;;#Halifax;"527060307693555712";https://twitter.com/HotCountry1035/status/527060307693555712
lolaaugustine;2014-10-28 08:11;0;0;"RT @NikiJabbour : First-ever free movie night at Halifax Public Gardens to feature Ghostbusters http:// metronews.ca/news/halifax/1 195415/first-ever-movie-night-at-halifax-public-gardens-to-feature-ghostbusters-on-thursday-night/ … via @metrohalifax";;@NikiJabbour @metrohalifax;;"527054979132297216";https://twitter.com/lolaaugustine/status/527054979132297216
NikiJabbour;2014-10-28 08:10;3;3;"First-ever free movie night at Halifax Public Gardens to feature Ghostbusters http:// metronews.ca/news/halifax/1 195415/first-ever-movie-night-at-halifax-public-gardens-to-feature-ghostbusters-on-thursday-night/ … via @metrohalifax";;@metrohalifax;;"527054786521083904";https://twitter.com/NikiJabbour/status/527054786521083904
thestarhalifax;2014-10-28 08:01;19;13;"How cool: First movie night at Halifax Public Gardens to feature Ghostbusters on Thursday. http:// ow.ly/Ds0Nv pic.twitter.com/hhcjrSfVZe";;;;"527052513363886080";https://twitter.com/thestarhalifax/status/527052513363886080
StarrReid;2014-10-27 21:19;0;0;"First-ever free movie night at Halifax Public Gardens to feature Ghostbusters http:// metronews.ca/news/halifax/1 195415/first-ever-movie-night-at-halifax-public-gardens-to-feature-ghostbusters-on-thursday-night/ … via @metroottawa";;@metroottawa;;"526890974304153600";https://twitter.com/StarrReid/status/526890974304153600
martindelaney;2014-10-27 20:37;1;2;"Ghostbusters showing for free in the Halifax Public Gardens , Thursday night, 7pm - #halifax #halloween";;;#halifax #halloween;"526880414955487233";https://twitter.com/martindelaney/status/526880414955487233
pblaauw;2014-10-27 20:16;0;1;". @HeroicMarc MT @metrohalifax : 1stt movie night at Halifax Public Gardens to feature Ghostbusters on Thursday. http:// ow.ly/Dq1B8";;@HeroicMarc @metrohalifax;;"526875223887708160";https://twitter.com/pblaauw/status/526875223887708160
AllisonForce;2014-10-27 19:20;0;0;"Halifax Public Gardens . #halifax #canada #gardens #fountain http:// instagram.com/p/urCi82r1eL/";;;#halifax #canada #gardens #fountain;"526861083613855744";https://twitter.com/AllisonForce/status/526861083613855744
morethaneven;2014-10-27 17:50;0;0;". @dan_aykroyd First-ever free movie night at Halifax Public Gardens to feature Ghostbusters http:// metronews.ca/news/halifax/1 195415/first-ever-movie-night-at-halifax-public-gardens-to-feature-ghostbusters-on-thursday-night/ … via @metrohalifax";;@dan_aykroyd @metrohalifax;;"526838441469022208";https://twitter.com/morethaneven/status/526838441469022208
MC_HFX;2014-10-27 16:16;0;0;"Very cool: First movie night at Halifax Public Gardens to feature Ghostbusters on Thursday. http:// ow.ly/Dq1B8";;;;"526814659954094080";https://twitter.com/MC_HFX/status/526814659954094080
thehalifaxnews;2014-10-27 16:15;0;0;"First-ever free movie night at Halifax Public Gardens to feature Ghostbusters http:// bit.ly/12TUDZ0 [via Metro] #halifax";;;#halifax;"526814509919240193";https://twitter.com/thehalifaxnews/status/526814509919240193
SeaAndBeScene;2014-10-27 16:11;0;0;"FREE! RT @metrohalifax : 1st movie night #HalifaxPublicGardens to feature Ghostbusters Thursday http:// ow.ly/Dq1B8 pic.twitter.com/XUwdX4Obzq";;@metrohalifax;#HalifaxPublicGardens;"526813483116294146";https://twitter.com/SeaAndBeScene/status/526813483116294146
