username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
lizbotastic;2016-04-28 21:31;0;0;"Well, that's pretty. #halifax #sunset @Halifax Public Gardens https://www. instagram.com/p/BEw554IOUg4/";;@Halifax;#halifax #sunset;"725844896834150401";https://twitter.com/lizbotastic/status/725844896834150401
communitytvmh;2016-04-28 15:04;0;0;"#TBT #throwbackthursday I used to have dreadlocks....... Photo taken at Halifax Public Gardens . http:// fb.me/L3zWkMkB";;;#TBT #throwbackthursday;"725747414758510592";https://twitter.com/communitytvmh/status/725747414758510592
knuf1985;2016-04-27 16:40;0;0;"#Halifax #ns @Halifax Public Gardens https://www. instagram.com/p/BEtz3-9rzht/";;@Halifax;#Halifax #ns;"725409416720338944";https://twitter.com/knuf1985/status/725409416720338944
knuf1985;2016-04-27 16:38;0;0;"#halifax @Halifax Public Gardens https://www. instagram.com/p/BEtzpBdLzhN/";;@Halifax;#halifax;"725408902913904641";https://twitter.com/knuf1985/status/725408902913904641
knuf1985;2016-04-27 16:36;0;0;"Peace #Halifax @Halifax Public Gardens https://www. instagram.com/p/BEtzV4ILzgq/";;@Halifax;#Halifax;"725408244827586560";https://twitter.com/knuf1985/status/725408244827586560
knuf1985;2016-04-27 16:32;0;0;"#Halifax @Halifax Public Gardens https://www. instagram.com/p/BEty6xtrzvc/";;@Halifax;#Halifax;"725407313666949121";https://twitter.com/knuf1985/status/725407313666949121
knuf1985;2016-04-27 16:30;0;0;"#Halifax @Halifax Public Gardens https://www. instagram.com/p/BEtyrp7Lzu7/";;@Halifax;#Halifax;"725406794424672256";https://twitter.com/knuf1985/status/725406794424672256
knuf1985;2016-04-27 16:28;0;0;"#publicgardens #Halifax @Halifax Public Gardens https://www. instagram.com/p/BEtychsrzub/";;@Halifax;#publicgardens #Halifax;"725406274544930816";https://twitter.com/knuf1985/status/725406274544930816
CMHAHalDart;2016-04-27 08:23;1;0;"@CASP_CA @NatGeo So fortunate that we have beautiful green spaces in our city like the Halifax Public Gardens http://www. halifaxpublicgardens.ca /";;@CASP_CA @NatGeo;;"725284215487651840";https://twitter.com/CMHAHalDart/status/725284215487651840
syazwanmohiadin;2016-04-27 01:09;0;0;"Calmness. #springinhalifax #publicgarden #intothenature #naturelovers @Halifax Public Gardens https://www. instagram.com/p/BEsJS6cp-Um/";;@Halifax;#springinhalifax #publicgarden #intothenature #naturelovers;"725175048798146561";https://twitter.com/syazwanmohiadin/status/725175048798146561
halifax_garden;2016-04-26 07:50;0;0;"Good morning from the Halifax Public Gardens . pic.twitter.com/arQbB51GX1";;;;"724913552671297537";https://twitter.com/halifax_garden/status/724913552671297537
capted123;2016-04-23 10:45;0;0;"Daffodils blooming in our Halifax Public Gardens pic.twitter.com/TuHzh2Kmp0";;;;"723870455946436610";https://twitter.com/capted123/status/723870455946436610
CAG2016ACG;2016-04-22 13:02;0;0;"Witness Halifax's Urban Wilderness with a half day field trip to Halifax Public Gardens & Point Peasant Park! Register today!";;;;"723542516381941760";https://twitter.com/CAG2016ACG/status/723542516381941760
gothamoracle;2016-04-20 19:32;0;1;"One of the colossally fat geese at the garden. @Halifax Public Gardens https://www. instagram.com/p/BEcF_tloouz/";;@Halifax;;"722915991504560129";https://twitter.com/gothamoracle/status/722915991504560129
gothamoracle;2016-04-20 17:56;0;0;"Boer War fountain #halifax @Halifax Public Gardens https://www. instagram.com/p/BEb69QLIosf/";;@Halifax;#halifax;"722891716387209217";https://twitter.com/gothamoracle/status/722891716387209217
gothamoracle;2016-04-20 17:50;0;0;"Just posted a photo @Halifax Public Gardens https://www. instagram.com/p/BEb6O64IorL/";;@Halifax;;"722890124049010688";https://twitter.com/gothamoracle/status/722890124049010688
gothamoracle;2016-04-20 16:30;0;0;"Just posted a photo @Halifax Public Gardens https://www. instagram.com/p/BEbxKyEIoqR/";;@Halifax;;"722870190510366720";https://twitter.com/gothamoracle/status/722870190510366720
gothamoracle;2016-04-20 16:24;0;0;"Spring??! #halifax @Halifax Public Gardens https://www. instagram.com/p/BEbwevmIopf/";;@Halifax;#halifax;"722868677796896769";https://twitter.com/gothamoracle/status/722868677796896769
NovaBrunswick;2016-04-18 15:47;0;0;"Aerial view of the historic #Halifax Public Gardens http:// pinterest.com/pin/2894970822 78666124/ …";;;#Halifax;"722134417561501697";https://twitter.com/NovaBrunswick/status/722134417561501697
EdenBoutilier;2016-04-17 17:14;2;0;"Beautiful weather has me day dreaming of #halifaxpublicgardens @Fort McMurray, Alberta https://www. instagram.com/p/BEUHzAmQs7R/";;@Fort;#halifaxpublicgardens;"721794062152433664";https://twitter.com/EdenBoutilier/status/721794062152433664
Doiron76;2016-04-17 08:48;0;0;"Little gem in the city #publicgardens #halifax #sunnyday #nofilterneeded @Halifax Public Gardens https://www. instagram.com/p/BETN4b8NyAs/";;@Halifax;#publicgardens #halifax #sunnyday #nofilterneeded;"721666696319275008";https://twitter.com/Doiron76/status/721666696319275008
CanadasMilHist;2016-04-14 20:33;3;5;"Boer War Monument Halifax Public Gardens ,Nova Scotia, . #CanadasMilitaryHist See FB 4more http:// on.fb.me/1O5y89o pic.twitter.com/AbtBadGu8M";;;#CanadasMilitaryHist;"720756982773362689";https://twitter.com/CanadasMilHist/status/720756982773362689
Caprent;2016-04-14 08:03;0;3;"#tbt #Spring 1911 at #Halifax Public Gardens. Our Park Victoria Apts are only 2 min stroll to this #park ! #capreit pic.twitter.com/R9OjylDEWC";;;#tbt #Spring #Halifax #park #capreit;"720568038152491008";https://twitter.com/Caprent/status/720568038152491008
lokolHalifax;2016-04-13 15:15;0;0;"Aerial Tour of the Halifax Public Gardens https:// halifax.lokol.me/aerial-tour-of -the-halifax-public-gardens … #lokol .me pic.twitter.com/c3FveCSu3v";;;#lokol;"720314367850340353";https://twitter.com/lokolHalifax/status/720314367850340353
bwalsh125;2016-04-12 22:30;4;21;"Halifax Public Gardens April 12. A few flowers break ground. At this time of year in NS hope springs eternal. pic.twitter.com/VjGj8Dll5s";;;;"720061620030947328";https://twitter.com/bwalsh125/status/720061620030947328
FelixTheCar;2016-04-11 11:06;0;0;"Are #halifax public gardens open?";;;#halifax;"719527126270091266";https://twitter.com/FelixTheCar/status/719527126270091266
samanthajgorman;2016-04-10 20:29;0;0;"Happy national sibling day to mine @Halifax Public Gardens https://www. instagram.com/p/BECcd6nwiZ4- mc0p0lqkQZtNiO2oy3HivdysPQ0/ …";;@Halifax;;"719306234713780226";https://twitter.com/samanthajgorman/status/719306234713780226
KatherineWooler;2016-04-10 15:26;0;2;"#Halifax public gardens. Just a little decorative snow to make the grass glisten in the… https://www. instagram.com/p/BEB51JoOJPT/";;;#Halifax;"719230064286674944";https://twitter.com/KatherineWooler/status/719230064286674944
HSKyte;2016-04-09 13:02;0;0;"Halifax Public Gardens #WelcomeSpring";;;#WelcomeSpring;"718831504751603713";https://twitter.com/HSKyte/status/718831504751603713
egrant94;2016-04-07 02:37;0;1;"#halifaxpublicgardens #snow #spring @Halifax Public Gardens https://www. instagram.com/p/BD4zdrMp0l1/";;@Halifax;#halifaxpublicgardens #snow #spring;"717949427990839298";https://twitter.com/egrant94/status/717949427990839298
