username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ChrisCurran78;2015-10-30 20:09;0;0;"@CineplexMovies will this be in Halifax ? Site shows no showings but not sure if just not updated yet?";;@CineplexMovies;;"660232007130021889";https://twitter.com/ChrisCurran78/status/660232007130021889
RealLifeHoser;2015-10-30 19:54;0;1;"@gerrydee Congrats, hope it works out well! Love the show #mrd #halifax";;@gerrydee;#mrd #halifax;"660228330147434496";https://twitter.com/RealLifeHoser/status/660228330147434496
Tebey;2015-10-30 19:22;2;28;"Pre show selfie #Halifax pic.twitter.com/lcbIIwWiVA";;;#Halifax;"660220297937862656";https://twitter.com/Tebey/status/660220297937862656
Hayden1974;2015-10-30 18:59;0;1;"@100Climbs just caught up with your climbs on the cycle show , that one in Halifax makes the Mur d' Huy look 'zero bubble'";;@100Climbs;;"660214532242087937";https://twitter.com/Hayden1974/status/660214532242087937
Reparteemusic;2015-10-30 18:16;0;2;"#fbf to our show at the Seahorse last weekend. We Halifax ! Photo by @hafilaxdotcom pic.twitter.com/XwOvJXBR9U";;@hafilaxdotcom;#fbf;"660203538933530624";https://twitter.com/Reparteemusic/status/660203538933530624
RealtorsinABQ;2015-10-30 17:27;0;0;"https:// twitter.com/BillyMadeline/ status/660191172456030208 … Halifax Web Design Stands show its face in Canada Web Designer Culture Focusing on Real Estate Web Design znR #Rea …";;;#Rea;"660191437066235904";https://twitter.com/RealtorsinABQ/status/660191437066235904
BillyMadeline;2015-10-30 17:26;0;0;"Halifax Web Design Stands show its face in Canada Web Designer Culture Focusing on Real Estate Web Design znR";;;;"660191172456030208";https://twitter.com/BillyMadeline/status/660191172456030208
agilani46;2015-10-30 16:48;1;0;"#TO , #GTA , #ONT . #Halifax , #PEI , #Florida , #NY , #Canada , #USA , A stage show showing Disco Fever Night in Punta Cana https:// youtu.be/_6BwD86UHAQ";;;#TO #GTA #ONT #Halifax #PEI #Florida #NY #Canada #USA;"660181378345140224";https://twitter.com/agilani46/status/660181378345140224
JustinBrooks3;2015-10-30 16:18;0;0;"Does anyone have extra tickets to the Halifax freak show ?im looking for 2";;;;"660174068486901761";https://twitter.com/JustinBrooks3/status/660174068486901761
kate1013;2015-10-30 15:05;0;0;"@KaitlynMaryJane I didn't do VIP this year either. I just went with lower bowl tickets for Halifax and Moncton. Not even doing Ontario shows";;@KaitlynMaryJane;;"660155667555196928";https://twitter.com/kate1013/status/660155667555196928
underwoodcIaire;2015-10-30 14:42;1;0;"mom was watching last tango in halifax !!! I MISS THAT STUPID SHOW SO MUCH!!!!";;;;"660149793419825152";https://twitter.com/underwoodcIaire/status/660149793419825152
The_Lady_Smith;2015-10-30 14:13;0;0;"Photo: It’s day 1 of @halcon_scificon and like Halifax , this show is awesome! I’m deliriously happy about... http:// tmblr.co/ZXOCso1x8tI3z";;@halcon_scificon;;"660142562414604289";https://twitter.com/The_Lady_Smith/status/660142562414604289
mackreeves10;2015-10-30 11:11;0;1;"@kenzieboy8 @ProtestTheHero as they should be (send me free tickets for the Halifax show please)";;@kenzieboy8 @ProtestTheHero;;"660096817493839872";https://twitter.com/mackreeves10/status/660096817493839872
_DiscoveryShop;2015-10-30 11:04;1;0;"Hey HAL-CON Attendees! Ever wanted to build your very own R2-D2? You can this weekend for 20% off when you show your #HalCon Badge! #halifax";;;#HalCon #halifax;"660094973526847489";https://twitter.com/_DiscoveryShop/status/660094973526847489
RogerDavies01;2015-10-30 10:59;1;0;"Tickets on sale already for a special show in Halifax next March: @squarechapel @HXCourier @ExaminerCalder pic.twitter.com/yLYDUi2o05";;@squarechapel @HXCourier @ExaminerCalder;;"660093556367978496";https://twitter.com/RogerDavies01/status/660093556367978496
