username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Fizzarcher;2016-10-30 13:02;0;0;"Buddy Holly & The Cricketers celebrate 80 years of Buddy at Halifax 's Victoria Theatre http:// dlvr.it/MYb3SR pic.twitter.com/fJi1NkZLNY";;;;"792758495451885569";https://twitter.com/Fizzarcher/status/792758495451885569
HeatherRankinMe;2016-10-30 12:53;8;10;"We have two shows of #SmallThings today @NeptuneTheatre ! Come meet Birdy and Dell. #theatre #plays #Halifax pic.twitter.com/7vEswKucNZ";;@NeptuneTheatre;#SmallThings #theatre #plays #Halifax;"792756356772143108";https://twitter.com/HeatherRankinMe/status/792756356772143108
KeighleyNews;2016-10-30 12:52;0;0;"Buddy Holly & The Cricketers celebrate 80 years of Buddy at Halifax 's Victoria Theatre http:// dlvr.it/MYZyYf pic.twitter.com/qrYB8xSs1h";;;;"792755981029560324";https://twitter.com/KeighleyNews/status/792755981029560324
hunkara;2016-10-29 23:30;0;1;"@geoffregan : Young dancers at Pakistan Festival, Spatz Theatre , Citadel High, #Halifax pic.twitter.com/eZgMEgVBpC https:// twitter.com/geoffregan/sta tus/779773273995374592 …";;@geoffregan;#Halifax;"792554306864111616";https://twitter.com/hunkara/status/792554306864111616
halifaxbloggers;2016-10-29 20:30;0;0;"Fear of missing out on great live #theatre ? Here are the essential fall highlights from @thehitlisthfx : http:// halifaxbloggers.ca/entertainment/ 2016/10/the-hit-list-fall-theatre-highlights-in-halifax/ … #Halifax pic.twitter.com/r5SFe7XFQn";;@thehitlisthfx;#theatre #Halifax;"792508816550076416";https://twitter.com/halifaxbloggers/status/792508816550076416
lunaseacompany;2016-10-29 17:05;0;5;"Our #fearless director hard at work! #workshop #newplay #theatre #Halifax #WellHeeled https:// twitter.com/KAParkhill/sta tus/792423064394948609 …";;;#fearless #workshop #newplay #theatre #Halifax #WellHeeled;"792457289148035072";https://twitter.com/lunaseacompany/status/792457289148035072
GrinningGraphic;2016-10-29 13:48;0;0;"Looking forward to working with the beautiful Halifax Playhouse you should all check it out! @HXPlayhouse @PromoteYorks #theatre";;@HXPlayhouse @PromoteYorks;#theatre;"792407839872614400";https://twitter.com/GrinningGraphic/status/792407839872614400
myhalevents;2016-10-28 16:53;0;0;"Speedy Recovery @The Al Whittle Theatre !! All Proceeds To CF Canada! http:// halevents.ca/halifax-dartmo uth-bedford-sackville-ns-events/2238/speedy-recovery-the-al-whittle-theatre-all-proceeds-to-cf-canada/?utm_source=dlvr.it&utm_medium=twitter … #halevents #halifax pic.twitter.com/73ZmxhISqG";;@The;#halevents #halifax;"792091839876571136";https://twitter.com/myhalevents/status/792091839876571136
RyanVanHorne;2016-10-28 12:16;0;0;"Would love to go see this new doc by Werner Herzog, but will a Halifax theatre show it? http://www. economist.com/blogs/prospero /2016/10/head-cloud … #Halifax";;;#Halifax;"792022357934272512";https://twitter.com/RyanVanHorne/status/792022357934272512
QueerActs;2016-10-28 10:35;1;1;"Halifax is lucky to have Lara Lewis lending some of her many talents to the local theatre community. http:// fb.me/83fy6lYjL";;;;"791996733840502784";https://twitter.com/QueerActs/status/791996733840502784
Halifaxidocious;2016-10-27 18:27;0;1;"Hacksaw Ridge (@Scotiabank Theatre : Cineplex Entertainment (Bayers Lake) - @cineplexmovies in Halifax , NS) https://www. swarmapp.com/c/euiMMkrHAYa";;@Scotiabank @cineplexmovies;;"791753272101044224";https://twitter.com/Halifaxidocious/status/791753272101044224
hdssg1;2016-10-27 17:49;6;10;"Our superstars with Miss Chloe @RisingStars07 ! Fantastic musical theatre lessons for children with #additionalneeds #Halifax #Huddersfield pic.twitter.com/W08GAcgIca";;@RisingStars07;#additionalneeds #Halifax #Huddersfield;"791743682936508416";https://twitter.com/hdssg1/status/791743682936508416
learner_parent;2016-10-27 17:24;0;0;"Showbiz. #showbiz #standup #comedy #standupcomedy @Victoria Theatre Halifax https://www. instagram.com/p/BMFGTdTj-dH/";;@Victoria;#showbiz #standup #comedy #standupcomedy;"791737302531862528";https://twitter.com/learner_parent/status/791737302531862528
CyclingEurope;2016-10-27 16:17;5;2;"Live comedy theatre arrives in the @SquareChapel bar... @HXComedyFest #Halifax #NotNovaScotia pic.twitter.com/dd0FOi7PMG";;@SquareChapel @HXComedyFest;#Halifax #NotNovaScotia;"791720372932665345";https://twitter.com/CyclingEurope/status/791720372932665345
erikakulnys;2016-10-27 15:43;0;2;"Pretty excited....I'm applying to audition for Once, the Musical in Halifax ! Musical Theatre , I've missed you! :)";;;;"791711879232036864";https://twitter.com/erikakulnys/status/791711879232036864
halifaxbloggers;2016-10-27 13:35;1;2;"Fall live #theatre highlights from @thehitlisthfx , including Spring Awakening, on now at @BusStopCoop : http:// halifaxbloggers.ca/entertainment/ 2016/10/the-hit-list-fall-theatre-highlights-in-halifax/ … #Halifax pic.twitter.com/FCbQnbibs8";;@thehitlisthfx @BusStopCoop;#theatre #Halifax;"791679606860484612";https://twitter.com/halifaxbloggers/status/791679606860484612
VicTheatre;2016-10-27 08:48;1;0;"Halifax is the place to be for quality comedy! Tickets can be purchased for all shows from The Victoria Theatre Box Office or on the door https:// twitter.com/HXComedyFest/s tatus/791602977249366017 …";;;;"791607496767078400";https://twitter.com/VicTheatre/status/791607496767078400
betsyeldon;2016-10-26 21:26;0;0;"Oooooh. This looks good. Buying tickets. #halifax #theatre https:// twitter.com/xpress_local/s tatus/791364383695835136 …";;;#halifax #theatre;"791435940405321728";https://twitter.com/betsyeldon/status/791435940405321728
cardmura;2016-10-26 17:17;0;1;"There’s more live #theatre happening in Halifax than you realize. Find out what’s on this fall with… http:// sites0512.com/theres-more-li ve-theatre-happening-in-halifax-than-you-realize-find-out-whats-on-this-fall-with-thehitlisthfx-ht/ …";;;#theatre;"791373292972015617";https://twitter.com/cardmura/status/791373292972015617
EmJhfx;2016-10-26 13:50;1;1;"What's your damage, Heather! Script prep! #heathers #halifax #theatre #directing @whalesongprod pic.twitter.com/v2HC3xOwnT";;@whalesongprod;#heathers #halifax #theatre #directing;"791321170666631168";https://twitter.com/EmJhfx/status/791321170666631168
lunaseacompany;2016-10-26 09:54;1;5;"Our friend, inspiration, and Halifax pioneer- Harold Anderson! #WellHeeled #classic #itsanensemble #Halifax #theatre #newplay pic.twitter.com/QAUg1q833U";;;#WellHeeled #classic #itsanensemble #Halifax #theatre #newplay;"791261769650110465";https://twitter.com/lunaseacompany/status/791261769650110465
