username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
globalhalifax;2015-10-30 14:33;7;0;"Halifax Harbour Bridges confirms the Macdonald Bridge WILL CLOSE this weekend: Friday, 7 p.m. - Monday, 5:30 a.m. pic.twitter.com/xQhJFhroG8";;;;"660147495977287680";https://twitter.com/globalhalifax/status/660147495977287680
thegetpr;2015-10-30 13:42;0;0;"Main MACPASS Halifax Harbour Bridges http:// bit.ly/1WoqJRc";;;;"660134577718038529";https://twitter.com/thegetpr/status/660134577718038529
HfxKimberlee;2015-10-30 12:35;1;1;"Part of the beautiful #Halifax #halifaxharbour #VMPNS #VMPC https:// vine.co/v/e3aiPF1YVrZ";;;#Halifax #halifaxharbour #VMPNS #VMPC;"660117723603722241";https://twitter.com/HfxKimberlee/status/660117723603722241
Tombarlow19771;2015-10-29 23:41;0;0;"H.M.C.S Ojibwa (S72), H.M.C.S Onondaga (S73) and H.M.C.S. Okanagan (S74) Oberon - Class sail up Halifax harbour . https:// twitter.com/MuseumNH/statu s/634352548284121088 …";;;;"659922938951507968";https://twitter.com/Tombarlow19771/status/659922938951507968
johalifax;2015-10-29 22:51;0;0;"Fantastic time-lapse video (& well-scored) of in-situ removal & redecking of one of our #Halifax harbour bridges. https:// youtu.be/BvsIQ0RIUsc .";;;#Halifax;"659910434426720256";https://twitter.com/johalifax/status/659910434426720256
LegalForensicRN;2015-10-29 16:43;0;0;"TBT... Boating in the Halifax Harbour when I nursed there 15 years ago. Rented a house out in the country for my... http:// fb.me/KG8PbMav";;;;"659817971284615168";https://twitter.com/LegalForensicRN/status/659817971284615168
Articlemtl;2015-10-29 16:25;0;2;"Sobey-it ¯\_(ツ)_/¯ @SobeyArtAward @jonrafman @ArtGalleryNS #halifaxharbour #JonRafman pic.twitter.com/wy4xQVAgsM";;@SobeyArtAward @jonrafman @ArtGalleryNS;#halifaxharbour #JonRafman;"659813394837581824";https://twitter.com/Articlemtl/status/659813394837581824
RCMPNS;2015-10-29 13:59;1;5;"#tbt : The St. Roch, an #RCMP schooner, departs #Halifax Harbour in July 1944. pic.twitter.com/O52FhNsXT1";;;#tbt #RCMP #Halifax;"659776681050284032";https://twitter.com/RCMPNS/status/659776681050284032
FITTNews;2015-10-29 12:54;0;0;"#TBT to 2006 when we set sail on the Tall Ship Silva in Halifax Harbour celebrating our new #tradeelite CITP®|FIBP®s http:// ow.ly/i/e4ubR";;;#TBT #tradeelite;"659760133044613121";https://twitter.com/FITTNews/status/659760133044613121
sruhs;2015-10-28 21:56;0;0;"Halifax Harbour Mousepad http:// pinterest.com/pin/2717641587 41793920/ …";;;;"659534305195106305";https://twitter.com/sruhs/status/659534305195106305
sruhs;2015-10-28 21:56;0;0;"Halifax Harbour Mousepad http://www. zazzle.com/halifax_harbou r_mousepad-144762588125949891?CMPN=shareicon&lang=en&rf=238238941494368899 … #HalifaxNS #HalifaxWaterFront";;;#HalifaxNS #HalifaxWaterFront;"659534232121835520";https://twitter.com/sruhs/status/659534232121835520
Alex_MacLean;2015-10-28 13:46;0;3;"The #Halifax harbour is so calm. #SmoothAsGlass pic.twitter.com/vbrpQUB9XW";;;#Halifax #SmoothAsGlass;"659410986923892736";https://twitter.com/Alex_MacLean/status/659410986923892736
MariekeWalsh;2015-10-28 07:42;1;7;"BEAUTY shot of #halifax harbour from the harbour cam this morning! Happy Wednesday, happy Hump day! pic.twitter.com/jq0ThTXoMG";;;#halifax;"659319345961566208";https://twitter.com/MariekeWalsh/status/659319345961566208
AflameCreations;2015-10-27 19:47;0;0;"View from my office overlooking #Halifax harbour. Complete with dead tree for crows. #fullmoon #supermoon #shipyard pic.twitter.com/H2GgHhSbqg";;;#Halifax #fullmoon #supermoon #shipyard;"659139283756929024";https://twitter.com/AflameCreations/status/659139283756929024
jeffmackinnon;2015-10-27 16:57;0;0;"Last full day with this view, moving office again. #HalifaxHarbour #Regus … https:// instagram.com/p/9WoWJVHvcDUb nsvEQjbivb2ol6Ua4foquw8qg0/ …";;;#HalifaxHarbour #Regus;"659096708564013056";https://twitter.com/jeffmackinnon/status/659096708564013056
